player_name,player_id,team
Aaron Ekblad,8477932,FLA
Adam Boqvist,8480871,FLA
Adam Fantilli,8484166,CBJ
Adam Fox,8479323,NYR
Adam Henrique,8474641,EDM
Adam Larsson,8476457,SEA
Adam Lowry,8476392,WPG
Adam Pelech,8476917,NYI
Adin Hill,8478499,VGK
Adrian Kempe,8477960,LAK
Akil Thomas,,LAK
Alec Martinez,8474166,CHI
Aleksander Barkov,8477493,FLA
Alex DeBrincat,8479337,DET
Alex Iafallo,8480113,WPG
Alex Kerfoot,8477021,ARI
Alex Killorn,8473986,ANA
Alex Laferriere,8482155,LAK
Alex Lyon,8479312,DET
Alex Nedeljkovic,8477968,PIT
Alex Newhook,8481618,MTL
Alex Ovechkin,8471214,WSH
Alex Pietrangelo,8474565,VGK
Alex Tuch,8477949,BUF
Alex Turcotte,,LAK
Alex Vlasic,8481568,CHI
Alexandar Georgiev,8480382,COL
Alexander Holtz,8482125,VGK
Alexander Romanov,8481014,NYI
Alexander Wennberg,8477505,SJS
Alexandre Carrier,8478851,NSH
Alexandre Texier,8480074,STL
Alexey Toropchenko,8480281,STL
Alexis Lafrenière,8482109,NYR
Aliaksei Protas,8481656,WSH
Anders Lee,8475314,NYI
Andre Burakovsky,8477444,SEA
Andreas Athanasiou,8476960,CHI
Andrei Kuzmenko,8483808,CGY
Andrei Svechnikov,8480830,CAR
Andrei Vasilevskiy,8476883,TBL
Andrew Copp,8477429,DET
Andrew Mangiapane,8478233,WSH
Andrew Peeke,8479369,BOS
Anthony Cirelli,8478519,TBL
Anthony Duclair,8477407,NYI
Anthony Mantha,8477511,CGY
Anthony Stolarz,8476932,TOR
Anton Forsberg,8476341,OTT
Anton Lundell,8482113,FLA
Anze Kopitar,8471685,LAK
Arber Xhekaj,8482964,MTL
Artem Zub,8482245,OTT
Artemi Panarin,8478550,NYR
Arthur Kaliyev,8481560,LAK
Artturi Lehkonen,8477476,COL
Arturs Silovs,8481668,VAN
Auston Matthews,8479318,TOR
Barclay Goodrow,8476624,SJS
Barrett Hayton,8480849,ARI
Beck Malenstyn,8479359,BUF
Ben Chiarot,8475279,DET
Blake Coleman,8476399,CGY
Blake Lizotte,8481481,PIT
Bo Horvat,8477500,NYI
Bobby Brink,,PHI
Bobby McMann,8482259,TOR
Boone Jenner,8476432,CBJ
Bowen Byram,8481524,BUF
Brad Marchand,8473419,BOS
Braden Schneider,8482073,NYR
Bradly Nadeau,8484203,CAR
Brady Skjei,8476869,NSH
Brady Tkachuk,8480801,OTT
Brandon Carlo,8478443,BOS
Brandon Duhaime,8479520,WSH
Brandon Hagel,8479542,TBL
Brandon Montour,8477986,SEA
Brandon Saad,8476438,STL
Brandon Tanev,8479293,SEA
Brandt Clarke,8482730,LAK
Brayden McNabb,8475188,VGK
Brayden Pachal,8481167,CGY
Brayden Point,8478010,TBL
Brayden Schenn,8475170,STL
Brendan Brisson,8482153,VGK
Brendan Gallagher,8475848,MTL
Brendan Smith,8474090,DAL
Brenden Dillon,8475455,NJD
Brent Burns,8470613,CAR
Brett Howden,8479353,VGK
Brett Kulak,8476967,EDM
Brett Leason,8481517,ANA
Brett Pesce,8477488,NJD
Brian Dumoulin,8475208,ANA
Brock Boeser,8478444,VAN
Brock Faber,8482122,MIN
Brock McGinn,8476934,ANA
Brock Nelson,8475754,NYI
Bryan Rust,8475810,PIT
Cale Makar,8480069,COL
Calle Jarnkrok,8475714,TOR
Calvin Pickard,8475717,EDM
Cam Fowler,8475764,ANA
Cam Talbot,8475660,DET
Cam York,8481546,PHI
Cameron Atkinson,,TBL
Carson Soucy,8477369,VAN
Carter Verhaeghe,8477409,FLA
Casey Cizikas,8475231,NYI
Casey DeSmith,8479193,DAL
Casey Mittelstadt,8479999,COL
Cayden Primeau,8480051,MTL
Chandler Stephenson,8476905,SEA
Charlie Coyle,8475745,BOS
Charlie Lindgren,8479292,WSH
Charlie McAvoy,8479325,BOS
Chris Kreider,8475184,NYR
Chris Tanev,8475690,TOR
Chris Wagner,8475780,COL
Christian Dvorak,8477989,MTL
Christian Fischer,8478432,DET
Claude Giroux,8473512,OTT
Clayton Keller,8479343,ARI
Cody Ceci,8476879,SJS
Cody Glass,8479996,PIT
Cole Perfetti,8482149,WPG
Cole Caufield,8481540,MTL
Cole Sillinger,8482705,CBJ
Cole Smith,8482062,NSH
Colin Blackwell,8476278,DAL
Colin Miller,8476525,WPG
Colton Parayko,8476892,STL
Colton Sissons,8476925,NSH
Connor Bedard,8484144,CHI
Connor Brown,8477015,EDM
Connor Clifton,8477365,BUF
Connor Dewar,8480980,TOR
Connor Hellebuyck,8476945,WPG
Connor Ingram,8478971,ARI
Connor McDavid,8478402,EDM
Connor McMichael,8481580,WSH
Connor Murphy,8476473,CHI
Connor Zary,8482074,CGY
Conor Garland,8478856,VAN
Conor Sheary,8477839,TBL
Corey Perry,8470621,EDM
Craig Smith,8475225,CHI
Curtis Lazar,8477508,NJD
Cutter Gauthier,8483445,ANA
Dakota Joshua,8478057,VAN
Damon Severson,8476923,CBJ
Dan Vladar,8478435,CGY
Daniel Sprong,8478466,VAN
Daniil Miromanov,8482624,CGY
Daniil Tarasov,8480193,CBJ
Danton Heinen,8478046,VAN
Darcy Kuemper,8475311,LAK
Darnell Nurse,8477498,EDM
Darren Raddysh,8478178,TBL
David Gustafsson,8481019,WPG
David Kampf,8480144,TOR
David Pastrnak,8477956,BOS
David Perron,8474102,OTT
David Rittich,8479496,LAK
David Savard,8475233,MTL
Dawson Mercer,8482110,NJD
Declan Chisholm,8480990,MIN
Derek Forbort,8475762,VAN
Derek Ryan,8478585,EDM
Devon Levi,,BUF
Devon Toews,8478038,COL
Dmitri Voronkov,8481716,CBJ
Dmitry Kulikov,8475179,FLA
Dmitry Orlov,8475200,CAR
Dougie Hamilton,8476462,NJD
Drake Batherson,8480208,OTT
