game_num,game_date,venue,venue_location,a_team_id,h_team_id,a_team_code,h_team_code,a_goals,h_goals,a_sog,h_sog,a_fo_win_perc,h_fo_win_perc,a_ppg,h_ppg,a_pp_perc,h_pp_perc,a_pim,h_pim,a_hits,h_hits,a_blocked_shots,h_blocked_shots,a_giveaways,h_giveaways,a_takeaways,h_takeaways
2024020001,2024-10-04,O2 Czech Republic,Prague,1,7,NJD,BUF,4,1,23,31,0.423729,0.576271,0,0,0,0,8,4,34,29,18,15,22,12,2,5
2024020002,2024-10-05,O2 Czech Republic,Prague,7,1,BUF,NJD,1,3,18,37,0.352941,0.647059,0,1,0,0.25,13,9,28,18,10,22,17,26,4,5
2024020003,2024-10-08,Climate Pledge Arena,Seattle,19,55,STL,SEA,3,2,25,32,0.56338,0.43662,1,0,0.5,0,11,13,31,22,18,16,14,10,4,3
2024020004,2024-10-08,Amerant Bank Arena,Sunrise,6,13,BOS,FLA,4,6,28,35,0.484375,0.515625,1,0,0.25,0,19,15,27,26,21,8,17,8,8,5
2024020005,2024-10-08,Delta Center,Salt Lake City,16,59,CHI,UTA,2,5,26,27,0.5,0.5,0,0,0,0,17,11,31,23,12,23,16,22,5,1
2024020006,2024-10-09,Centre Bell,Montreal,10,8,TOR,MTL,0,1,48,27,0.666667,0.333333,0,1,0,0.2,10,8,23,23,15,25,13,14,4,5
2024020007,2024-10-09,PPG Paints Arena,Pittsburgh,3,5,NYR,PIT,6,0,40,31,0.542373,0.457627,0,0,0,0,8,6,18,25,20,10,18,19,4,4
2024020008,2024-10-09,Rogers Place,Edmonton,52,22,WPG,EDM,6,0,20,30,0.408163,0.591837,2,0,0.666667,0,2,6,11,20,29,8,16,8,5,7
2024020009,2024-10-09,Rogers Arena,Vancouver,20,23,CGY,VAN,6,5,26,24,0.461538,0.538462,1,2,0.333333,0.5,17,15,21,17,22,12,9,15,3,6
2024020010,2024-10-09,T-Mobile Arena,Paradise,21,54,COL,VGK,4,8,32,21,0.42,0.58,1,2,0.333333,0.666667,6,6,22,19,9,18,16,17,8,9
2024020011,2024-10-10,TD Garden,Boston,8,6,MTL,BOS,4,6,24,29,0.5,0.5,1,1,0.166667,0.2,10,12,23,25,16,15,17,17,7,3
2024020012,2024-10-10,KeyBank Center,Buffalo,26,7,LAK,BUF,3,1,23,33,0.416667,0.583333,1,0,0.2,0,15,35,20,29,19,15,12,14,2,8
2024020013,2024-10-10,Canadian Tire Centre,Ottawa,13,9,FLA,OTT,1,3,32,31,0.438596,0.561404,0,1,0,0.333333,6,4,22,30,9,30,13,14,2,2
2024020014,2024-10-10,Little Caesars Arena,Detroit,5,17,PIT,DET,6,3,28,32,0.536232,0.463768,1,1,0.5,0.2,10,4,22,22,16,12,13,14,4,7
2024020015,2024-10-10,Prudential Center,Newark,10,1,TOR,NJD,4,2,22,23,0.481481,0.518519,0,1,0,0.2,10,4,12,32,27,11,18,21,4,2
2024020016,2024-10-10,UBS Arena,Elmont,59,2,UTA,NYI,5,4,26,27,0.521739,0.478261,2,1,1,0.166667,12,4,13,24,20,20,20,11,11,2
2024020017,2024-10-10,Bridgestone Arena,Nashville,25,18,DAL,NSH,4,3,20,36,0.344828,0.655172,1,1,0.25,0.166667,12,8,11,21,13,16,19,22,2,10
2024020018,2024-10-10,Xcel Energy Center,St. Paul,29,30,CBJ,MIN,2,3,33,26,0.457627,0.542373,1,1,0.333333,0.333333,6,6,21,17,8,18,15,11,1,2
2024020019,2024-10-10,SAP Center at San Jose,San Jose,19,28,STL,SJS,5,4,40,29,0.583333,0.416667,0,1,0,0.5,4,4,18,21,15,23,17,19,5,5
2024020020,2024-10-11,Lenovo Center,Raleigh,14,12,TBL,CAR,4,1,23,21,0.469697,0.530303,2,0,0.333333,0,8,12,20,19,19,11,18,17,3,1
2024020021,2024-10-11,Canada Life Centre,Winnipeg,16,52,CHI,WPG,1,2,26,35,0.366667,0.633333,0,0,0,0,4,2,19,14,16,10,9,15,3,5
2024020022,2024-10-11,Rogers Arena,Vancouver,4,23,PHI,VAN,3,2,31,26,0.421875,0.578125,1,0,0.25,0,10,8,21,29,20,12,16,11,7,8
2024020023,2024-10-11,T-Mobile Arena,Paradise,19,54,STL,VGK,3,4,22,28,0.528302,0.471698,1,0,0.5,0,4,4,20,11,11,15,13,19,10,4
