def_id,abbrev,name,definition,first_season_for_stat,last_updated
1046,General concepts,5-on-5 stats,"Teams playing at full strength are generally playing at 5-on-5, meaning five skaters and a goalie versus five skaters and a goalie. Penalties frequently cause teams to play at less than full strength, leading to situations other than 5-on-5. Also note that late-game situations with the goalie pulled do not qualify as 5-on-5, e.g. turning 5-on-5 into 6-on-5 when a skater replaces the goalie on the ice. Many enhanced stats concentrate on 5-on-5 play to compare players under the manpower-neutral circumstances that make up the majority of time in a game.",20092010,2019-11-11T13:33:12
1047,A,Assists,"Assists can be awarded to a maximum of two players touching the puck before the goal scorer, provided the opposing team has not controlled the puck between the potential assists and the goal being scored. Unless otherwise specified, assist totals are for all situations (even strength, power play, shorthanded) combined. The last teammate to touch the puck before the goal scorer is awarded a primary assist. The preceding teammate to touch the puck before the first assisting player is awarded a secondary assist. Goals scored without teammates passing or otherwise touching the puck before it gets to the goal scorer are said to be unassisted and no assists are awarded. See primary assists and secondary assists.",19171918,2019-11-14T17:42:00
1048,A (5-on-5),Assists (5-on-5),Player's own assists in 5-on-5 situations,20092010,2019-11-11T13:33:12
1049,A/60 (5-on-5),Assists per 60 minutes (5-on-5),Player's own assists per 60 minutes in 5-on-5 situations,20092010,2019-11-11T13:33:12
1050,A/GP,Assists per game played,"In comparing the assist production of different players, assist totals can be divided by games played e.g. to account for players who have missed games due to injury or who have not spent the entire season in the NHL. However, this adjustment does not account for varying time on ice and varying special teams time. See assists.",19171918,2019-11-11T13:33:12
1051,Bench,Bench penalties,"Bench minor penalties are minor penalties assessed to either the coaching staff or the entire team. They include penalties for abuse of officials, delay of game, deliberate illegal substitution, face-off violation, illegal substitution, improper starting lineup, interference from the players or penalty bench, interference with an official, leaving bench at end of period, refusing to start play, stepping onto ice during period (coach), throwing objects onto ice, too many men on the ice, unsportsmanlike conduct, and unsustained request for measurement. Since no specific player is penalized, the coach selects a player to serve the penalty in the penalty box.",,2019-11-14T15:02:10
1052,Ctry,Birth country,A player's nationality may differ from his country of birth. The country listed is the current country that his birth city is in.,,2019-11-11T13:33:12
1053,BkS,Blocked shots,"A blocked shot occurs when an opponent's shot attempt is blocked by a skater, with his stick or body. From the shooter's perspective, attempts blocked count toward SAT but not toward USAT. The blocked shot statistic has been recorded by the NHL since 2002-03. See SAT; see USAT.",19971998,2019-11-11T13:33:12
1054,BkS/60,Blocked shots per 60 minutes,Player's average rate of blocked shots per 60 minutes of ice time,19971998,2019-11-11T13:33:12
1055,BkS/GP,Blocked shots per game played,Blocked shots divided by games played,19971998,2019-11-11T13:33:12
