player_id,games_played,games_started,wins,losses,ot_losses,goals,assist,goals_against,gaa,pim,save_pctg,shots_against,shutouts
8474593,534,517,241,212,63,0,19,1386,2.705483,42,0.908248,15106,24
8474596,460,436,208,184,43,0,6,1191,2.755634,14,0.907557,12862,28
8480045,155,151,71,65,15,0,3,453,3.059626,12,0.898198,4440,7
8482221,39,36,17,17,2,0,0,121,3.293186,0,0.894415,1146,0
8475831,370,337,166,139,33,0,6,899,2.65041,6,0.90804,9776,22
8476412,336,327,173,116,36,0,7,901,2.775719,63,0.906584,9645,18
8478916,126,116,49,50,18,0,2,328,2.759101,0,0.906491,3497,5
8480981,69,63,35,22,5,0,3,169,2.709911,6,0.907996,1826,2
8475683,754,740,429,243,57,0,13,1868,2.575062,34,0.914296,21796,49
8476904,67,60,31,24,5,0,2,151,2.450678,4,0.916667,1812,5
8476914,303,274,126,117,32,0,3,853,3.048808,6,0.90063,8574,7
8480280,190,183,101,62,22,0,1,471,2.578144,10,0.910354,5254,16
8475852,428,397,180,176,40,0,5,1134,2.848468,32,0.905881,12038,26
8478872,198,186,70,97,19,0,3,597,3.220488,4,0.899949,5937,6
8478971,102,99,39,44,15,0,5,302,3.13632,6,0.901629,3070,7
8482821,86,77,17,52,11,0,0,286,3.551407,0,0.889406,2577,0
8476932,142,116,64,39,12,0,5,322,2.546298,4,0.917523,3892,12
8478470,206,188,80,84,28,0,4,617,3.210318,0,0.898884,6092,5
8480051,55,45,13,24,7,0,2,174,3.692524,4,0.884154,1502,2
8483710,6,6,3,3,0,0,0,20,3.325788,0,0.878205,156,0
8471734,804,786,404,290,88,0,22,1939,2.49331,78,0.910521,21670,63
8477465,293,281,152,97,31,1,11,755,2.74874,22,0.909419,8324,21
8478048,274,269,162,88,22,0,3,670,2.5232,16,0.917499,8109,21
8482446,15,12,4,9,1,0,0,49,3.806071,0,0.884706,425,0
8475717,175,144,69,71,12,0,4,447,2.889374,6,0.903372,4626,5
8476945,568,558,322,185,44,0,10,1406,2.556475,8,0.917614,17066,45
8477480,77,73,33,36,3,0,2,224,3.10968,2,0.898413,2205,4
8479973,174,168,98,54,14,0,2,455,2.729801,0,0.90579,4819,7
8478435,105,95,49,34,16,0,2,297,3.001684,4,0.894943,2808,4
8480947,163,150,70,58,22,0,5,452,2.925324,4,0.904136,4715,7
8481668,19,18,8,8,2,0,0,57,3.132824,2,0.879747,474,0
8481692,71,69,37,23,9,0,3,191,2.733278,2,0.906373,2040,3
8478492,200,188,118,48,25,0,5,526,2.771561,6,0.901792,5356,15
8478499,186,173,96,64,13,0,4,453,2.62364,8,0.908963,4965,11
