player_id,games_played,wins,losses,ot_losses,gaa,save_pctg,shut_outs
8474593,49,26,16,6,2.500847,0.900329,4
8474596,31,13,16,1,2.657973,0.908425,4
8480045,55,24,24,5,3.196503,0.886577,2
8482221,9,2,7,0,4.119564,0.872093,0
8475831,26,8,17,1,3.491995,0.875184,0
8476412,56,28,22,5,2.686028,0.90048,3
8478916,57,27,23,5,2.749412,0.906191,2
8480981,31,16,8,3,2.64472,0.90352,1
8475683,54,33,19,2,2.437513,0.905592,5
8476904,2,1,1,0,2.508711,0.916667,0
8476914,27,11,10,3,2.90253,0.893218,3
8480280,58,22,29,7,3.114508,0.892157,4
8475852,38,12,21,2,3.345966,0.891182,1
8478872,58,26,22,8,2.58288,0.90391,1
8478971,22,9,8,4,3.272412,0.88172,0
8482821,36,10,18,7,3.176723,0.897884,0
8476932,34,21,8,3,2.144043,0.925654,4
8478470,62,31,24,7,2.818349,0.901669,4
8480051,11,2,3,1,4.697346,0.836,0
8483710,6,3,3,0,3.325789,0.878205,0
8471734,24,11,7,2,3.168177,0.893455,3
8477465,36,16,12,6,3.118966,0.892894,2
8478048,61,27,29,5,2.858664,0.904626,6
8482446,15,4,9,1,3.806072,0.884706,0
8475717,36,22,10,1,2.710291,0.899882,0
8476945,63,47,12,3,2.004615,0.92488,8
8477480,20,9,10,1,2.390742,0.914077,2
8479973,51,26,18,4,2.813982,0.895849,3
8478435,30,12,11,6,2.79613,0.897531,2
8480947,51,25,15,10,2.622705,0.901859,4
8481668,10,2,6,1,3.649657,0.861345,0
8481692,53,29,16,8,2.639545,0.909619,3
8478492,29,16,9,4,2.818892,0.890957,2
8478499,50,32,13,5,2.469206,0.906419,4
8480382,49,15,26,4,3.705367,0.874715,0
8481020,34,15,15,1,3.184684,0.883292,0
8475311,50,31,11,7,2.017722,0.921863,5
8479496,34,16,14,2,2.837998,0.88716,0
8476341,30,11,12,3,2.719898,0.901042,3
8476999,44,25,14,3,2.723643,0.909683,4
8481519,38,17,16,3,2.723744,0.902077,2
8475660,47,21,19,5,2.929414,0.901158,2
8478024,13,2,6,3,3.470015,0.889881,0
8473575,10,3,4,3,2.888446,0.889313,0
8478009,61,30,24,6,2.709462,0.907375,4
8475809,24,14,6,2,2.315956,0.908304,2
8479193,27,14,8,2,2.592223,0.914586,2
8479979,58,36,18,4,2.58646,0.908752,2
8483575,1,1,0,0,0.0,1.0,1
8470594,26,14,9,1,2.934689,0.898507,1
8478007,53,26,21,5,3.178891,0.8921,1
8479406,58,31,19,6,2.558723,0.913763,5
8480193,20,7,10,2,3.544112,0.880515,1
8477970,25,5,14,4,3.616446,0.883978,1
8478406,56,28,21,6,2.549918,0.912201,4
8475883,22,13,8,1,2.500916,0.899267,1
8476883,63,38,20,5,2.180021,0.921329,6
8477992,19,9,6,3,3.134429,0.895307,1
8481611,47,27,16,3,2.601498,0.897611,2
8478905,26,6,13,4,3.149019,0.879808,0
8481035,47,22,17,5,3.13631,0.88296,2
8477424,58,20,31,6,2.984082,0.895729,4
8479312,30,14,9,1,2.808352,0.896454,1
8474682,6,4,2,0,2.176845,0.901515,1
8479292,39,20,14,3,2.728465,0.896447,1
8480313,43,31,6,6,2.48506,0.91041,2
8482661,2,0,2,0,4.087425,0.843137,0
8473503,24,10,10,2,3.037789,0.897281,1
8480843,54,23,23,7,3.10042,0.902769,1
8481544,2,1,1,0,5.243037,0.8,0
8477831,1,0,0,0,4.366283,0.833333,0
8482982,11,7,2,2,1.908802,0.938053,2
8477968,38,14,15,5,3.124346,0.893738,1
8482447,12,8,3,1,1.991,0.925424,3
8479361,42,27,14,1,2.726901,0.908717,1
8482123,2,0,1,0,3.3637,0.846154,0
8482783,17,5,9,1,3.59235,0.866995,0
8477484,9,3,4,1,3.894387,0.845714,1
8478039,1,0,1,0,4.118993,0.8,0
8481033,5,2,0,1,1.259975,0.944444,0
8483182,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8476434,29,11,11,2,2.765419,0.912454,0
8478848,1,0,1,0,3.085714,0.869565,0
8481529,2,0,1,0,2.619134,0.878788,0
8484293,1,0,0,0,7.317073,0.857143,0
8481707,1,1,0,0,1.0236,0.965517,0
8480867,3,1,2,0,3.293085,0.915966,0
8482137,13,4,6,2,3.097098,0.896359,0
8483530,6,2,1,1,3.256878,0.892405,1
8477035,6,3,2,1,3.331328,0.891892,0
8482657,1,1,0,0,2.666667,0.857143,0
8477405,15,2,6,3,3.378115,0.877612,0
8477967,23,10,8,3,2.9033,0.889279,1
8481320,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8482193,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8483659,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8475789,5,1,4,0,4.498032,0.872611,0
8476433,3,1,0,0,2.502433,0.921875,0
8482445,6,2,3,1,4.975399,0.869792,0
8476899,2,1,1,0,3.539823,0.87931,0
8482487,16,7,4,3,2.743536,0.909091,1
8482477,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8475839,1,1,0,0,2.0,0.925926,0
8482411,1,0,1,0,7.0,0.730769,0
8480819,2,0,1,0,3.939593,0.871795,0
8480263,2,1,1,0,2.523836,0.939759,0
8480022,1,0,1,0,3.138622,0.823529,0
8484620,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8482076,6,3,1,0,1.59787,0.938596,1
8478433,5,1,2,0,3.871213,0.822917,0
8477990,1,0,1,0,5.176877,0.791667,0
8476861,1,1,0,0,3.907734,0.862,0
8483668,1,0,0,0,4.006678,0.666667,0
8484312,8,0,6,0,3.885513,0.876712,0
8480885,2,0,1,0,3.100108,0.862069,0
8480191,1,1,0,0,3.0,0.903226,0
8484887,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8484910,1,0,0,0,0.0,1.0,0
8482668,1,0,0,0,12.720848,0.5,0
8484268,2,1,1,0,2.151823,0.884615,0
