player_id,first_name,last_name,birth_date,is_active,position,shoots_catches,height_inches,height_cm,weight_lbs,weight_kg,birth_city,birth_country,draft_year,draft_team,draft_round,draft_pick_in_round,draft_overall_pick,head_shot,hero_image
8474593,Jacob,Markstrom,1990-01-31,True,G,L,78,198,207,94,Gavle,SWE,2008,FLA,2,1,31,https://assets.nhle.com/mugs/nhl/20252026/NJD/8474593.png,https://assets.nhle.com/mugs/actionshots/1296x729/8474593.jpg
8474596,Jake,Allen,1990-08-07,True,G,L,74,188,197,89,Fredericton,CAN,2008,STL,2,4,34,https://assets.nhle.com/mugs/nhl/20252026/NJD/8474596.png,https://assets.nhle.com/mugs/actionshots/1296x729/8474596.jpg
8475193,Tomas,Tatar,1990-12-01,False,L,L,70,178,173,78,Ilava,SVK,2009,DET,2,30,60,https://assets.nhle.com/mugs/nhl/latest/8475193.png,https://assets.nhle.com/mugs/actionshots/1296x729/8475193.jpg
8475287,Erik,Haula,1991-03-23,True,L,L,71,180,191,87,Pori,FIN,2009,MIN,7,2,182,https://assets.nhle.com/mugs/nhl/20252026/NSH/8475287.png,https://assets.nhle.com/mugs/actionshots/1296x729/8475287.jpg
8475455,Brenden,Dillon,1990-11-13,True,D,L,76,193,225,102,New Westminster,CAN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/nhl/20252026/NJD/8475455.png,https://assets.nhle.com/mugs/actionshots/1296x729/8475455.jpg
8475722,Jason,Zucker,1992-01-16,True,L,L,71,180,195,88,Newport Beach,USA,2010,MIN,2,29,59,https://assets.nhle.com/mugs/nhl/20252026/BUF/8475722.png,https://assets.nhle.com/mugs/actionshots/1296x729/8475722.jpg
8476292,Ondrej,Palat,1991-03-28,True,L,L,72,183,194,88,Frydek-Mistek,CZE,2011,TBL,7,27,208,https://assets.nhle.com/mugs/nhl/20252026/NJD/8476292.png,https://assets.nhle.com/mugs/actionshots/1296x729/8476292.jpg
8476462,Dougie,Hamilton,1993-06-17,True,D,R,78,198,230,104,Toronto,CAN,2011,BOS,1,9,9,https://assets.nhle.com/mugs/nhl/20252026/NJD/8476462.png,https://assets.nhle.com/mugs/actionshots/1296x729/8476462.jpg
8476474,Stefan,Noesen,1993-02-12,True,R,R,73,185,205,93,Plano,USA,2011,OTT,1,21,21,https://assets.nhle.com/mugs/nhl/20252026/NJD/8476474.png,https://assets.nhle.com/mugs/actionshots/1296x729/8476474.jpg
8477365,Connor,Clifton,1995-04-28,True,D,R,71,180,195,88,Matawan,USA,2013,PHX,5,12,133,https://assets.nhle.com/mugs/nhl/20252026/PIT/8477365.png,https://assets.nhle.com/mugs/actionshots/1296x729/8477365.jpg
8477508,Curtis,Lazar,1995-02-02,True,C,R,72,183,203,92,Salmon Arm,CAN,2013,OTT,1,17,17,https://assets.nhle.com/mugs/nhl/20252026/EDM/8477508.png,https://assets.nhle.com/mugs/actionshots/1296x729/8477508.jpg
8477949,Alex,Tuch,1996-05-10,True,R,R,76,193,219,99,Syracuse,USA,2014,MIN,1,18,18,https://assets.nhle.com/mugs/nhl/20252026/BUF/8477949.png,https://assets.nhle.com/mugs/actionshots/1296x729/8477949.jpg
8477979,Nicolas,Aube-Kubel,1996-05-10,True,R,R,72,183,213,97,Slave Lake,CAN,2014,PHI,2,18,48,https://assets.nhle.com/mugs/nhl/20252026/MIN/8477979.png,https://assets.nhle.com/mugs/actionshots/1296x729/8477979.jpg
8478043,Sam,Lafferty,1995-03-06,True,C,R,74,188,205,93,Hollidaysburg,USA,2014,PIT,4,23,113,https://assets.nhle.com/mugs/nhl/20252026/CHI/8478043.png,https://assets.nhle.com/mugs/actionshots/1296x729/8478043.jpg
8478399,Jonas,Siegenthaler,1997-05-06,True,D,L,74,188,218,99,Zurich,SUI,2015,WSH,2,27,57,https://assets.nhle.com/mugs/nhl/20252026/NJD/8478399.png,https://assets.nhle.com/mugs/actionshots/1296x729/8478399.jpg
8478413,Jordan,Greenway,1997-02-16,True,L,L,78,198,231,105,Canton,USA,2015,MIN,2,20,50,https://assets.nhle.com/mugs/nhl/20252026/BUF/8478413.png,https://assets.nhle.com/mugs/actionshots/1296x729/8478413.jpg
8478414,Timo,Meier,1996-10-08,True,R,L,73,185,220,100,Herisau,SUI,2015,SJS,1,9,9,https://assets.nhle.com/mugs/nhl/20252026/NJD/8478414.png,https://assets.nhle.com/mugs/actionshots/1296x729/8478414.jpg
8479359,Beck,Malenstyn,1998-02-04,True,L,L,75,191,209,95,Delta,CAN,2016,WSH,5,24,145,https://assets.nhle.com/mugs/nhl/20252026/BUF/8479359.png,https://assets.nhle.com/mugs/actionshots/1296x729/8479359.jpg
8479407,Jesper,Bratt,1998-07-30,True,L,L,70,178,175,79,Stockholm,SWE,2016,NJD,6,11,162,https://assets.nhle.com/mugs/nhl/20252026/NJD/8479407.png,https://assets.nhle.com/mugs/actionshots/1296x729/8479407.jpg
8479414,Nathan,Bastian,1997-12-06,True,R,R,76,193,205,93,Kitchener,CAN,2016,NJD,2,11,41,https://assets.nhle.com/mugs/nhl/20252026/DAL/8479414.png,https://assets.nhle.com/mugs/actionshots/1296x729/8479414.jpg
8479420,Tage,Thompson,1997-10-30,True,C,R,78,198,220,100,Phoenix,USA,2016,STL,1,26,26,https://assets.nhle.com/mugs/nhl/20252026/BUF/8479420.png,https://assets.nhle.com/mugs/actionshots/1296x729/8479420.jpg
8480002,Nico,Hischier,1999-01-04,True,C,L,73,185,200,91,Maters,SUI,2017,NJD,1,1,1,https://assets.nhle.com/mugs/nhl/20252026/NJD/8480002.png,https://assets.nhle.com/mugs/actionshots/1296x729/8480002.jpg
8480035,Henri,Jokiharju,1999-06-17,True,D,R,72,183,200,91,Oulu,FIN,2017,CHI,1,29,29,https://assets.nhle.com/mugs/nhl/20252026/BOS/8480035.png,https://assets.nhle.com/mugs/actionshots/1296x729/8480035.jpg
8480045,Ukko-Pekka,Luukkonen,1999-03-09,True,G,L,77,196,223,101,Espoo,FIN,2017,BUF,2,23,54,https://assets.nhle.com/mugs/nhl/20252026/BUF/8480045.png,https://assets.nhle.com/mugs/actionshots/1296x729/8480045.jpg
8480192,Johnathan,Kovacevic,1997-07-12,True,D,R,77,196,223,101,Hamilton,CAN,2017,WPG,3,12,74,https://assets.nhle.com/mugs/nhl/20252026/NJD/8480192.png,https://assets.nhle.com/mugs/actionshots/1296x729/8480192.jpg
8480802,Ryan,McLeod,1999-09-21,True,C,L,75,191,188,85,Mississauga,CAN,2018,EDM,2,9,40,https://assets.nhle.com/mugs/nhl/20252026/BUF/8480802.png,https://assets.nhle.com/mugs/actionshots/1296x729/8480802.jpg
8480807,Mattias,Samuelsson,2000-03-14,True,D,L,76,193,227,103,Philadelphia,USA,2018,BUF,2,1,32,https://assets.nhle.com/mugs/nhl/20252026/BUF/8480807.png,https://assets.nhle.com/mugs/actionshots/1296x729/8480807.jpg
8480839,Rasmus,Dahlin,2000-04-13,True,D,L,75,191,204,93,Lidkoping,SWE,2018,BUF,1,1,1,https://assets.nhle.com/mugs/nhl/20252026/BUF/8480839.png,https://assets.nhle.com/mugs/actionshots/1296x729/8480839.jpg
8481032,Paul,Cotter,1999-11-16,True,C,L,74,188,213,97,Canton,USA,2018,VGK,4,22,115,https://assets.nhle.com/mugs/nhl/20252026/NJD/8481032.png,https://assets.nhle.com/mugs/actionshots/1296x729/8481032.jpg
8481524,Bowen,Byram,2001-06-13,True,D,L,73,185,205,93,Cranbrook,CAN,2019,COL,1,4,4,https://assets.nhle.com/mugs/nhl/20252026/BUF/8481524.png,https://assets.nhle.com/mugs/actionshots/1296x729/8481524.jpg
8481528,Dylan,Cozens,2001-02-09,True,C,R,75,191,207,94,Whitehorse,CAN,2019,BUF,1,7,7,https://assets.nhle.com/mugs/nhl/20252026/OTT/8481528.png,https://assets.nhle.com/mugs/actionshots/1296x729/8481528.jpg
8481559,Jack,Hughes,2001-05-14,True,C,L,71,180,175,79,Orlando,USA,2019,NJD,1,1,1,https://assets.nhle.com/mugs/nhl/20252026/NJD/8481559.png,https://assets.nhle.com/mugs/actionshots/1296x729/8481559.jpg
8482097,Jack,Quinn,2001-09-19,True,R,R,73,185,185,84,Ottawa,CAN,2020,BUF,1,8,8,https://assets.nhle.com/mugs/nhl/20252026/BUF/8482097.png,https://assets.nhle.com/mugs/actionshots/1296x729/8482097.jpg
8482110,Dawson,Mercer,2001-10-27,True,C,R,72,183,180,82,Carbonear,CAN,2020,NJD,1,18,18,https://assets.nhle.com/mugs/nhl/20252026/NJD/8482110.png,https://assets.nhle.com/mugs/actionshots/1296x729/8482110.jpg
8482175,JJ,Peterka,2002-01-14,True,R,L,72,183,189,86,Munich,GER,2020,BUF,2,3,34,https://assets.nhle.com/mugs/nhl/20252026/UTA/8482175.png,https://assets.nhle.com/mugs/actionshots/1296x729/8482175.jpg
8482221,Devon,Levi,2001-12-27,True,G,L,72,183,192,87,Dollard-des-Ormeaux,CAN,2020,FLA,7,26,212,https://assets.nhle.com/mugs/nhl/20252026/BUF/8482221.png,https://assets.nhle.com/mugs/actionshots/1296x729/8482221.jpg
8482671,Owen,Power,2002-11-22,True,D,L,78,198,226,103,Mississauga,CAN,2021,BUF,1,1,1,https://assets.nhle.com/mugs/nhl/20252026/BUF/8482671.png,https://assets.nhle.com/mugs/actionshots/1296x729/8482671.jpg
8483429,Seamus,Casey,2004-01-08,True,D,R,70,178,162,73,Miami,USA,2022,NJD,2,14,46,https://assets.nhle.com/mugs/nhl/20252026/NJD/8483429.png,https://assets.nhle.com/mugs/actionshots/1296x729/8483429.jpg
8483495,Simon,Nemec,2004-02-15,True,D,R,73,185,190,86,Liptovský Mikuláš,SVK,2022,NJD,1,2,2,https://assets.nhle.com/mugs/nhl/20252026/NJD/8483495.png,https://assets.nhle.com/mugs/actionshots/1296x729/8483495.jpg
8484145,Zach,Benson,2005-05-12,True,L,L,70,178,170,77,Chilliwack,CAN,2023,BUF,1,13,13,https://assets.nhle.com/mugs/nhl/20252026/BUF/8484145.png,https://assets.nhle.com/mugs/actionshots/1296x729/8484145.jpg
8477073,Kurtis,MacDermid,1994-03-25,True,L,L,77,196,233,106,Quebec City,CAN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/nhl/20252026/NJD/8477073.png,https://assets.nhle.com/mugs/actionshots/1296x729/8477073.jpg
8481522,Peyton,Krebs,2001-01-26,True,C,L,72,183,186,84,Calgary,CAN,2019,VGK,1,17,17,https://assets.nhle.com/mugs/nhl/20252026/BUF/8481522.png,https://assets.nhle.com/mugs/actionshots/1296x729/8481522.jpg
8483468,Jiri,Kulich,2004-04-14,True,C,L,73,185,190,86,Kadan,CZE,2022,BUF,1,28,28,https://assets.nhle.com/mugs/nhl/20252026/BUF/8483468.png,https://assets.nhle.com/mugs/actionshots/1296x729/8483468.jpg
8470600,Ryan,Suter,1985-01-21,False,D,L,73,185,201,91,Madison,USA,2003,NSH,1,7,7,https://assets.nhle.com/mugs/nhl/latest/8470600.png,https://assets.nhle.com/mugs/actionshots/1296x729/8470600.jpg
8474586,Jordan,Eberle,1990-05-15,True,R,R,71,180,180,82,Regina,CAN,2008,EDM,1,22,22,https://assets.nhle.com/mugs/nhl/20252026/SEA/8474586.png,https://assets.nhle.com/mugs/actionshots/1296x729/8474586.jpg
8475170,Brayden,Schenn,1991-08-22,True,C,L,73,185,199,90,Saskatoon,CAN,2009,LAK,1,5,5,https://assets.nhle.com/mugs/nhl/20252026/STL/8475170.png,https://assets.nhle.com/mugs/actionshots/1296x729/8475170.jpg
8475181,Nick,Leddy,1991-03-20,True,D,L,72,183,205,93,Eden Prairie,USA,2009,MIN,1,16,16,https://assets.nhle.com/mugs/nhl/20252026/SJS/8475181.png,https://assets.nhle.com/mugs/actionshots/1296x729/8475181.jpg
8475753,Justin,Faulk,1992-03-20,True,D,R,72,183,214,97,South St. Paul,USA,2010,CAR,2,7,37,https://assets.nhle.com/mugs/nhl/20252026/STL/8475753.png,https://assets.nhle.com/mugs/actionshots/1296x729/8475753.jpg
8475768,Jaden,Schwartz,1992-06-25,True,C,L,70,178,185,84,Wilcox,CAN,2010,STL,1,14,14,https://assets.nhle.com/mugs/nhl/20252026/SEA/8475768.png,https://assets.nhle.com/mugs/actionshots/1296x729/8475768.jpg
8475831,Philipp,Grubauer,1991-11-25,True,G,L,73,185,188,85,Rosenheim,GER,2010,WSH,4,22,112,https://assets.nhle.com/mugs/nhl/20252026/SEA/8475831.png,https://assets.nhle.com/mugs/actionshots/1296x729/8475831.jpg
8476412,Jordan,Binnington,1993-07-11,True,G,L,74,188,172,78,Richmond Hill,CAN,2011,STL,3,27,88,https://assets.nhle.com/mugs/nhl/20252026/STL/8476412.png,https://assets.nhle.com/mugs/actionshots/1296x729/8476412.jpg
