player_id,games_played,goals,assists,points,game_win_goals,ot_goals,shots,shooting_pctg,pim,plus_minus,pp_goals,pp_points,sh_goals,sh_points
8475193,74,7,10,17,0,0,66,0.106061,20,-7,1,3,0,0
8475287,69,11,10,21,1,0,110,0.1,39,-6,2,5,0,0
8475455,82,2,14,16,0,0,48,0.041667,67,8,0,0,0,1
8475722,73,21,32,53,4,0,143,0.146853,57,4,11,21,0,0
8476292,77,15,13,28,3,0,96,0.15625,12,-5,2,4,1,1
8476462,64,9,31,40,3,0,186,0.048387,30,8,5,15,0,0
8476474,78,22,19,41,5,1,165,0.133333,54,-8,11,15,0,0
8477365,73,1,15,16,0,0,63,0.015873,45,-6,0,0,0,3
8477508,48,2,3,5,0,0,27,0.074074,14,-6,0,0,0,0
8477949,82,36,31,67,4,1,196,0.183673,47,16,3,11,6,9
8477979,22,1,1,2,0,0,18,0.055556,19,-5,0,0,0,0
8478043,60,4,3,7,0,0,50,0.08,28,-15,0,0,0,0
8478399,55,2,7,9,0,0,52,0.038462,44,9,0,0,0,0
8478413,34,3,5,8,0,0,36,0.083333,45,-4,0,0,0,0
8478414,80,26,27,53,5,0,239,0.108787,58,7,7,13,0,0
8479359,76,4,6,10,0,0,67,0.059701,29,-16,0,0,0,0
8479407,81,21,67,88,2,0,180,0.116667,18,5,4,34,2,4
8479414,59,4,6,10,1,0,44,0.090909,31,-4,1,1,1,1
8479420,76,44,28,72,6,0,242,0.181818,35,-2,7,16,0,0
8480002,75,35,34,69,3,0,187,0.187166,20,9,14,29,0,2
8480035,60,3,7,10,2,0,59,0.050847,14,13,0,0,0,0
8480192,81,1,16,17,1,0,76,0.013158,72,10,0,0,0,0
8480802,79,20,33,53,2,0,97,0.206186,16,13,0,2,3,6
8480807,62,4,10,14,1,0,52,0.076923,22,3,0,1,0,0
8480839,73,17,51,68,1,1,200,0.085,54,11,5,21,0,1
8481032,79,16,6,22,2,0,90,0.177778,62,-14,0,0,0,0
8481524,82,7,31,38,2,0,94,0.074468,46,11,0,2,0,1
8481528,82,16,31,47,2,0,188,0.085106,68,-17,5,12,0,0
8481559,62,27,43,70,7,2,229,0.117904,18,12,6,27,1,2
8482097,74,15,24,39,3,0,123,0.121951,18,-18,3,13,0,0
8482110,82,19,17,36,3,0,141,0.134752,16,4,6,8,1,1
8482175,77,27,41,68,3,0,173,0.156069,34,-1,6,18,0,0
8482671,79,7,33,40,0,0,139,0.05036,16,-13,1,6,0,0
8483429,14,4,4,8,1,0,12,0.333333,0,3,2,3,0,0
8483495,27,2,2,4,1,0,26,0.076923,14,-10,0,2,0,0
8484145,75,10,18,28,0,0,120,0.083333,60,-2,3,4,0,0
8477073,23,0,0,0,0,0,7,0.0,23,-5,0,0,0,0
8481522,81,10,18,28,0,0,80,0.125,60,1,1,1,1,1
8483468,62,15,9,24,3,1,134,0.11194,18,-4,0,0,0,0
8470600,82,2,13,15,0,0,62,0.032258,24,7,0,0,1,1
8474586,42,9,17,26,1,1,66,0.136364,14,0,1,5,0,0
8475170,82,18,32,50,5,2,145,0.124138,61,3,2,7,0,0
8475181,31,2,3,5,0,0,21,0.095238,2,6,0,0,0,0
8475753,78,4,28,32,1,0,124,0.032258,30,-9,1,12,0,0
8475768,81,26,23,49,6,0,194,0.134021,24,-6,6,10,0,0
8476457,82,7,21,28,1,0,112,0.0625,31,22,0,0,0,0
8476467,82,4,13,17,1,0,66,0.060606,34,-2,0,0,0,0
8476826,57,7,24,31,2,0,75,0.093333,52,-1,0,1,0,0
8476889,70,5,10,15,1,0,68,0.073529,30,-2,0,0,0,0
8476892,64,16,20,36,4,1,125,0.128,8,12,1,1,1,2
8476905,78,13,38,51,1,0,73,0.178082,24,-9,1,18,2,2
8477402,76,20,37,57,3,0,145,0.137931,23,10,2,12,0,2
8477416,79,21,25,46,2,0,154,0.136364,18,2,5,12,0,0
8477444,79,10,27,37,1,0,115,0.086957,12,-3,0,8,0,0
8477573,73,8,8,16,0,0,72,0.111111,63,-5,0,0,0,1
8477953,67,6,8,14,2,0,66,0.090909,16,-22,0,0,0,0
8477955,82,22,39,61,3,1,202,0.108911,18,8,4,16,0,1
8477986,81,18,23,41,4,1,231,0.077922,70,-22,5,11,0,0
8478407,62,11,28,39,3,1,137,0.080292,33,-3,2,12,0,0
8478472,60,4,10,14,0,0,69,0.057971,28,-6,0,0,1,1
8478840,84,5,10,15,0,0,81,0.061728,42,-4,0,0,1,1
8479293,79,10,12,22,0,0,99,0.10101,16,-12,0,0,0,0
8479385,82,36,34,70,4,0,239,0.150628,20,23,7,17,0,0
8480009,81,23,12,35,3,0,137,0.167883,23,3,2,5,0,0
8480023,70,21,60,81,5,1,145,0.144828,20,20,3,19,1,1
8480074,31,6,5,11,1,0,50,0.12,10,-3,1,2,0,0
8480281,80,4,14,18,1,0,90,0.044444,25,-1,0,0,0,0
8481598,68,8,21,29,2,1,97,0.082474,16,21,0,2,0,0
8481789,63,6,7,13,0,0,56,0.107143,43,-14,0,0,1,1
8482077,77,26,37,63,8,1,178,0.146067,10,21,6,13,0,0
8482089,82,22,24,46,3,1,122,0.180328,56,0,6,12,0,0
8482516,29,0,3,3,0,0,17,0.0,10,-3,0,0,0,0
8482665,82,20,23,43,2,1,147,0.136054,14,0,5,9,0,0
8482858,73,5,20,25,0,0,59,0.084746,30,-12,1,3,0,0
8483524,79,19,25,44,2,0,91,0.208791,18,4,7,13,0,0
8473419,71,23,28,51,5,2,194,0.118557,64,-7,5,13,0,1
8475179,70,4,9,13,0,0,64,0.0625,38,12,0,1,0,0
8475745,83,17,18,35,3,0,115,0.147826,24,-9,3,7,1,1
8476854,17,3,4,7,1,0,35,0.085714,4,-4,0,1,0,0
8477409,81,20,33,53,5,0,242,0.082645,46,-14,5,16,0,0
8477493,67,20,51,71,4,2,149,0.134228,16,1,9,28,1,4
8477496,82,17,30,47,3,0,152,0.111842,14,-4,2,14,1,3
8477507,81,4,18,22,0,0,105,0.038095,145,25,0,0,0,2
8477932,56,3,30,33,2,0,106,0.028302,53,11,0,11,0,2
8477933,79,39,42,81,4,0,213,0.183099,27,6,13,30,5,6
8477935,76,25,26,51,4,1,241,0.103734,90,-15,7,11,0,0
8477956,82,43,63,106,4,3,319,0.134796,42,0,9,23,0,0
8478055,80,11,20,31,1,1,195,0.05641,16,33,0,1,1,2
8478401,82,14,33,47,5,2,132,0.106061,21,-8,2,7,2,3
8478421,81,6,11,17,3,0,86,0.069767,130,4,0,0,1,1
8478443,83,1,11,12,0,0,77,0.012987,37,6,0,0,0,0
8478542,82,15,17,32,1,0,161,0.093168,38,-4,4,7,0,0
8478859,76,6,16,22,0,0,116,0.051724,70,12,0,0,0,0
8479314,52,22,35,57,2,0,156,0.141026,54,-3,11,23,0,0
8479325,50,7,16,23,2,0,98,0.071429,46,0,2,4,1,1
8479365,58,8,7,15,0,0,78,0.102564,44,-16,1,3,0,0
8479368,26,1,1,2,0,0,17,0.058824,18,-13,0,0,0,0
8479369,76,1,16,17,0,0,80,0.0125,15,-10,0,0,1,2
8479638,76,11,11,22,3,0,89,0.123596,18,-9,4,5,0,0
8479981,42,4,0,4,2,0,43,0.093023,60,-7,0,0,0,0
8479987,77,33,24,57,4,0,150,0.22,22,3,4,9,0,0
8480003,78,12,11,23,3,0,87,0.137931,14,-4,0,0,1,1
8480185,80,9,15,24,3,0,87,0.103448,28,12,0,1,1,2
8480355,61,5,9,14,0,0,67,0.074627,106,-3,0,0,0,0
8480871,35,4,10,14,0,0,40,0.1,10,-9,1,6,0,0
8481043,73,10,7,17,2,0,85,0.117647,17,1,0,0,0,0
8481556,78,3,8,11,0,0,44,0.068182,26,-9,0,0,0,0
8482113,79,17,28,45,1,0,158,0.107595,36,17,2,6,2,2
8482511,77,5,28,33,0,0,92,0.054348,16,-43,1,16,0,0
8482713,72,15,16,31,5,0,129,0.116279,12,-4,4,11,0,0
8484304,76,4,14,18,0,0,92,0.043478,27,-7,0,4,0,0
8473422,78,15,20,35,1,0,104,0.144231,48,-17,2,4,2,2
8474013,82,1,16,17,0,0,66,0.015152,77,-2,0,0,0,1
8474034,68,5,14,19,1,0,73,0.068493,97,-13,1,1,0,0
8474166,44,5,7,12,0,0,38,0.131579,8,-15,0,2,0,0
8474673,54,2,8,10,0,0,23,0.086957,18,-18,0,0,0,0
8475225,59,9,9,18,1,0,90,0.1,34,-9,2,2,0,0
8475791,77,18,24,42,3,0,144,0.125,36,-14,5,9,0,0
8476473,68,2,17,19,0,0,84,0.02381,52,-2,0,0,0,1
8476882,82,15,43,58,0,0,111,0.135135,12,-23,7,24,0,2
8477021,81,11,17,28,1,0,101,0.108911,14,-5,0,1,2,2
8477070,28,0,2,2,0,0,34,0.0,50,1,0,0,0,0
8477450,59,7,9,16,0,0,56,0.125,38,-11,0,0,0,0
8477479,82,23,23,46,1,0,131,0.175573,51,-39,10,20,0,0
8477495,63,9,27,36,2,0,129,0.069767,22,-24,5,19,0,0
8477951,82,20,43,63,3,0,186,0.107527,14,-15,9,25,0,0
8477987,80,31,31,62,3,0,182,0.17033,41,-15,5,14,0,0
8478474,81,12,6,18,2,0,126,0.095238,39,-4,1,1,0,0
8478831,82,14,14,28,1,0,102,0.137255,40,-6,0,0,1,1
8479315,18,0,1,1,0,0,17,0.0,0,-2,0,0,0,0
8479343,81,30,60,90,5,1,218,0.137615,28,-12,10,37,0,0
8479410,77,15,38,53,3,2,132,0.113636,32,-8,3,23,1,1
8479976,43,2,3,5,0,0,40,0.05,14,-5,0,0,0,0
8480434,30,4,7,11,0,0,39,0.102564,19,4,1,2,0,0
8480798,51,7,7,14,1,1,54,0.12963,14,-28,1,1,0,0
