"first_name","last_name","games_played","goals_allowed"
"Jeremy","Swayman",58,"172"
"Elvis","Merzlikins",53,"169"
"Ukko-Pekka","Luukkonen",55,"169"
"Igor","Shesterkin",61,"167"
"Alexandar","Georgiev",49,"164"
"Sam","Montembeault",62,"164"
"Juuse","Saros",58,"161"
"Ilya","Sorokin",61,"157"
"Lukas","Dostal",54,"155"
"Joey","Daccord",57,"149"
"Mackenzie","Blackwood",56,"148"
"Filip","Gustavsson",58,"146"
"Jordan","Binnington",56,"144"
"Karel","Vejmelka",58,"140"
"Jake","Oettinger",58,"140"
"Stuart","Skinner",51,"139"
"Andrei","Vasilevskiy",63,"139"
"Dustin","Wolf",53,"138"
"Samuel","Ersson",47,"137"
"Kevin","Lankinen",51,"132"
"Sergei","Bobrovsky",54,"126"
"Connor","Hellebuyck",63,"126"
"Jacob","Markstrom",49,"124"
"Adin","Hill",50,"123"
"Cam","Talbot",47,"121"
"Pyotr","Kochetkov",47,"120"
"Alex","Nedeljkovic",38,"119"
"Petr","Mrazek",38,"118"
"Arvid","Soderblom",36,"113"
"Joseph","Woll",42,"110"
"Linus","Ullmark",44,"110"
"Tristan","Jarry",36,"107"
"Logan","Thompson",43,"106"
"Darcy","Kuemper",50,"105"
"Spencer","Knight",38,"102"
"Charlie","Lindgren",39,"102"
"Justus","Annunen",34,"91"
"David","Rittich",34,"85"
"Dan","Vladar",30,"85"
"Philipp","Grubauer",26,"83"
"Vitek","Vanecek",25,"81"
"Calvin","Pickard",36,"80"
"Ilya","Samsonov",29,"78"
"Joel","Hofer",31,"75"
"Ivan","Fedotov",26,"74"
"Anthony","Stolarz",34,"73"
"Joonas","Korpisalo",27,"73"
"Jake","Allen",31,"73"
"John","Gibson",29,"72"
"Alex","Lyon",30,"71"
"Marc-Andre","Fleury",26,"70"
"Anton","Forsberg",30,"69"
"Jonathan","Quick",24,"67"
"Daniil","Tarasov",20,"66"
"Connor","Ingram",22,"66"
"Thatcher","Demko",23,"64"
"Casey","DeSmith",27,"63"
"James","Reimer",24,"60"
"Jonas","Johansson",19,"54"
"Scott","Wedgewood",24,"53"
"Aleksei","Kolosov",17,"50"
"Joel","Blomqvist",15,"49"
"Frederik","Andersen",22,"45"
"Eric","Comrie",20,"44"
"Cayden","Primeau",11,"44"
"Jakub","Dobes",16,"40"
"Yaroslav","Askarov",13,"38"
"Marcus","Hogberg",15,"36"
"Ville","Husso",13,"35"
"Arturs","Silovs",10,"33"
"Semyon","Varlamov",10,"33"
"Devon","Levi",9,"33"
"Spencer","Martin",9,"28"
"Georgi","Romanov",8,"23"
"Leevi","Merilainen",12,"22"
"Dennis","Hildeby",6,"20"
"Jet","Greaves",11,"19"
"Jaxson","Stauber",6,"18"
"Dustin","Tokarski",6,"13"
"Mads","Sogaard",2,"8"
"Jesper","Wallstedt",2,"8"
"Matt","Murray",2,"7"
"Hunter","Shepard",1,"7"
"Akira","Schmid",5,"5"
"Brandon","Halverson",1,"5"
"Jakub","Skarek",2,"5"
"Nico","Daws",6,"5"
"Trent","Miner",2,"4"
"Drew","Commesso",2,"4"
"Kaapo","Kahkonen",1,"4"
"Olivier","Rodrigue",2,"4"
"Sebastian","Cossa",1,"3"
"Ales","Stezka",1,"3"
"Pheonix","Copley",1,"2"
"Nikke","Kokko",1,"2"
"Louis","Domingue",1,"2"
"Tristan","Lennox",1,"1"
"Yaniv","Perets",1,"1"
"Erik","Portillo",1,"1"
NULL,NULL,NULL,"0"
