"game_id","h_team_id","a_team_id","game_period","time_remaining","home_def_code","event_owner_team_id","x_coord","y_coord","shot_type","score_player_id"
2024020002,1,7,2,"11:42","right",7,84,-5,"poke",8479420
2024020004,13,6,3,"1:45","right",6,79,25,"wrist",8477956
2024020011,6,8,2,"4:04","right",6,-62,5,"slap",8477956
2024020024,6,26,4,"1:53","right",6,-80,8,"wrist",8477956
2024020025,7,13,1,"2:33","left",7,62,-22,"wrist",8479420
2024020026,10,5,2,"19:10","left",10,82,6,"snap",8477939
2024020026,10,5,3,"0:22","right",10,-81,11,"snap",8477939
2024020036,22,16,3,"9:59","left",22,74,12,"wrist",8477934
2024020056,22,4,4,"4:04","right",22,-72,-3,"snap",8477934
2024020057,5,7,1,"19:17","left",7,-88,4,"wrap-around",8479420
2024020058,10,26,2,"1:29","left",10,55,-26,"wrist",8477939
2024020059,21,6,2,"10:51","left",6,-83,6,"wrist",8477956
2024020077,25,22,3,"2:22","right",22,80,19,"snap",8477934
2024020080,1,15,1,"5:42","left",15,-77,4,"tip-in",8471214
2024020085,16,7,1,"11:21","right",7,44,0,"wrist",8479420
2024020091,10,14,1,"16:03","right",10,-64,-3,"snap",8477939
2024020091,10,14,2,"12:27","left",10,73,-18,"wrist",8477939
2024020095,7,25,3,"15:43","left",7,54,17,"slap",8479420
2024020108,15,4,3,"1:10","right",15,-50,-39,"backhand",8471214
2024020109,6,25,1,"8:03","left",6,70,-1,"snap",8477956
2024020121,22,5,2,"7:00","right",22,-60,24,"snap",8477934
2024020122,7,17,1,"8:00","left",7,85,9,"slap",8479420
2024020122,7,17,2,"16:40","right",7,-60,6,"wrist",8479420
2024020125,6,10,2,"17:03","right",6,-68,-16,"snap",8477956
2024020136,17,22,2,"11:14","left",22,-87,18,"snap",8477934
2024020136,17,22,4,"4:42","left",22,-85,4,"tip-in",8477934
2024020143,52,10,1,"2:13","right",10,70,4,"snap",8477939
2024020151,15,3,1,"16:37","right",15,-56,-15,"wrist",8471214
2024020151,15,3,1,"14:50","right",15,-79,-6,"snap",8471214
