"game_id","game_period","time_remaining","situation_code","home_def_code","event_owner_team_id","zone_code","x_coord","y_coord","shot_type","assist_1_player_id","assist_2_player_id","goalie_in_id"
2024020026,2,"19:10",1551,"left",10,"O",82,6,"snap",8477503,NULL,8475311
2024020026,3,"0:22",651,"right",10,"O",-81,11,"snap",8477503,NULL,8481519
2024020058,2,"1:29",1451,"left",10,"O",55,-26,"wrist",8479318,8478483,8475852
2024020091,1,"16:03",1551,"right",10,"O",-64,-3,"snap",8477503,NULL,8481035
2024020091,2,"12:27",1551,"left",10,"O",73,-18,"wrist",8482259,NULL,8480193
2024020143,1,"2:13",1551,"right",10,"O",70,4,"snap",8474157,NULL,8477968
2024020161,2,"18:21",1551,"left",10,"O",82,11,"wrist",8476853,8475166,8476412
2024020161,2,"10:36",1551,"left",10,"O",84,6,"snap",8475166,8474157,8476412
2024020189,1,"0:52",1541,"right",10,"O",63,20,"wrist",8479318,8478483,NULL
2024020195,2,"10:02",1451,"left",10,"O",86,22,"wrist",8478483,8476853,NULL
2024020227,2,"14:21",1451,"left",10,"O",64,3,"wrist",8482720,8476853,8478048
2024020253,3,"4:09",1551,"right",10,"O",88,2,"snap",8482720,NULL,8477970
2024020301,3,"16:59",1451,"right",10,"O",-66,16,"snap",8478483,8475166,8478492
2024020333,2,"9:10",1551,"left",10,"O",77,-2,"backhand",NULL,NULL,8478435
2024020378,3,"1:16",1560,"left",10,"N",23,33,"wrist",8479318,8482720,8480045
2024020406,3,"14:54",1351,"right",10,"O",-77,-15,"wrist",8482720,8478483,8480947
2024020433,2,"17:28",1541,"right",10,"O",49,21,"slap",8478483,8479318,8475809
2024020459,1,"5:43",1551,"right",10,"O",-77,4,"bat",8474157,8476853,8481035
2024020508,2,"14:45",1551,"left",10,"O",-73,7,"snap",8479318,8478483,NULL
2024020508,3,"1:43",1560,"right",10,"O",74,0,"snap",8475166,NULL,8478009
2024020521,3,"0:20",1560,"left",10,"O",-38,-10,"wrist",8475166,8475690,8482821
2024020532,1,"7:31",1551,"right",10,"O",-73,-15,"backhand",8475166,8475171,8480843
2024020532,2,"14:17",1551,"left",10,"O",80,0,"snap",8480144,8482720,8477480
2024020659,1,"12:31",1551,"right",10,"O",59,0,"snap",NULL,NULL,8480045
2024020707,2,"13:46",1551,"left",10,"O",61,6,"wrist",8477503,8475690,8482137
2024020707,4,"3:50",1331,"left",10,"O",58,-4,"wrist",8478483,8476931,8475831
2024020726,3,"19:36",1551,"right",10,"O",82,4,"backhand",8482259,NULL,8478406
2024020744,2,"6:15",1551,"left",10,"O",61,6,"wrist",8476853,8478904,8477968
2024020807,3,"11:44",1551,"right",10,"O",-77,1,"wrist",8480995,8477503,8479361
2024020833,1,"13:28",1551,"left",10,"O",-44,1,"snap",8475166,NULL,8478499
2024020853,2,"17:24",1541,"left",10,"O",-65,-20,"snap",8482720,8479318,8478872
2024020853,2,"1:42",1551,"left",10,"O",-59,-13,"wrist",8474157,NULL,8475852
2024020853,3,"0:44",1560,"right",10,"O",61,-11,"wrist",NULL,NULL,8475852
2024020945,2,"19:09",1551,"left",10,"O",-87,2,"poke",NULL,NULL,8481692
2024020961,4,"4:00",1331,"right",10,"O",53,-7,"wrist",8476853,8479318,8480382
2024021024,1,"7:18",1541,"left",10,"O",-63,-18,"snap",8478483,8482720,8478007
2024021059,2,"13:11",1551,"left",10,"O",84,4,"backhand",8481582,8478443,8476341
2024021076,2,"18:21",1451,"left",10,"O",62,22,"slap",8478483,8479318,8478916
2024021130,1,"4:49",1451,"right",10,"O",-76,-25,"wrist",8482720,8479318,8479973
2024021130,2,"8:05",1551,"left",10,"O",51,4,"wrist",8475166,8482259,8473503
2024021152,1,"5:20",1541,"left",10,"O",-82,9,"wrist",8482720,8475166,8477480
2024021152,3,"0:14",651,"left",10,"O",-69,11,"wrist",8478483,8479318,8475683
2024021216,3,"18:49",1551,"right",10,"O",-80,-17,"wrist",8476853,8478443,8479361
2024021216,3,"15:39",1441,"right",10,"O",-53,-3,"wrist",8476853,8479318,8479361
2024021279,3,"18:35",1551,"right",10,"O",81,-2,"tip-in",8477503,8481122,8477967
