game_num,game_date,a_team_code,h_team_code,total_hits
2024021104,2025-03-22,VAN,NYR,94
2024020452,2024-12-10,BOS,WPG,91
2024021210,2025-04-05,FLA,OTT,86
2024020573,2024-12-28,NJD,CAR,82
2024020093,2024-10-22,MIN,FLA,81
2024020925,2025-02-25,NYR,NYI,80
2024020901,2025-02-22,MTL,OTT,79
2024021166,2025-03-29,BOS,DET,77
2024020226,2024-11-09,OTT,BOS,77
2024020731,2025-01-18,SJS,NYI,77
2024020065,2024-10-17,VAN,FLA,76
2024020042,2024-10-14,FLA,BOS,76
2024020635,2025-01-05,PHI,TOR,76
2024021025,2025-03-11,FLA,BOS,75
2024021022,2025-03-10,DET,OTT,74
2024021172,2025-03-30,VAN,WPG,74
2024020260,2024-11-14,NJD,FLA,74
2024021079,2025-03-18,CGY,NYR,73
2024020326,2024-11-23,UTA,PIT,73
2024020323,2024-11-23,VAN,OTT,73
2024021237,2025-04-08,TOR,FLA,72
2024020695,2025-01-14,FLA,NJD,72
2024020194,2024-11-05,OTT,BUF,72
2024020934,2025-02-27,SJS,MTL,72
2024020669,2025-01-11,BOS,FLA,72
2024020619,2025-01-03,NSH,VAN,72
2024021255,2025-04-10,WPG,DAL,71
2024021187,2025-04-01,DET,STL,71
2024021010,2025-03-08,STL,LAK,71
2024020353,2024-11-27,BOS,NYI,71
2024020686,2025-01-12,TBL,PIT,71
2024020559,2024-12-27,TOR,DET,71
2024020791,2025-01-26,CGY,WPG,70
2024020609,2025-01-02,ANA,WPG,70
2024021095,2025-03-20,VAN,STL,70
2024020059,2024-10-16,BOS,COL,70
2024020638,2025-01-06,VAN,MTL,69
2024020398,2024-12-03,NYI,MTL,69
2024021180,2025-03-31,CGY,COL,69
2024020856,2025-02-04,DAL,ANA,69
2024020205,2024-11-06,NSH,WSH,68
2024020714,2025-01-16,CHI,NSH,68
2024020478,2024-12-14,PIT,OTT,68
2024020080,2024-10-19,WSH,NJD,68
2024020104,2024-10-22,OTT,UTA,67
2024021003,2025-03-08,NYR,OTT,67
2024020745,2025-01-20,CBJ,NYI,67
2024020509,2024-12-18,FLA,MIN,67
2024020369,2024-11-29,TBL,NSH,67
2024020382,2024-11-30,OTT,LAK,67
2024020307,2024-11-21,VGK,OTT,66
2024020448,2024-12-10,SJS,CAR,65
2024020116,2024-10-24,WPG,SEA,65
2024020261,2024-11-14,SJS,NYR,65
2024020985,2025-03-05,TOR,VGK,65
2024020331,2024-11-23,BUF,SJS,65
2024020082,2024-10-19,VAN,PHI,65
2024021110,2025-03-22,FLA,WSH,65
2024021130,2025-03-25,PHI,TOR,65
