game_id,game_date,venue,venue_location,a_team_id,h_team_id,a_team_code,h_team_code,a_team_score,h_team_score,a_sog,h_sog,a_fo_win_perc,h_fo_win_perc,a_pp_perc,h_pp_perc,a_pim,h_pim,a_hits,h_hits,a_blocked_shots,h_blocked_shots,a_giveaways,h_giveaways,a_takeaways,h_takeaways,a_ppg,h_ppg,a_total_pp,h_total_pp
2025020001,2025-10-07,Amerant Bank Arena,Sunrise,16,13,CHI,FLA,2,3,19,37,0.414286,0.585714,0.0,0.5,9,11,27,28,16,15,19,17,4,3,0,1,3,2
2025020002,2025-10-07,Madison Square Garden,New York,5,3,PIT,NYR,3,0,31,25,0.525,0.475,0.0,0.0,4,2,22,34,20,17,19,17,1,4,0,0,1,2
2025020003,2025-10-07,Crypto.com Arena,Los Angeles,21,26,COL,LAK,4,1,23,25,0.45,0.55,0.166667,0.25,13,17,25,33,21,14,17,19,2,7,1,1,6,4
2025020004,2025-10-08,Scotiabank Arena,Toronto,8,10,MTL,TOR,2,5,31,27,0.40678,0.59322,0.0,0.0,4,4,27,35,13,17,13,12,3,2,0,0,2,2
2025020005,2025-10-08,Capital One Arena,Washington,6,15,BOS,WSH,3,1,22,36,0.5,0.5,0.5,0.0,10,4,33,35,23,11,20,15,3,3,1,0,2,5
2025020006,2025-10-08,Rogers Place,Edmonton,20,22,CGY,EDM,4,3,22,35,0.517241,0.482759,0.25,0.5,18,8,35,23,17,18,22,18,4,3,1,2,4,4
2025020007,2025-10-08,T-Mobile Arena,Paradise,26,54,LAK,VGK,6,5,26,35,0.37931,0.62069,1.0,0.333333,13,6,37,36,18,14,21,17,3,8,1,2,1,6
2025020008,2025-10-09,TD Garden,Boston,16,6,CHI,BOS,3,4,24,33,0.415385,0.584615,0.0,0.2,14,10,15,25,6,16,15,17,7,5,0,1,3,5
2025020009,2025-10-09,KeyBank Center,Buffalo,3,7,NYR,BUF,4,0,33,37,0.65,0.35,0.0,0.0,10,8,28,24,16,12,14,17,5,3,0,0,3,4
2025020010,2025-10-09,Little Caesars Arena,Detroit,8,17,MTL,DET,5,1,17,31,0.425,0.575,0.333333,0.25,8,6,25,34,14,13,14,18,3,4,1,1,3,4
2025020011,2025-10-09,Benchmark International Arena,Tampa,9,14,OTT,TBL,5,4,34,25,0.545455,0.454545,0.25,0.666667,20,22,37,40,10,18,13,16,2,4,1,2,4,3
2025020012,2025-10-09,Amerant Bank Arena,Sunrise,4,13,PHI,FLA,1,2,20,34,0.61194,0.38806,0.0,0.2,10,4,17,27,10,5,23,13,4,2,0,1,2,5
2025020013,2025-10-09,PPG Paints Arena,Pittsburgh,2,5,NYI,PIT,3,4,37,28,0.58209,0.41791,0.0,0.4,25,8,22,23,13,12,16,22,4,6,0,2,3,5
2025020014,2025-10-09,Lenovo Center,Raleigh,1,12,NJD,CAR,3,6,22,33,0.46875,0.53125,0.0,0.25,8,4,25,27,19,13,28,20,4,6,0,1,2,4
2025020015,2025-10-09,Enterprise Center,St. Louis,30,19,MIN,STL,5,0,21,26,0.537037,0.462963,0.333333,0.0,4,6,19,40,16,17,9,14,3,5,1,0,3,2
2025020016,2025-10-09,Bridgestone Arena,Nashville,29,18,CBJ,NSH,1,2,39,32,0.483871,0.516129,0.0,0.25,10,4,28,22,15,19,18,18,5,8,0,1,1,4
2025020017,2025-10-09,Canada Life Centre,Winnipeg,25,52,DAL,WPG,5,4,37,25,0.52459,0.47541,0.2,0.0,12,14,21,33,18,8,9,22,2,9,1,0,5,4
2025020018,2025-10-09,Ball Arena,Denver,68,21,UTA,COL,1,2,33,27,0.305556,0.694444,0.333333,0.25,8,6,19,20,21,13,36,23,0,4,1,1,3,4
2025020019,2025-10-09,Rogers Arena,Vancouver,20,23,CGY,VAN,1,5,18,26,0.563636,0.436364,0.0,0.0,10,10,35,27,7,18,16,17,3,5,0,0,4,4
2025020020,2025-10-09,SAP Center at San Jose,San Jose,54,28,VGK,SJS,4,3,31,23,0.569231,0.430769,0.25,0.25,8,8,22,22,17,14,17,24,1,5,1,1,4,4
2025020021,2025-10-09,Climate Pledge Arena,Seattle,24,55,ANA,SEA,1,3,36,31,0.453125,0.546875,0.0,0.0,4,2,24,29,7,26,12,24,2,7,0,0,1,2
2025020022,2025-10-11,Canada Life Centre,Winnipeg,26,52,LAK,WPG,2,3,32,27,0.516129,0.483871,0.0,0.25,13,15,23,26,11,28,19,18,8,5,0,1,5,4
2025020023,2025-10-11,Scotiabank Saddledome,Calgary,19,20,STL,CGY,4,2,28,29,0.590164,0.409836,0.25,0.166667,17,13,29,22,17,21,13,11,8,7,1,1,4,6
2025020024,2025-10-11,TD Garden,Boston,7,6,BUF,BOS,1,3,22,31,0.464286,0.535714,0.0,0.0,8,8,32,25,16,17,18,15,1,2,0,0,4,4
2025020025,2025-10-11,Little Caesars Arena,Detroit,10,17,TOR,DET,3,6,23,35,0.480769,0.519231,0.0,0.25,10,6,22,15,16,14,14,13,2,4,0,1,2,4
2025020026,2025-10-11,Benchmark International Arena,Tampa,1,14,NJD,TBL,5,3,31,17,0.576271,0.423729,0.0,0.0,6,8,27,25,24,17,14,16,6,3,0,0,4,3
2025020027,2025-10-11,Amerant Bank Arena,Sunrise,9,13,OTT,FLA,2,6,28,27,0.672131,0.327869,0.0,0.6,10,4,27,28,17,7,22,17,13,5,0,3,2,5
2025020028,2025-10-11,UBS Arena,Elmont,15,2,WSH,NYI,4,2,29,36,0.47541,0.52459,0.0,0.666667,6,4,23,33,20,22,17,19,6,3,0,2,2,3
2025020029,2025-10-11,PPG Paints Arena,Pittsburgh,3,5,NYR,PIT,6,1,30,19,0.48,0.52,0.5,0.0,8,8,30,14,12,18,19,18,8,6,2,0,4,4
2025020030,2025-10-11,Lenovo Center,Raleigh,4,12,PHI,CAR,3,4,23,39,0.463768,0.536232,0.333333,0.0,10,8,27,24,21,13,17,11,5,2,1,0,3,4
2025020031,2025-10-11,United Center,Chicago,8,16,MTL,CHI,3,2,28,22,0.615385,0.384615,0.2,0.25,17,39,16,22,8,16,14,15,4,8,2,1,10,4
2025020032,2025-10-11,Bridgestone Arena,Nashville,68,18,UTA,NSH,3,2,23,23,0.421053,0.578947,0.0,0.0,14,12,21,20,20,12,20,25,6,7,0,0,4,5
