player_id,games_played,games_started,wins,losses,ot_losses,goals,assist,goals_against,gaa,pim,save_pctg,shots_against,shutouts
8475683,806,791,456,266,58,0,15,2022,2.60708,43,0.912262,23046,53
8480193,98,92,32,49,9,0,2,299,3.302932,0,0.897039,2904,1
8481519,150,140,68,58,20,0,4,406,2.828614,0,0.90348,4196,8
8482821,112,101,25,65,14,0,0,379,3.609234,4,0.887198,3351,1
8471734,829,810,410,307,90,0,23,2012,2.510874,92,0.909941,22341,65
8477465,326,310,170,106,34,1,12,853,2.803784,22,0.906946,9156,23
8478048,325,320,187,107,28,0,3,796,2.519471,27,0.916614,9534,22
8481668,58,56,27,20,10,0,3,172,3.091468,6,0.885542,1494,2
8475311,489,468,228,160,68,0,7,1189,2.56513,54,0.912721,13600,39
8475809,199,179,93,60,30,0,1,499,2.68124,4,0.909223,5497,12
8476341,226,205,90,93,19,0,2,598,2.960276,10,0.905163,6295,11
8481529,6,4,1,1,3,0,0,12,2.193782,0,0.919708,137,1
8476932,168,141,74,49,15,0,5,398,2.660209,6,0.913696,4600,12
8478470,231,211,90,92,32,0,4,698,3.234035,0,0.896388,6727,5
8480051,58,48,15,25,7,0,2,187,3.72906,4,0.881795,1582,2
8482487,59,57,36,14,7,0,0,157,2.770286,2,0.903503,1627,1
8476914,334,302,140,126,38,0,3,943,3.058384,8,0.900053,9425,8
8479292,170,160,82,61,18,0,2,467,2.8696,10,0.902311,4760,10
8480280,245,237,132,80,26,0,1,617,2.607656,21,0.909744,6825,18
8480313,204,195,118,59,23,0,5,509,2.565734,2,0.911632,5760,10
8475717,191,157,74,77,14,0,4,500,2.956709,6,0.900715,5036,5
8479973,224,218,121,71,23,0,3,597,2.77187,0,0.90207,6086,9
8481692,128,124,60,52,12,0,3,349,2.852082,6,0.90328,3598,5
8482445,37,32,12,13,7,0,1,102,3.030476,2,0.901829,1039,0
8478499,213,200,106,73,19,0,5,529,2.676791,10,0.904899,5552,12
8481033,82,65,32,28,10,0,3,189,2.664868,2,0.898387,1860,3
8479312,149,134,71,48,15,0,2,395,2.934407,8,0.903369,4067,7
8481551,16,14,8,4,2,0,1,44,2.896852,0,0.903297,455,1
8475660,567,533,278,204,53,0,8,1442,2.689146,39,0.911051,16189,33
8476434,563,551,233,239,67,0,8,1531,2.871994,76,0.909366,16881,28
8476883,598,588,370,178,39,0,24,1467,2.49898,53,0.916771,17590,42
8476999,340,330,191,99,34,1,6,841,2.56937,14,0.914019,9758,15
8477992,105,93,43,36,14,0,0,317,3.288218,0,0.888537,2844,4
8482447,34,32,16,14,3,0,0,92,2.995848,0,0.885144,801,3
8478435,157,146,78,48,23,0,2,418,2.807917,8,0.898313,4091,4
8481035,143,133,65,50,17,0,1,398,3.014104,8,0.884201,3437,7
8478009,308,302,154,113,38,1,6,778,2.59591,6,0.914741,9090,29
8479496,260,232,122,81,29,0,1,655,2.785208,30,0.902967,6740,9
8474593,578,560,264,231,64,0,23,1516,2.733044,55,0.906529,16219,25
8474596,497,472,225,201,45,0,7,1291,2.754731,14,0.907291,13893,29
8475883,552,538,324,149,58,0,17,1380,2.588512,30,0.912967,15856,28
8483548,39,39,31,6,2,0,1,97,2.465248,2,0.894737,912,2
8476412,377,366,186,136,43,0,9,1029,2.834212,67,0.903426,10655,19
8479406,219,210,111,74,26,1,5,568,2.673338,0,0.910765,6354,15
8480981,115,106,59,35,10,0,3,283,2.667096,10,0.908648,3076,8
8482661,40,38,20,12,6,0,1,104,2.720887,4,0.911054,1158,5
8477424,467,450,230,172,46,0,8,1226,2.74108,10,0.911712,13875,27
8478007,274,258,108,111,38,0,7,821,3.219509,24,0.899731,8188,12
8481020,80,67,35,32,5,0,1,206,2.870723,2,0.899411,2038,3
8482982,76,73,36,28,11,0,1,196,2.606951,0,0.913043,2254,4
8476945,625,615,345,208,55,0,10,1568,2.584613,12,0.915758,18613,45
8477480,102,97,45,47,4,0,2,296,3.113885,2,0.896467,2859,4
8479193,220,194,99,69,29,0,3,556,2.738218,10,0.909756,6150,13
8479979,305,296,184,78,33,0,6,746,2.536628,8,0.909981,8276,16
8477970,210,195,101,69,24,0,6,555,2.836422,2,0.900413,5573,11
8478872,262,249,108,117,22,0,5,766,3.102199,6,0.899246,7563,8
8477967,262,256,134,99,21,0,6,713,2.809991,6,0.909311,7851,10
8480947,210,193,81,85,27,0,7,612,3.095305,8,0.898,6000,7
8477968,219,194,92,74,31,1,6,607,2.972812,19,0.90197,6192,9
8482137,63,61,26,27,6,0,1,200,3.475454,2,0.887443,1768,0
8475831,402,365,179,151,37,0,8,978,2.650086,6,0.9081,10642,22
8475852,438,405,183,181,40,0,5,1169,2.874308,32,0.904925,12285,26
8478916,173,162,69,70,24,0,5,464,2.833308,4,0.904038,4804,7
8480843,177,162,72,78,17,0,1,533,3.226205,16,0.898185,5235,2
8476899,279,270,147,89,25,0,5,733,2.790698,10,0.910347,8176,15
8482076,55,50,24,24,1,0,1,141,2.956284,0,0.898268,1386,1
8477831,78,70,44,17,8,0,2,205,2.846758,19,0.898313,2016,3
8481544,31,26,12,11,3,0,1,97,3.60297,2,0.87706,789,0
8480045,190,185,93,74,18,0,4,538,2.958426,16,0.900186,5370,8
8482761,8,8,2,4,2,0,0,24,2.995837,0,0.873016,189,0
8483710,26,20,8,10,4,0,0,68,2.979079,0,0.90625,704,1
8482411,6,5,2,3,1,0,0,22,3.875321,0,0.863354,161,0
8478406,291,273,126,113,30,0,2,791,2.897514,6,0.905514,8361,17
8482783,21,15,5,11,1,0,0,62,3.640158,0,0.863135,453,0
8481611,125,120,71,38,12,0,3,295,2.456672,16,0.904545,3080,11
8483703,5,4,1,1,2,0,0,12,2.559694,0,0.896552,116,1
8480238,9,8,3,4,1,0,0,33,4.01148,0,0.892157,306,0
8482515,3,2,0,2,0,0,0,11,5.238094,0,0.876543,81,0
8480819,2,1,0,1,0,0,0,5,3.939592,0,0.871795,39,0
8479361,117,113,63,43,9,0,1,333,2.938068,4,0.906479,3550,4
8483114,3,1,0,1,0,0,0,8,3.462368,2,0.870968,62,0
8482193,3,3,2,0,1,0,0,5,1.62162,0,0.947917,96,0
8478024,165,157,81,54,21,0,1,475,3.072078,6,0.899471,4725,7
8484268,23,19,7,12,2,0,0,72,3.514097,2,0.881579,608,0
8483746,1,0,0,0,0,0,0,3,9.0,0,0.769231,13,0
8477484,72,63,25,33,8,0,0,237,3.602902,0,0.881441,1999,1
8479394,245,236,107,96,32,0,2,671,2.92356,4,0.90485,7052,6
8477990,4,2,0,2,0,0,0,10,4.71019,0,0.803922,51,0
8482484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8477574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8478039,140,132,49,68,15,0,2,431,3.339205,8,0.898061,4228,4
8483532,5,5,3,2,0,0,0,13,2.60231,0,0.906475,139,0
8480528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8483711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8484170,17,17,9,6,2,0,0,41,2.433956,0,0.908482,448,1
8482188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8478971,134,129,55,54,18,0,7,379,3.009647,8,0.901122,3833,9
8477405,58,46,11,23,12,0,0,167,3.415597,0,0.889623,1513,0
8485907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8480191,3,2,1,1,0,0,0,8,3.637282,0,0.866667,60,0
8482465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
