player_id,games_played,wins,losses,ot_losses,gaa,save_pctg,shut_outs
8475683,52,27,23,1,3.070124,0.8768,4
8480193,33,13,15,3,3.054049,0.895135,0
8481519,55,19,25,11,2.823958,0.902085,3
8482821,26,8,13,3,3.799494,0.879845,1
8471734,25,6,17,2,3.088858,0.891207,2
8477465,33,18,9,3,3.31526,0.882212,2
8478048,51,25,19,6,2.499821,0.911579,1
8481668,39,19,12,8,3.071376,0.888235,2
8475311,50,19,14,15,2.78403,0.89141,3
8475809,45,31,6,6,2.02427,0.921317,4
8476341,36,16,12,5,2.568771,0.909664,3
8481529,4,1,0,3,2.029026,0.932692,1
8476932,26,10,10,3,3.282347,0.892655,0
8478470,25,10,8,4,3.426879,0.872441,0
8480051,3,2,1,0,4.29831,0.8375,0
8482487,43,29,10,4,2.779556,0.901432,0
8476914,31,14,9,6,3.152211,0.894242,1
8479292,21,9,8,3,3.515155,0.878738,1
8480280,55,31,18,4,2.707645,0.907702,2
8480313,58,31,21,6,2.438281,0.911783,4
8475717,16,5,6,2,3.679988,0.870732,0
8479973,50,23,17,9,2.915861,0.887924,2
8481692,57,23,29,3,3.010256,0.89923,2
8482445,31,10,10,6,2.689173,0.909091,0
8478499,27,10,9,6,3.044431,0.870528,1
8481033,34,16,10,6,2.594386,0.892541,2
8479312,36,20,10,4,2.771061,0.907048,3
8481551,16,8,4,2,2.896854,0.903297,1
8475660,34,12,9,6,3.188237,0.883312,0
8476434,57,29,22,4,2.715928,0.901437,4
8476883,58,39,15,4,2.308533,0.91234,2
8476999,49,28,12,8,2.725886,0.890651,3
8477992,25,11,10,2,3.287633,0.883582,0
8482447,20,8,10,1,3.508505,0.859956,0
8478435,52,29,14,7,2.423865,0.90569,0
8481035,33,14,11,5,3.117996,0.869624,0
8478009,55,29,24,2,2.678101,0.905882,7
8479496,30,14,10,3,2.761377,0.894444,2
8474593,44,23,19,1,3.066018,0.883199,1
8474596,37,17,17,2,2.744028,0.903977,1
8475883,35,16,14,5,3.054428,0.873969,0
8483548,39,31,6,2,2.465249,0.894737,2
8476412,41,13,20,7,3.327845,0.873267,1
8479406,50,28,15,6,2.688755,0.904139,4
8480981,46,24,13,5,2.606062,0.9096,6
8482661,35,18,9,6,2.614379,0.915686,4
8477424,59,28,22,8,3.163829,0.893529,0
8478007,30,14,11,3,3.395653,0.883005,1
8481020,28,10,12,2,2.679047,0.907173,1
8482982,55,26,19,9,2.600653,0.907732,2
8476945,57,23,23,11,2.857605,0.895281,0
8477480,25,12,11,1,3.127036,0.889908,0
8479193,30,15,8,6,2.42735,0.906579,1
8479979,54,35,12,6,2.592212,0.899417,4
8477970,22,5,13,3,2.934715,0.883399,1
8478872,64,38,20,3,2.745921,0.896679,2
8477967,20,8,10,1,2.903573,0.896887,1
8480947,47,11,27,5,3.703204,0.875486,0
8477968,40,18,14,4,2.870981,0.896092,0
8482137,47,21,20,4,3.627984,0.883669,0
8475831,32,13,12,4,2.646418,0.908776,0
8475852,10,3,5,0,4.070688,0.8583,0
8478916,47,20,20,6,3.029834,0.897475,2
8480843,56,30,20,4,3.102878,0.888301,0
8476899,5,0,2,1,2.213171,0.921569,0
8482076,3,2,1,0,2.619134,0.908046,0
8477831,1,0,1,0,3.073421,0.892857,0
8481544,2,1,0,0,4.650161,0.833333,0
8480045,35,22,9,3,2.515082,0.909677,1
8482761,8,2,4,2,2.995839,0.873016,0
8483710,20,5,7,4,2.855066,0.914234,1
8482411,1,0,1,0,3.353517,0.833333,0
8478406,39,23,10,2,2.505006,0.903537,3
8482783,4,0,2,0,3.999445,0.829787,0
8481611,9,6,2,0,2.325819,0.899471,1
8483703,5,1,1,2,2.559697,0.896552,1
8480238,1,0,1,0,7.392197,0.825,0
8482515,3,0,2,0,5.238095,0.876543,0
8480819,2,0,1,0,3.939593,0.871795,0
8479361,39,15,16,7,3.336223,0.89918,2
8483114,3,0,1,0,3.462371,0.870968,0
8482193,3,2,0,1,1.621622,0.947917,0
8478024,20,10,8,2,3.247112,0.883895,0
8484268,21,6,11,2,3.613564,0.881443,0
8483746,1,0,0,0,9,0.769231,0
8477484,6,1,3,0,4.128677,0.863946,0
8479394,18,11,3,3,2.706457,0.890995,0
8477990,2,0,1,0,4.219162,0.809524,0
8482484,,,,,,,
8477574,,,,,,,
8478039,1,0,1,0,4.118993,0.8,0
8483532,4,3,1,0,2.002225,0.920792,0
8480528,,,,,,,
8483711,,,,,,,
8484170,17,9,6,2,2.433957,0.908482,1
8482188,,,,,,,
8478971,32,16,10,3,2.598084,0.899083,2
8477405,1,0,0,0,8.899876,0.714286,0
8485907,,,,,,,
8480191,1,1,0,0,3,0.903226,0
8482465,,,,,,,
8485465,,,,,,,
8482123,3,2,1,0,2.31129,0.917647,1
8483203,,,,,,,
8485729,,,,,,,
8473503,14,7,4,2,2.421179,0.885813,1
8485473,,,,,,,
8477361,5,2,2,0,3.90009,0.863636,0
8480022,1,0,0,0,0,1,0
8484312,8,0,6,0,3.885513,0.876712,0
8481707,1,1,0,0,1.0236,0.965517,0
8482657,1,1,0,0,2.666667,0.857143,0
8483258,,,,,,,
8486095,,,,,,,
8476316,1,0,1,0,6.086221,0.782609,0
8483575,1,1,0,0,0,1,1
8485545,,,,,,,
8481526,,,,,,,
8481064,,,,,,,
8483668,3,1,2,0,3.039115,0.890244,0
8484910,1,0,1,0,2.099125,0.942857,0
8483182,,,,,,,
8482949,1,1,0,0,1,0.964286,0
