player_id,games_played,avg_toi,goals,assists,points,gwg,ot_goals,shots,fo_win_pctg,pim,plus_minus,shooting_pctg,pp_goals,pp_points,sh_goals,sh_points
8473419,1152,18:01,451,583,1034,85,22,2949,0.3864,1153,269,0.15289999999999998,90,267,36,59
8473422,1287,15:52,251,361,612,33,3,2229,0.4828,1024,-39,0.11259999999999999,60,145,3,9
8473507,1048,21:23,96,298,394,17,4,1754,0.25,428,-143,0.0547,24,103,2,10
8475179,1037,19:25,50,197,247,9,3,1181,NaN,639,-29,NaN,10,52,1,4
8476473,825,19:20,48,129,177,6,1,1033,0.0,560,-65,0.0464,2,4,3,7
8476882,827,16:55,184,368,552,23,2,1646,0.446,144,54,0.1117,61,194,8,23
8476891,596,18:17,26,161,187,6,1,809,NaN,285,122,NaN,3,45,0,2
8477409,488,16:34,172,185,357,26,3,1281,0.4285,247,38,0.13419999999999999,28,67,1,1
8477444,771,14:21,164,256,420,33,5,1239,0.43329999999999996,183,2,0.1323,29,94,0,0
8477450,566,14:49,75,97,172,11,3,707,0.4764,212,-37,0.106,3,4,1,7
8477479,567,17:10,168,197,365,18,3,1108,0.39840000000000003,341,-92,0.1516,46,97,1,2
8477495,912,23:45,106,367,473,21,12,1993,NaN,326,-142,NaN,32,166,1,8
8477932,804,22:51,122,284,406,29,7,1891,0.0,560,91,0.0645,42,127,2,9
8477933,839,18:55,323,357,680,51,5,2013,0.43060000000000004,183,-67,0.1604,129,238,13,20
8477935,767,15:42,188,206,394,30,4,1766,0.4708,752,-31,0.10640000000000001,39,80,0,2
8477987,565,13:33,123,134,257,10,2,1096,0.4445,229,-61,0.11220000000000001,15,42,0,0
8478043,378,11:35,41,51,92,6,0,408,0.4736,196,-41,0.10039999999999999,0,0,5,6
8478055,557,21:07,59,161,220,8,4,1102,0.0,218,153,0.0535,4,19,1,5
8478421,326,9:47,36,45,81,6,0,357,0.34,448,18,0.1008,2,2,1,1
8478542,616,15:17,107,163,270,9,0,1392,0.45899999999999996,217,-17,0.0768,28,55,1,4
8478859,396,18:41,17,56,73,0,0,429,NaN,310,14,NaN,0,0,1,2
8479316,496,14:14,77,75,152,6,0,761,0.4586,434,-103,0.1011,4,14,2,2
8479981,170,8:21,10,11,21,2,0,148,0.41659999999999997,319,-18,0.0675,0,0,0,0
8480003,387,12:03,50,55,105,9,1,418,0.36369999999999997,60,-20,0.11960000000000001,1,3,1,1
8480185,447,15:07,61,101,162,11,1,572,0.4399,138,24,0.1066,5,10,3,8
8481624,427,15:37,98,103,201,15,0,851,0.2647,76,38,0.1151,5,8,9,12
8482113,359,16:37,78,123,201,11,1,739,0.5075,177,62,0.10550000000000001,8,35,7,13
8482176,175,18:39,10,25,35,1,0,173,NaN,74,-20,NaN,0,0,0,0
8482703,86,11:40,7,13,20,1,0,85,0.38549999999999995,69,-18,0.0823,1,2,0,0
8482713,156,13:50,27,36,63,6,0,301,0.35710000000000003,42,-12,0.0897,8,21,0,0
8482807,45,16:33,2,5,7,0,0,37,NaN,24,-14,NaN,0,0,0,0
8483450,83,16:39,12,17,29,1,0,110,0.425,14,-14,0.109,1,4,1,1
8483493,122,17:12,28,40,68,5,2,231,0.46270000000000006,50,-36,0.12119999999999999,5,16,2,3
8483506,63,19:00,4,15,19,1,0,105,NaN,44,-6,NaN,0,4,0,0
8484144,219,20:19,75,128,203,12,3,627,0.41619999999999996,148,-98,0.11960000000000001,22,71,0,0
8484783,86,19:44,2,28,30,0,0,105,NaN,52,-54,NaN,1,13,0,0
8471215,1269,19:28,533,874,1407,89,14,3958,0.4486,1263,41,0.1346,187,530,4,5
8471675,1420,20:36,654,1107,1761,104,25,4459,0.5295000000000001,898,197,0.1466,194,610,4,11
8471724,1235,24:03,178,628,806,36,13,3050,0.2,843,81,0.0583,57,295,6,16
8474578,1159,25:07,215,721,936,38,12,3150,0.0,508,-115,0.0682,48,331,2,7
8475842,393,11:17,43,46,89,3,1,446,0.5223,439,-34,0.0964,1,2,4,7
8476389,868,19:19,239,392,631,35,4,2164,0.5426,593,-5,0.1104,65,173,16,19
8476459,1011,18:35,348,470,818,45,8,2624,0.4999,271,2,0.1326,136,286,15,35
8476468,939,17:42,277,485,762,55,17,1874,0.5504,529,31,0.1478,74,248,11,25
8476483,862,17:27,260,307,567,34,8,2191,0.44380000000000003,180,-41,0.1186,64,147,1,5
8477369,441,16:42,32,67,99,5,0,468,NaN,282,54,NaN,1,4,2,4
8477511,588,16:05,179,188,367,15,3,1295,0.3942,320,-3,0.1382,40,69,1,1
8477839,655,13:57,131,154,285,22,4,1101,0.4514,142,4,0.1189,14,35,3,3
8478438,285,13:54,65,94,159,8,2,453,0.43119999999999997,46,-8,0.1434,18,40,0,0
8478450,188,18:34,4,42,46,1,0,156,NaN,100,18,NaN,0,0,0,2
8478452,255,16:16,14,42,56,3,2,255,NaN,90,-35,NaN,1,7,0,0
8478550,830,19:47,330,624,954,51,10,2277,0.22030000000000002,242,140,0.1449,79,288,0,1
8478569,585,13:35,81,63,144,13,0,744,0.5141,193,-28,0.10880000000000001,1,3,2,6
8478840,373,17:02,18,65,83,3,0,381,NaN,227,-3,NaN,0,0,1,1
8478854,150,17:02,9,32,41,0,0,108,NaN,42,22,NaN,0,1,0,0
8478882,517,21:36,43,127,170,7,4,671,NaN,244,16,NaN,3,6,1,6
8479323,486,23:09,72,350,422,20,3,907,0.0,194,122,0.0793,16,173,4,13
8479390,373,13:50,52,67,119,3,0,499,0.3455,78,-48,0.1042,11,24,3,3
8479638,159,12:06,33,30,63,8,0,224,0.23070000000000002,34,0,0.14730000000000001,9,12,0,0
8480001,221,16:47,3,43,46,0,0,205,NaN,70,-15,NaN,0,1,0,1
8480980,316,11:50,37,46,83,3,0,373,0.45409999999999995,136,-4,0.09910000000000001,0,1,5,8
8481481,434,12:52,55,90,145,7,0,505,0.5041,205,36,0.10890000000000001,3,4,7,13
8481577,218,12:46,34,61,95,11,0,340,0.366,49,-11,0.1,10,27,0,0
8481726,97,9:15,10,6,16,3,0,78,0.28,31,-2,0.1282,0,0,0,0
8482073,368,17:15,20,67,87,3,1,396,NaN,85,17,NaN,0,1,2,3
8482109,462,15:57,116,134,250,24,3,846,0.3154,176,-13,0.1371,16,31,0,0
8482157,249,14:15,53,51,104,6,1,429,0.41659999999999997,173,-5,0.1235,7,13,2,3
8482460,85,7:58,5,6,11,1,0,57,0.3103,149,4,0.0877,0,0,0,0
8482758,47,13:39,2,12,14,0,0,51,1.0,14,-10,0.0392,1,7,0,0
8483690,74,13:28,9,15,24,1,0,73,0.5075999999999999,31,2,0.1232,3,5,0,0
8484839,9,15:43,1,0,1,0,0,8,NaN,6,-4,NaN,0,0,0,0
8485414,77,15:04,17,18,35,4,0,151,0.436,18,-5,0.1125,4,10,1,2
8470613,1579,22:11,273,672,945,47,16,4223,0.455,887,43,0.0646,88,323,3,17
8471685,1521,20:43,452,864,1316,79,9,3429,0.5355,358,127,0.1318,129,457,14,28
8474563,1279,25:59,165,544,709,34,8,2590,0.3333,829,73,0.0637,80,304,3,11
8475208,788,19:52,30,164,194,3,1,844,1.0,202,94,0.0355,0,5,1,9
8475754,1001,17:12,334,318,652,57,10,2297,0.4827,358,30,0.1454,73,140,5,8
8476312,705,19:07,44,157,201,9,1,947,0.0,691,88,0.0464,0,1,2,8
8476441,685,18:43,37,116,153,3,0,913,0.0,508,60,0.0405,0,4,0,2
8476455,798,19:12,262,344,606,45,7,2161,0.5402,648,106,0.12119999999999999,70,155,5,10
8476469,653,14:32,116,116,232,13,0,1160,0.31329999999999997,222,-10,0.1,8,25,21,27
8476479,786,17:03,131,280,411,20,2,1356,0.5322,349,79,0.0966,10,46,2,15
8476879,953,20:26,53,191,244,11,1,1288,1.0,210,-8,0.041100000000000005,1,13,0,8
8477476,660,16:44,165,171,336,23,2,1425,0.3127,204,86,0.1157,24,50,9,10
8477492,950,20:40,420,722,1142,76,15,3842,0.4678,428,229,0.1093,113,356,2,4
8477501,627,16:25,154,203,357,24,3,1323,0.3095,112,109,0.1164,41,65,6,10
8477942,707,16:46,229,299,528,35,6,1912,0.3214,403,2,0.1197,62,169,1,1
8477960,711,17:07,230,244,474,40,11,1750,0.4054,429,39,0.13140000000000002,40,128,13,19
8477998,581,13:42,117,109,226,26,0,1105,0.46380000000000005,215,36,0.1058,5,7,5,6
8478038,541,23:13,65,237,302,15,5,1059,0.0,158,223,0.0613,9,44,0,2
8478109,448,15:00,118,124,242,24,3,924,0.2413,50,-41,0.1277,43,76,0,1
8479398,608,20:20,37,205,242,6,2,782,1.0,130,23,0.0473,3,61,0,1
8479525,404,12:55,89,87,176,18,0,782,0.5107,182,-1,0.11380000000000001,13,26,0,0
8479675,485,15:50,107,140,247,11,1,1095,0.32689999999999997,110,38,0.0977,7,22,12,16
8479998,425,21:09,21,81,102,5,0,443,NaN,146,77,NaN,1,1,0,4
8480039,519,17:42,162,264,426,33,9,1238,0.4103,184,72,0.1308,49,124,3,6
8480069,470,24:48,136,371,507,28,6,1317,NaN,134,168,NaN,45,208,3,7
8480448,339,11:51,46,43,89,5,0,397,0.4071,186,-3,0.1158,0,0,4,7
8480835,268,12:56,30,52,82,3,0,373,0.5714,102,26,0.08039999999999999,3,10,0,0
8481532,162,10:57,13,30,43,2,0,175,0.5154,54,1,0.0742,1,1,0,0
8481641,349,11:08,38,31,69,2,0,370,0.3882,100,8,0.1027,1,1,2,2
8482124,339,16:54,75,116,191,13,6,620,0.4487,186,40,0.1209,14,34,1,2
8482155,240,16:01,52,57,109,9,0,549,0.4169,84,11,0.0947,5,12,2,2
8482408,71,9:00,3,7,10,0,0,67,0.3125,64,-10,0.0447,0,0,0,0
8482730,185,17:29,15,66,81,3,1,332,NaN,125,17,NaN,4,26,0,0
8483808,271,15:29,85,97,182,15,3,416,0.6666,50,-10,0.2043,34,64,0,0
8484149,57,9:36,6,7,13,4,1,62,0.3823,8,2,0.0967,0,0,0,0
8484258,181,16:29,16,49,65,2,0,310,NaN,44,54,NaN,1,4,0,0
8475166,1266,19:13,525,660,1185,86,20,3941,0.5408,549,-49,0.1332,167,391,3,6
8475171,1137,22:30,156,383,539,36,8,2337,0.0,754,-110,0.0667,61,199,4,7
8475690,878,19:56,36,174,210,10,4,712,NaN,218,161,NaN,2,8,1,6
8475714,774,15:04,143,173,316,19,3,1158,0.4802,163,56,0.1234,17,45,10,16
8475848,911,15:10,246,241,487,27,0,2512,0.42310000000000003,594,26,0.09789999999999999,51,91,1,1
8476853,951,22:03,98,451,549,17,6,1998,0.0,279,-41,0.049,16,179,1,6
8476875,705,22:07,81,221,302,17,5,1385,0.5,394,-23,0.0584,8,64,3,11
8476931,723,20:05,40,160,200,6,1,751,0.0,452,10,0.053200000000000004,3,7,2,4
8476981,688,15:32,160,113,273,26,2,1400,0.4623,641,-40,0.1142,11,22,7,10
8477503,815,15:47,150,336,486,18,6,1526,0.4888,801,-33,0.09820000000000001,23,97,0,1
8477939,750,17:55,292,399,691,51,16,2166,0.4993,200,20,0.1348,81,221,3,4
8478057,296,12:08,50,46,96,11,0,299,0.5077,230,-9,0.1672,3,4,2,2
8478133,418,14:54,52,100,152,8,1,484,0.523,141,-15,0.1074,1,1,7,14
8478443,692,19:45,29,90,119,2,0,875,1.0,381,137,0.0331,0,1,2,8
