player_id,games_played,goals,assists,points,gwg,ot_goals,shots,shooting_pctg,pim,plus_minus,pp_goals,pp_points,sh_goals,sh_points
8473419,52,27,27,54,3,1,138,0.195652,38,-16,6,20,0,0
8473422,54,4,11,15,0,0,49,0.081633,44,2,0,2,0,2
8473507,67,0,9,9,0,0,54,0.0,24,-15,0,2,0,0
8475179,19,0,0,0,0,0,15,0.0,10,-5,0,0,0,0
8476473,80,5,12,17,0,0,70,0.071429,71,-2,0,0,0,1
8476882,75,14,21,35,2,0,89,0.157303,6,-30,7,19,1,1
8476891,69,0,12,12,0,0,68,0.0,32,-9,0,3,0,1
8477409,77,25,30,55,4,0,187,0.13369,32,-14,6,11,0,0
8477444,75,11,22,33,1,0,87,0.126437,16,-32,3,10,0,0
8477450,64,7,10,17,1,0,73,0.09589,20,-10,0,0,1,2
8477479,79,32,26,58,3,1,164,0.195122,42,-16,11,21,0,0
8477495,52,7,25,32,0,0,88,0.079545,18,-3,5,16,0,0
8477932,72,4,22,26,3,0,97,0.041237,55,-5,1,5,0,1
8477933,64,29,32,61,6,1,166,0.174699,10,-18,11,25,3,4
8477935,76,26,32,58,5,1,201,0.129353,82,-10,5,14,0,0
8477987,82,15,15,30,2,1,122,0.122951,46,-16,1,2,0,0
8478043,29,1,1,2,0,0,9,0.111111,14,-2,0,0,0,0
8478055,80,2,26,28,1,0,112,0.017857,51,-5,0,2,0,0
8478421,78,17,15,32,2,0,104,0.163462,113,14,1,1,0,0
8478542,69,11,20,31,0,0,160,0.06875,38,-16,1,5,1,1
8478859,68,3,8,11,0,0,68,0.044118,47,-1,0,0,0,0
8479316,62,4,6,10,1,0,49,0.081633,47,-6,0,0,0,0
8479981,10,0,3,3,0,0,8,0.0,7,2,0,0,0,0
8480003,73,4,9,13,1,0,64,0.0625,16,-11,0,1,0,0
8480185,73,11,22,33,0,0,107,0.102804,32,4,1,1,0,1
8481624,77,18,18,36,2,0,123,0.146341,18,2,0,0,1,3
8482113,64,18,26,44,3,0,138,0.130435,34,-8,4,15,2,4
8482176,77,6,11,17,1,0,75,0.08,34,-16,0,0,0,0
8482703,61,5,8,13,1,0,58,0.086207,52,-15,1,2,0,0
8482713,77,12,20,32,1,0,161,0.074534,30,-5,4,10,0,0
8482807,19,0,1,1,0,0,18,0.0,18,-11,0,0,0,0
8483450,81,12,17,29,1,0,109,0.110092,14,-14,1,4,1,1
8483493,66,15,26,41,3,1,138,0.108696,26,-21,4,12,1,1
8483506,54,4,10,14,1,0,83,0.048193,44,-7,0,1,0,0
8484144,69,30,45,75,5,1,226,0.132743,50,-18,7,21,0,0
8484783,68,2,22,24,0,0,84,0.02381,44,-41,1,11,0,0
8471215,56,19,42,61,3,0,148,0.128378,61,13,4,22,0,0
