goalie_id,save_pctg,save_pctg_percentile,save_pctg_close,save_pctg_close_percentile,shots,shots_percentile,shots_per_60,shots_per_60_percentile
8475683,0.8875,0.1186,0.8909,0.1356,978,0.661,24.7998,0.2203
8480193,0.9008,0.339,0.9305,0.9492,716,0.3898,28.3533,0.8305
8481519,0.9088,0.5932,0.9308,0.9661,1272,0.9831,28.6397,0.8814
8482821,0.883,0.0678,0.9025,0.322,641,0.2712,31.9656,1.0
8471734,0.8918,0.1864,0.902,0.2881,527,0.0847,27.0079,0.5763
8477465,0.8943,0.2542,0.9041,0.3898,634,0.2373,25.9854,0.3729
8478048,0.9261,0.9492,0.9323,0.9831,1096,0.7966,26.4978,0.4407
8481668,0.8929,0.2203,0.8902,0.1186,812,0.4746,27.1731,0.6271
8475311,0.9106,0.6271,0.9269,0.8644,928,0.6102,23.9922,0.1186
8475809,0.9274,1.0,0.9293,0.9322,840,0.5254,25.042,0.2881
8476341,0.9262,0.9661,0.9138,0.5932,745,0.4237,26.8643,0.5254
8481529,0.9494,1.0,0.95,1.0,79,0.0,26.1325,0.3729
8476932,0.8909,0.1525,0.8843,0.0847,541,0.1017,28.9253,0.9153
8478470,0.8865,0.0847,0.8918,0.1525,467,0.0339,25.549,0.3559
8480051,0.8154,0.0,0.8667,0.0169,65,0.0,25.9769,0.3559
8482487,0.9139,0.7119,0.9269,0.8644,906,0.5763,26.8927,0.5424
8476914,0.9029,0.4068,0.88,0.0678,649,0.2881,28.2583,0.8136
8479292,0.8957,0.2542,0.9101,0.4576,441,0.0,26.9867,0.5593
8480280,0.9236,0.9153,0.9191,0.7119,1139,0.8305,26.751,0.4915
8480313,0.9231,0.8983,0.9384,1.0,1223,0.9322,26.5955,0.4746
8475717,0.8773,0.0339,0.8873,0.0847,326,0.0,27.3484,0.6949
8479973,0.9001,0.322,0.9002,0.2203,991,0.6949,24.4918,0.1356
8481692,0.904,0.4407,0.8998,0.1864,1198,0.9153,28.1831,0.7797
8482445,0.9095,0.6102,0.9286,0.9153,652,0.3051,28.4192,0.8475
8478499,0.8772,0.0339,0.871,0.0339,456,0.0169,22.2048,0.0169
8481033,0.9065,0.5424,0.9098,0.4576,631,0.2034,22.9875,0.0678
8479312,0.9148,0.7458,0.9253,0.8136,751,0.4407,28.0999,0.7627
8481551,0.9132,0.6949,0.9059,0.4068,357,0.0,29.249,0.9322
8475660,0.8924,0.2034,0.9029,0.339,641,0.2712,27.1438,0.6102
8476434,0.9124,0.6441,0.9189,0.6949,1142,0.8475,26.5097,0.4576
8476883,0.9126,0.678,0.9075,0.4407,1121,0.8136,24.722,0.1864
8476999,0.9025,0.3898,0.9136,0.5763,923,0.5932,23.9543,0.1017
8477992,0.9031,0.4237,0.9004,0.2373,516,0.0508,27.2048,0.6441
