goalie_id,wins,losses,ot_losses,games_played,save_pctg,gaa,gaa_percentile,goal_support,goal_support_percentile,point_pctg,point_pctg_percentile,goal_diff_per_60,goal_diff_per_60_percentile
8475683,27,23,1,52,0.8768,3.070124,0.322,2.83089,0.3559,0.5289,0.4746,-0.23923,0.2712
8480193,13,15,3,33,0.895135,3.054049,0.3729,2.99108,0.5254,0.4394,0.1356,-0.06297,0.4237
8481519,19,25,11,55,0.902085,2.823958,0.4915,2.42313,0.1017,0.4455,0.1864,-0.40082,0.1695
8482821,8,13,3,26,0.879845,3.799494,0.0169,2.81898,0.339,0.3654,0.0508,-0.98051,0.0339
8471734,6,17,2,25,0.891207,3.088858,0.2881,2.24259,0.0169,0.28,0.0169,-0.84626,0.0508
8477465,18,9,3,33,0.882212,3.31526,0.1356,3.8227,1.0,0.5909,0.7458,0.50743,0.8136
8478048,25,19,6,51,0.911579,2.499821,0.8983,2.91646,0.4576,0.549,0.6102,0.41664,0.7288
8481668,19,12,8,39,0.888235,3.071376,0.3051,3.4987,0.8644,0.5897,0.7288,0.42732,0.7627
8475311,19,14,15,50,0.89141,2.78403,0.5085,2.70092,0.2034,0.53,0.4915,-0.0831,0.3898
8475809,31,6,6,45,0.921317,2.02427,1.0,3.57778,0.9322,0.7556,0.9831,1.55351,1.0
8476341,16,12,5,36,0.909664,2.568771,0.8475,2.39161,0.0847,0.5139,0.4068,-0.17716,0.3051
8481529,1,0,3,4,0.932692,2.029026,0.9831,3.29716,0.7797,0.625,0.8814,1.26814,0.9831
8476932,10,10,3,26,0.892655,3.282347,0.1695,3.10959,0.6271,0.4423,0.1695,-0.17275,0.322
8478470,10,8,4,25,0.872441,3.426879,0.0678,3.34226,0.7966,0.48,0.2542,-0.08461,0.3729
8480051,2,1,0,3,0.8375,4.29831,0.0,4.62895,1.0,0.6667,0.8983,0.33064,0.661
8482487,29,10,4,43,0.901432,2.779556,0.5254,3.27845,0.7797,0.7209,0.9661,0.49889,0.7797
8476914,14,9,6,31,0.894242,3.152211,0.2203,3.50245,0.8814,0.5484,0.5932,0.35024,0.678
8479292,9,8,3,21,0.878738,3.515155,0.0508,3.12993,0.6441,0.5,0.322,-0.38522,0.1695
8480280,31,18,4,55,0.907702,2.707645,0.6441,3.02292,0.5593,0.6,0.7966,0.31527,0.661
8480313,31,21,6,58,0.911783,2.438281,0.9322,3.11751,0.6441,0.5862,0.7119,0.67923,0.8644
8475717,5,6,2,16,0.870732,3.679988,0.0339,3.26338,0.7627,0.375,0.0508,-0.4166,0.1356
8479973,23,17,9,50,0.887924,2.915861,0.4407,3.20334,0.7119,0.55,0.6271,0.28748,0.6441
8481692,23,29,3,57,0.89923,3.010256,0.4237,2.62921,0.1525,0.4298,0.1186,-0.38104,0.1864
8482445,10,10,6,31,0.909091,2.689173,0.661,2.27008,0.0508,0.4194,0.1017,-0.41909,0.1356
8478499,10,9,6,27,0.870528,3.044431,0.3898,3.04443,0.5932,0.4815,0.2712,0.0,0.4746
8481033,16,10,6,34,0.892541,2.594386,0.8136,2.96065,0.5085,0.5588,0.661,0.36626,0.7119
8479312,20,10,4,36,0.907048,2.771061,0.5424,3.1325,0.661,0.6111,0.8136,0.36144,0.6949
8481551,8,4,2,16,0.903297,2.896854,0.4407,3.55523,0.9153,0.5625,0.661,0.65838,0.8475
8475660,12,9,6,34,0.883312,3.188237,0.1864,2.81113,0.3051,0.4412,0.1525,-0.3771,0.2034
8476434,29,22,4,57,0.901437,2.715928,0.6271,2.84795,0.4237,0.5439,0.5424,0.13202,0.5593
8476883,39,15,4,58,0.91234,2.308533,0.9831,3.39284,0.8136,0.7069,0.9492,1.08431,0.9661
8476999,28,12,8,49,0.890651,2.725886,0.6102,3.22528,0.7458,0.6531,0.8983,0.4994,0.7966
8477992,11,10,2,25,0.883582,3.287633,0.1525,3.54052,0.9153,0.48,0.2542,0.25289,0.6102
8482447,8,10,1,20,0.859956,3.508505,0.0508,3.5085,0.8983,0.425,0.1017,0.0,0.4407
8478435,29,14,7,52,0.90569,2.423865,0.9661,2.84453,0.3898,0.625,0.8814,0.42067,0.7458
8481035,14,11,5,33,0.869624,3.117996,0.2542,2.79655,0.2881,0.5,0.3898,-0.32144,0.2373
8478009,29,24,2,55,0.905882,2.678101,0.7119,2.77109,0.2712,0.5455,0.5593,0.09299,0.4915
8479496,14,10,3,30,0.894444,2.761377,0.5593,2.32537,0.0678,0.5167,0.4407,-0.43601,0.1186
8474593,23,19,1,44,0.883199,3.066018,0.339,2.61791,0.1356,0.5341,0.5085,-0.44811,0.1017
8474596,17,17,2,37,0.903977,2.744028,0.5932,2.66171,0.1864,0.4865,0.2881,-0.08232,0.4068
8475883,16,14,5,35,0.873969,3.054428,0.3559,3.16861,0.678,0.5286,0.4576,0.11418,0.5254
8483548,31,6,2,39,0.894737,2.465249,0.9153,3.63433,0.9831,0.8205,1.0,1.16909,0.9831
8476412,13,20,7,41,0.873267,3.327845,0.1186,2.57388,0.1186,0.4024,0.0847,-0.75396,0.0678
8479406,28,15,6,50,0.904139,2.688755,0.678,3.47719,0.8475,0.62,0.8644,0.78843,0.8983
8480981,24,13,5,46,0.9096,2.606062,0.7627,2.85752,0.4407,0.5761,0.6949,0.25146,0.5932
8482661,18,9,6,35,0.915686,2.614379,0.7458,2.73458,0.2373,0.6,0.7966,0.1202,0.5424
8477424,28,22,8,59,0.893529,3.163829,0.2034,2.83171,0.3729,0.5424,0.5254,-0.33211,0.2203
8478007,14,11,3,30,0.883005,3.395653,0.0847,3.39565,0.8305,0.5167,0.4407,0.0,0.4746
8481020,10,12,2,28,0.907173,2.679047,0.6949,2.95894,0.4915,0.3929,0.0678,0.2799,0.6271
8482982,26,19,9,55,0.907732,2.600653,0.7797,2.71054,0.2203,0.5546,0.6441,0.10989,0.5085
8476945,23,23,11,57,0.895281,2.857605,0.4746,2.64593,0.1695,0.5,0.3898,-0.21167,0.2881
8477480,12,11,1,25,0.889908,3.127036,0.2373,3.04017,0.5763,0.5,0.3898,-0.08686,0.3559
8479193,15,8,6,30,0.906579,2.42735,0.9492,3.21367,0.7288,0.6,0.7966,0.78632,0.8814
8479979,35,12,6,54,0.899417,2.592212,0.8305,3.17452,0.6949,0.7037,0.9322,0.58231,0.8305
8477970,5,13,3,22,0.883399,2.934715,0.4237,2.28808,0.0508,0.2955,0.0339,-0.64663,0.0678
8478872,38,20,3,64,0.896679,2.745921,0.5763,3.59082,0.9661,0.6172,0.8475,0.8449,0.9153
8477967,8,10,1,20,0.896887,2.903573,0.4407,2.8498,0.4237,0.425,0.1017,-0.05377,0.4237
8480947,11,27,5,47,0.875486,3.703204,0.0339,2.26821,0.0339,0.2872,0.0339,-1.43499,0.0169
8477968,18,14,4,40,0.896092,2.870981,0.4576,2.8183,0.322,0.5,0.3898,-0.05268,0.4407
8482137,21,20,4,47,0.883669,3.627984,0.0508,3.05028,0.6102,0.4894,0.322,-0.5777,0.0847
8475831,13,12,4,32,0.908776,2.646418,0.7288,2.84741,0.4068,0.4688,0.2034,0.20099,0.5763
8475852,3,5,0,10,0.8583,4.070688,0.0,3.72177,0.9831,0.3,0.0339,-0.34892,0.2034
8478916,20,20,6,47,0.897475,3.029834,0.4068,2.74022,0.2542,0.4894,0.322,-0.28962,0.2542
8480843,30,20,4,56,0.888301,3.102878,0.2712,2.99272,0.5424,0.5714,0.678,-0.11016,0.339
8476899,0,2,1,5,0.921569,2.213171,0.9831,1.10658,0.0,0.1,0.0,-1.10658,0.0169
8482076,2,1,0,3,0.908046,2.619134,0.7288,2.61913,0.1356,0.6667,0.8983,0.0,0.4746
8477831,0,1,0,1,0.892857,3.073421,0.2881,2.04894,0.0,0.0,0.0,-1.02447,0.0169
8481544,1,0,0,2,0.833333,4.650161,0.0,6.20022,1.0,0.5,0.3898,1.55005,0.9831
8480045,22,9,3,35,0.909677,2.515082,0.8644,3.58029,0.9492,0.6714,0.9153,1.06521,0.9492
8482761,2,4,2,8,0.873016,2.995839,0.4237,2.74618,0.2542,0.375,0.0508,-0.24965,0.2542
8483710,5,7,4,20,0.914234,2.855066,0.4746,2.61714,0.1186,0.35,0.0339,-0.23792,0.2712
8482411,0,1,0,1,0.833333,3.353517,0.0847,5.03027,1.0,0.0,0.0,1.67676,1.0
8478406,23,10,2,39,0.903537,2.505006,0.8814,3.50701,0.8983,0.6154,0.8305,1.002,0.9322
8482783,0,2,0,4,0.829787,3.999445,0.0,1.99972,0.0,0.0,0.0,-1.99972,0.0
8481611,6,2,0,9,0.899471,2.325819,0.9661,3.42752,0.8305,0.6667,0.8983,1.1017,0.9661
8483703,1,1,2,5,0.896552,2.559697,0.8475,2.55969,0.1017,0.4,0.0678,0.0,0.4746
8480238,0,1,0,1,0.825,7.392197,0.0,5.28014,1.0,0.0,0.0,-2.11206,0.0
8482515,0,2,0,3,0.876543,5.238095,0.0,4.28571,1.0,0.0,0.0,-0.95238,0.0339
8479361,15,16,7,39,0.89918,3.336223,0.1017,2.93265,0.4746,0.4744,0.2203,-0.40357,0.1525
8483114,0,1,0,3,0.870968,3.462371,0.0508,1.73118,0.0,0.0,0.0,-1.73118,0.0
8482193,2,0,1,3,0.947917,1.621622,1.0,3.89189,1.0,0.8333,1.0,2.27027,1.0
8478024,10,8,2,20,0.883895,3.247112,0.1695,2.98525,0.5085,0.55,0.6102,-0.26186,0.2542
8484268,6,11,2,21,0.881443,3.613564,0.0508,2.46141,0.1017,0.3333,0.0339,-1.15215,0.0169
8483746,0,0,0,1,0.769231,9.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0
8477484,1,3,0,6,0.863946,4.128677,0.0,3.50937,0.8983,0.1667,0.0,-0.6193,0.0678
8479394,11,3,3,18,0.890995,2.706457,0.6441,3.47133,0.8305,0.6944,0.9153,0.76487,0.8644
8477990,0,1,0,2,0.809524,4.219162,0.0,2.10958,0.0,0.0,0.0,-2.10958,0.0
8483532,3,1,0,4,0.920792,2.002225,1.0,3.00334,0.5424,0.75,0.9661,1.00111,0.9153
8484170,9,6,2,17,0.908482,2.433957,0.9322,3.14633,0.661,0.5882,0.7119,0.71238,0.8644
8478971,16,10,3,32,0.899083,2.598084,0.7966,3.23917,0.7627,0.5469,0.5763,0.64108,0.8475
8477405,0,0,0,1,0.714286,8.899876,0.0,4.44993,1.0,0.0,0.0,-4.44993,0.0
8482123,2,1,0,3,0.917647,2.31129,0.9661,2.31129,0.0508,0.6667,0.8983,0.0,0.4746
8473503,7,4,2,14,0.885813,2.421179,0.9661,2.86139,0.4407,0.5714,0.678,0.44021,0.7627
8480022,0,0,0,1,1.0,0.0,1.0,9.91735,1.0,0.0,0.0,9.91735,1.0
8476316,0,1,0,1,0.782609,6.086221,0.0,4.05748,1.0,0.0,0.0,-2.02874,0.0
8483668,1,2,0,3,0.890244,3.039115,0.3898,2.36375,0.0678,0.3333,0.0339,-0.67536,0.0678
8484910,0,1,0,1,0.942857,2.099125,0.9831,0.0,0.0,0.0,0.0,-2.09912,0.0
8482949,1,0,0,1,0.964286,1.0,1.0,3.0,0.5424,1.0,1.0,2.0,1.0
