goalie_id,total_shots_against,total_goals_against,total_saves,total_save_pctg,behind_the_net_shots_against,behind_the_net_goals_against,behind_the_net_saves,behind_the_net_save_pctg,beyond_red_line_shots_against,beyond_red_line_goals_against,beyond_red_line_saves,beyond_red_line_save_pctg,center_point_shots_against,center_point_goals_against,center_point_saves,center_point_save_pctg,crease_shots_against,crease_goals_against,crease_saves,crease_save_pctg,high_slot_shots_against,high_slot_goals_against,high_slot_saves,high_slot_save_pctg,l_circle_shots_against,l_circle_goals_against,l_circle_saves,l_circle_save_pctg,l_corner_shots_against,l_corner_goals_against,l_corner_saves,l_corner_save_pctg,l_net_side_shots_against,l_net_side_goals_against,l_net_side_saves,l_net_side_save_pctg,l_point_shots_against,l_point_goals_against,l_point_saves,l_point_save_pctg,low_slot_shots_against,low_slot_goals_against,low_slot_saves,low_slot_save_pctg,off_neu_zone_shots_against,off_neu_zone_goals_against,off_neu_zone_saves,off_neu_zone_save_pctg,outside_l_shots_against,outside_l_goals_against,outside_l_saves,outside_l_save_pctg,outside_r_shots_against,outside_r_goals_against,outside_r_saves,outside_r_save_pctg,r_circle_shots_against,r_circle_goals_against,r_circle_saves,r_circle_save_pctg,r_corner_shots_against,r_corner_goals_against,r_corner_saves,r_corner_save_pctg,r_net_side_shots_against,r_net_side_goals_against,r_net_side_saves,r_net_side_save_pctg,r_point_shots_against,r_point_goals_against,r_point_saves,r_point_save_pctg
8475683,1250,154,1096,0.8768,6,0,6,1.0,46,0,46,1.0,113,5,108,0.955752,43,9,34,0.790698,113,18,95,0.840708,92,8,84,0.913043,1,0,1,1.0,23,1,22,0.956522,89,2,87,0.977528,349,86,263,0.753582,35,0,35,1.0,68,3,65,0.955882,50,2,48,0.96,107,10,97,0.906542,1,0,1,1.0,25,8,17,0.68,89,2,87,0.977528
8480193,925,97,828,0.895135,6,1,5,0.833333,27,0,27,1.0,82,8,74,0.902439,26,5,21,0.807692,88,19,69,0.784091,87,4,83,0.954023,2,0,2,1.0,16,2,14,0.875,63,1,62,0.984127,234,38,196,0.837607,25,0,25,1.0,47,4,43,0.914894,43,1,42,0.976744,90,11,79,0.877778,4,0,4,1.0,21,2,19,0.904762,64,1,63,0.984375
8481519,1583,155,1428,0.902085,12,2,10,0.833333,47,0,47,1.0,108,5,103,0.953704,74,15,59,0.797297,131,18,113,0.862595,137,20,117,0.854015,3,0,3,1.0,49,5,44,0.897959,107,1,106,0.990654,436,63,373,0.855505,44,0,44,1.0,70,3,67,0.957143,77,4,73,0.948052,145,16,129,0.889655,1,0,1,1.0,36,2,34,0.944444,106,1,105,0.990566
8482821,774,93,681,0.879845,5,0,5,1.0,14,0,14,1.0,53,1,52,0.981132,33,8,25,0.757576,76,10,66,0.868421,58,7,51,0.87931,1,0,1,1.0,14,1,13,0.928571,44,2,42,0.954545,235,50,185,0.787234,16,0,16,1.0,31,0,31,1.0,40,2,38,0.95,67,10,57,0.850746,1,0,1,1.0,22,0,22,1.0,64,2,62,0.96875
8471734,671,73,598,0.891207,3,0,3,1.0,10,0,10,1.0,53,1,52,0.981132,19,7,12,0.631579,67,10,57,0.850746,60,8,52,0.866667,1,0,1,1.0,15,3,12,0.8,62,1,61,0.983871,151,30,121,0.801325,8,0,8,1.0,43,4,39,0.906977,33,0,33,1.0,74,5,69,0.932432,2,0,2,1.0,18,1,17,0.944444,52,3,49,0.942308
8477465,832,98,734,0.882212,6,1,5,0.833333,10,0,10,1.0,54,2,52,0.962963,25,3,22,0.88,76,10,66,0.868421,86,12,74,0.860465,1,0,1,1.0,22,3,19,0.863636,44,2,42,0.954545,221,40,181,0.819005,21,0,21,1.0,51,2,49,0.960784,57,3,54,0.947368,87,13,74,0.850575,0,0,0,0.0,17,1,16,0.941176,54,6,48,0.888889
8478048,1425,126,1299,0.911579,8,0,8,1.0,36,0,36,1.0,114,5,109,0.95614,39,11,28,0.717949,168,16,152,0.904762,139,15,124,0.892086,2,0,2,1.0,26,7,19,0.730769,82,3,79,0.963415,349,50,299,0.856734,29,0,29,1.0,67,2,65,0.970149,77,2,75,0.974026,140,11,129,0.921429,3,0,3,1.0,30,1,29,0.966667,116,3,113,0.974138
8481668,1020,114,906,0.888235,6,1,5,0.833333,21,0,21,1.0,85,5,80,0.941176,32,10,22,0.6875,114,14,100,0.877193,123,7,116,0.943089,2,0,2,1.0,24,4,20,0.833333,68,1,67,0.985294,253,54,199,0.786561,22,0,22,1.0,63,0,63,1.0,36,4,32,0.888889,92,10,82,0.891304,1,0,1,1.0,23,1,22,0.956522,55,3,52,0.945455
8475311,1234,134,1100,0.89141,14,1,13,0.928571,31,0,31,1.0,105,5,100,0.952381,34,12,22,0.647059,117,22,95,0.811966,120,10,110,0.916667,0,0,0,0.0,37,6,31,0.837838,73,4,69,0.945205,317,54,263,0.829653,33,0,33,1.0,62,6,56,0.903226,66,2,64,0.969697,117,8,109,0.931624,1,0,1,1.0,33,4,29,0.878788,74,0,74,1.0
8475809,1093,86,1007,0.921317,11,4,7,0.636364,37,0,37,1.0,85,6,79,0.929412,38,3,35,0.921053,83,4,79,0.951807,91,8,83,0.912088,2,0,2,1.0,29,1,28,0.965517,94,0,94,1.0,268,47,221,0.824627,30,0,30,1.0,67,3,64,0.955224,73,2,71,0.972603,97,5,92,0.948454,1,0,1,1.0,24,3,21,0.875,63,0,63,1.0
