player_id,first_name,last_name,birth_date,is_active,current_team_id,position,shoots_catches,height_inches,height_cm,weight_lbs,weight_kg,birth_city,birth_state_prov,birth_country,draft_year,draft_team,draft_round,draft_pick_in_round,draft_overall_pick,hero_image
8475683,Sergei,Bobrovsky,1988-09-20,TRUE,13,G,L,74,188,180,82,Novokuznetsk,,RUS,,,,,,https://assets.nhle.com/mugs/actionshots/1296x729/8475683.jpg
8480193,Daniil,Tarasov,1999-03-27,TRUE,13,G,L,77,196,203,92,Novokuznetsk,,RUS,2017,CBJ,3,24,86,https://assets.nhle.com/mugs/actionshots/1296x729/8480193.jpg
8481519,Spencer,Knight,2001-04-19,TRUE,16,G,L,75,191,191,87,Darien,Connecticut,USA,2019,FLA,1,13,13,https://assets.nhle.com/mugs/actionshots/1296x729/8481519.jpg
8482821,Arvid,Soderblom,1999-08-19,TRUE,16,G,L,75,191,180,82,Goteborg,,SWE,,,,,,https://assets.nhle.com/mugs/actionshots/1296x729/8482821.jpg
8471734,Jonathan,Quick,1986-01-21,TRUE,3,G,L,73,185,219,99,Milford,Connecticut,USA,2005,LAK,3,11,72,https://assets.nhle.com/mugs/actionshots/1296x729/8471734.jpg
8477465,Tristan,Jarry,1995-04-29,TRUE,22,G,L,76,193,201,91,Surrey,British Columbia,CAN,2013,PIT,2,14,44,https://assets.nhle.com/mugs/actionshots/1296x729/8477465.jpg
8478048,Igor,Shesterkin,1995-12-30,TRUE,3,G,L,73,185,199,90,Moscow,,RUS,2014,NYR,4,28,118,https://assets.nhle.com/mugs/actionshots/1296x729/8478048.jpg
8481668,Arturs,Silovs,2001-03-22,TRUE,5,G,L,76,193,208,94,Riga,,LVA,2019,VAN,6,1,156,https://assets.nhle.com/mugs/actionshots/1296x729/8481668.jpg
8475311,Darcy,Kuemper,1990-05-05,TRUE,26,G,L,77,196,215,98,Saskatoon,Saskatchewan,CAN,2009,MIN,6,11,161,https://assets.nhle.com/mugs/actionshots/1296x729/8475311.jpg
8475809,Scott,Wedgewood,1992-08-14,TRUE,21,G,L,74,188,201,91,Brampton,Ontario,CAN,2010,NJD,3,24,84,https://assets.nhle.com/mugs/actionshots/1296x729/8475809.jpg
8476341,Anton,Forsberg,1992-11-27,TRUE,26,G,L,75,191,200,91,Harnosand,,SWE,2011,CBJ,7,7,188,https://assets.nhle.com/mugs/actionshots/1296x729/8476341.jpg
8481529,Trent,Miner,2001-02-05,TRUE,21,G,L,73,185,185,84,Brandon,Manitoba,CAN,2019,COL,7,16,202,https://assets.nhle.com/mugs/actionshots/1296x729/8481529.jpg
8476932,Anthony,Stolarz,1994-01-20,TRUE,10,G,L,78,198,248,112,Edison,New Jersey,USA,2012,PHI,2,15,45,https://assets.nhle.com/mugs/actionshots/1296x729/8476932.jpg
8478470,Samuel,Montembeault,1996-10-30,TRUE,8,G,L,75,191,218,99,Becancour,Quebec,CAN,2015,FLA,3,16,77,https://assets.nhle.com/mugs/actionshots/1296x729/8478470.jpg
8480051,Cayden,Primeau,1999-08-11,TRUE,12,G,L,75,191,205,93,Farmington Hills,Michigan,USA,2017,MTL,7,13,199,https://assets.nhle.com/mugs/actionshots/1296x729/8480051.jpg
8482487,Jakub,Dobes,2001-05-27,TRUE,8,G,L,76,193,215,98,Ostrava,,CZE,2020,MTL,5,12,136,https://assets.nhle.com/mugs/actionshots/1296x729/8482487.jpg
8476914,Joonas,Korpisalo,1994-04-28,TRUE,6,G,L,76,193,200,91,Pori,,FIN,2012,CBJ,3,1,62,https://assets.nhle.com/mugs/actionshots/1296x729/8476914.jpg
8479292,Charlie,Lindgren,1993-12-18,TRUE,15,G,R,74,188,190,86,Lakeville,Minnesota,USA,,,,,,https://assets.nhle.com/mugs/actionshots/1296x729/8479292.jpg
