goalie_id,games_above_900,games_above_900_percentile,pctg_games_above_900,pctg_games_above_900_percentile
8475683,20,0.5424,0.3922,0.2034
8480193,15,0.3559,0.4839,0.4576
8481519,25,0.7797,0.4546,0.3729
8482821,9,0.1186,0.375,0.1525
8471734,10,0.1356,0.4167,0.2881
8477465,12,0.2203,0.4138,0.2712
8478048,32,0.8983,0.6275,0.8983
8481668,17,0.4237,0.4474,0.3559
8475311,25,0.7797,0.5,0.5932
8475809,32,0.8983,0.7442,1.0
8476341,17,0.4237,0.5484,0.6949
8481529,2,0.0,0.6667,0.9153
8476932,9,0.1186,0.36,0.1186
8478470,8,0.0339,0.3478,0.0678
8480051,0,0.0,0.0,0.0
8482487,25,0.7797,0.5952,0.7627
8476914,12,0.2203,0.4286,0.3051
8479292,5,0.0,0.25,0.0169
8480280,38,1.0,0.7037,0.9661
8480313,35,0.9831,0.6035,0.7966
8475717,3,0.0,0.2308,0.0
8479973,23,0.678,0.46,0.3898
8481692,27,0.8475,0.4909,0.4915
8482445,19,0.5085,0.7308,0.9831
8478499,9,0.1186,0.3333,0.0508
8481033,7,0.0169,0.2414,0.0169
8479312,19,0.5085,0.5588,0.7119
8481551,7,0.0169,0.5,0.5085
8475660,9,0.1186,0.36,0.1186
8476434,27,0.8475,0.4737,0.4237
8476883,35,0.9831,0.6035,0.7966
8476999,23,0.678,0.4694,0.4068
8477992,11,0.1695,0.4783,0.4407
8482447,5,0.0,0.2632,0.0339
8478435,35,0.9831,0.6863,0.9322
8481035,11,0.1695,0.3793,0.1695
8478009,24,0.7119,0.4444,0.339
8479496,14,0.2712,0.5,0.5932
8474593,15,0.3559,0.3488,0.0847
8474596,19,0.5085,0.5278,0.6441
8475883,9,0.1186,0.2571,0.0339
8483548,19,0.5085,0.4872,0.4746
8476412,15,0.3559,0.3846,0.1864
8479406,25,0.7797,0.5102,0.6102
8480981,26,0.7966,0.6047,0.8136
8482661,23,0.678,0.697,0.9492
8477424,22,0.6102,0.3729,0.1356
8478007,12,0.2203,0.4138,0.2712
8481020,14,0.2712,0.6087,0.8475
8482982,34,0.9322,0.6415,0.9153
8476945,28,0.8644,0.4912,0.5085
8477480,13,0.2373,0.5417,0.678
8479193,17,0.4237,0.6071,0.8305
8479979,27,0.8475,0.5,0.5932
8477970,7,0.0,0.3684,0.1186
8478872,33,0.9153,0.5238,0.6271
8477967,9,0.1186,0.45,0.3559
8480947,17,0.4237,0.3954,0.2203
8477968,20,0.5424,0.5882,0.7458
8482137,19,0.5085,0.4043,0.2373
8475831,15,0.3559,0.5357,0.661
8475852,2,0.0,0.25,0.0169
8478916,23,0.678,0.5,0.5932
8480843,24,0.7119,0.4364,0.322
8476899,3,0.0,0.75,1.0
8482076,1,0.0,0.3333,0.0339
8477831,0,0.0,0.0,0.0
8481544,1,0.0,1.0,1.0
8480045,21,0.5593,0.6177,0.8814
8482761,1,0.0,0.125,0.0
8483710,7,0.0,0.5,0.5085
8482411,0,0.0,0.0,0.0
8478406,22,0.6102,0.6111,0.8644
8482783,1,0.0,0.5,0.5085
8481611,3,0.0,0.375,0.1356
8483703,1,0.0,0.25,0.0169
8480238,0,0.0,0.0,0.0
8482515,0,0.0,0.0,0.0
8479361,22,0.6102,0.579,0.7288
8483114,0,0.0,0.0,0.0
8482193,3,0.0,1.0,1.0
8478024,8,0.0339,0.4211,0.2881
8484268,5,0.0,0.2778,0.0339
8483746,0,0.0,0.0,0.0
8477484,1,0.0,0.25,0.0169
8479394,9,0.1186,0.5,0.5085
8477990,0,0.0,0.0,0.0
8483532,2,0.0,0.5,0.5085
8484170,8,0.0339,0.4706,0.4068
8478971,15,0.3559,0.5,0.5932
8477405,0,0.0,0.0,0.0
8482123,2,0.0,0.6667,0.9153
8473503,4,0.0,0.3077,0.0339
8480022,0,0.0,0.0,0.0
8476316,0,0.0,0.0,0.0
8483668,1,0.0,0.3333,0.0339
8484910,1,0.0,1.0,1.0
8482949,1,0.0,1.0,1.0
