skater_id,shooter_team,max_speed_imp,max_speed_met,ax_speed_percentile,game_date,away_team,home_team,way_team_score,home_team_score,period,time_in_period
8473419,FLA,83.89,135.0079,0.4344,2025-12-07,NYI,FLA,1,4,3,18:38
8473422,MIN,83.11,133.7526,0.3787,2026-03-15,TOR,MIN,4,2,1,16:53
8473507,MIN,96.15,154.7384,0.8359,2025-11-28,CGY,FLA,5,3,1,07:33
8475179,FLA,86.85,139.7715,0.3127,2026-03-24,SEA,FLA,4,5,3,01:16
8476473,EDM,93.19,149.9748,0.6687,2025-10-07,CHI,FLA,2,3,2,08:04
8476882,CHI,91.69,147.5608,0.8902,2026-04-02,CHI,EDM,1,3,3,15:36
8476891,CHI,96.7,155.6236,0.8638,2026-01-17,BOS,CHI,5,2,3,01:56
8477409,FLA,86.02,138.4358,0.559,2025-12-30,MTL,FLA,3,2,2,17:19
8477444,CHI,86.35,138.9669,0.5902,2025-10-30,CHI,WPG,3,6,2,14:04
8477450,EDM,88.29,142.089,0.7197,2026-01-12,EDM,CHI,4,1,3,12:43
8477479,CHI,83.82,134.8952,0.4262,2025-12-10,NYR,CHI,0,3,1,19:45
8477495,FLA,92.94,149.5724,0.6563,2025-10-07,CHI,FLA,2,3,2,11:29
8477932,FLA,86.46,139.1439,0.2941,2026-03-12,CBJ,FLA,1,2,4,00:53
8477933,FLA,84.77,136.4241,0.4934,2025-11-13,WSH,FLA,3,6,3,09:10
8477935,FLA,92.87,149.4598,0.9197,2026-04-07,FLA,MTL,3,4,3,08:36
8477987,CHI,91.26,146.8687,0.882,2025-11-23,COL,CHI,1,0,3,03:37
8478043,CHI,71.64,115.2934,0.0623,2026-04-11,STL,CHI,5,3,1,08:49
8478055,FLA,100.41,161.5942,0.9721,2025-11-08,FLA,SJS,1,3,1,13:59
8478421,FLA,88.66,142.6844,0.7459,2025-12-15,FLA,TBL,5,2,2,11:03
8478542,FLA,89.96,144.7766,0.8311,2026-03-24,SEA,FLA,4,5,3,05:12
8478859,FLA,85.76,138.0173,0.2663,2025-12-23,FLA,CAR,5,2,3,03:53
8479316,FLA,83.3,134.0584,0.4016,2026-01-06,FLA,TOR,1,4,2,13:53
8479981,FLA,78.2,125.8507,0.1508,2025-10-16,FLA,NJD,1,3,3,07:30
8480003,FLA,83.71,134.7182,0.4164,2025-12-29,WSH,FLA,3,5,1,05:18
8480185,FLA,83.19,133.8813,0.3885,2025-12-27,TBL,FLA,4,2,1,09:45
8481624,CHI,87.8,141.3004,0.6803,2025-12-06,CHI,LAK,0,6,2,03:55
8482113,FLA,82.56,132.8674,0.3344,2025-11-22,EDM,FLA,6,3,3,11:44
8482176,CHI,89.14,143.4569,0.4241,2026-01-29,CHI,PIT,2,6,3,15:17
8482703,EDM,83.14,133.8009,0.382,2026-03-06,CAR,EDM,6,3,2,10:54
8482807,CHI,93.46,150.4093,0.7028,2026-03-27,CHI,NYR,1,6,3,04:26
8483450,CHI,83.27,134.0101,0.3984,2026-03-22,NSH,CHI,3,2,1,11:54
8483493,CHI,94.0,151.2783,0.9492,2025-11-28,NSH,CHI,4,3,3,00:12
8483506,CHI,85.72,137.953,0.2632,2026-02-02,SJS,CHI,3,6,1,17:32
8484144,CHI,90.74,146.0319,0.8656,2026-02-28,CHI,COL,1,3,3,07:56
8484783,CHI,93.21,150.007,0.6718,2026-01-01,DAL,CHI,3,4,1,08:53
8471215,PIT,93.07,149.7816,0.9279,2025-11-21,MIN,PIT,5,0,1,04:10
8471675,PIT,89.62,144.2294,0.8164,2026-03-24,COL,PIT,6,2,3,03:39
8471724,PIT,92.58,148.9931,0.6223,2025-12-11,MTL,PIT,4,2,1,04:55
8474578,PIT,96.64,155.527,0.8607,2025-11-03,PIT,TOR,3,4,2,06:14
8475842,BUF,85.14,137.0195,0.523,2026-03-08,TBL,BUF,7,8,3,06:12
8476389,NYR,91.12,146.6434,0.8754,2025-11-28,NYR,BOS,6,2,2,04:46
8476459,NYR,96.39,155.1247,0.982,2025-11-22,NYR,UTA,2,3,3,18:42
8476468,NYR,102.58,165.0865,0.9984,2026-01-20,NYR,LAK,3,4,2,19:12
8476483,PIT,88.0,141.6223,0.6934,2026-01-08,NJD,PIT,1,4,2,06:16
8477369,NYI,92.22,148.4137,0.6037,2026-01-29,NYI,NYR,2,1,3,11:32
8477511,PIT,95.95,154.4166,0.977,2025-11-29,TOR,PIT,7,2,2,16:10
8477839,NYR,79.95,128.6671,0.2,2026-03-29,FLA,NYR,1,3,3,11:14
8478438,PIT,82.73,133.141,0.3459,2026-01-22,PIT,EDM,6,2,3,05:38
8478450,PIT,90.12,145.0341,0.4799,2025-10-16,PIT,LAK,4,2,3,06:21
8478452,PIT,78.84,126.8807,0.1238,2025-10-18,PIT,SJS,3,0,1,18:06
8478550,LAK,89.48,144.0041,0.8082,2026-04-11,EDM,LAK,0,1,3,15:30
8478569,PIT,76.98,123.8873,0.1246,2026-03-30,PIT,NYI,8,3,3,00:39
8478840,NYR,85.39,137.4219,0.2477,2026-03-02,CBJ,NYR,5,4,3,12:31
8478854,PIT,88.43,142.3143,0.3839,2025-11-22,SEA,PIT,3,2,1,09:45
8478882,NYR,94.28,151.729,0.7399,2026-02-05,CAR,NYR,2,0,1,12:07
8479323,NYR,84.97,136.746,0.2415,2025-10-30,NYR,EDM,4,3,2,13:33
8479390,NYR,86.15,138.645,0.5738,2025-10-23,SJS,NYR,6,5,3,11:50
8479638,PIT,85.69,137.9047,0.5508,2026-02-03,PIT,NYI,4,5,3,02:15
8480001,NYR,83.58,134.509,0.1858,2025-10-12,WSH,NYR,1,0,2,01:19
8480980,PIT,83.98,135.1527,0.4393,2025-12-28,PIT,CHI,7,3,1,15:27
8481481,PIT,84.76,136.408,0.4902,2025-11-29,TOR,PIT,7,2,3,12:42
8481577,PIT,68.79,110.7068,0.0475,2025-10-14,PIT,ANA,3,4,2,14:48
8481726,NYR,82.68,133.0606,0.3393,2025-11-15,NYR,CBJ,2,1,3,09:41
8482073,NYR,92.33,148.5907,0.613,2026-01-26,BOS,NYR,3,4,4,03:10
8482109,NYR,84.32,135.6999,0.4672,2025-12-31,NYR,WSH,3,6,3,07:29
8482157,NYR,90.33,145.372,0.8492,2026-03-25,NYR,TOR,3,4,1,07:25
8482460,NYR,70.28,113.1047,0.0541,2025-10-18,NYR,MTL,4,3,3,11:27
8482758,PIT,84.72,136.3436,0.4852,2026-04-12,PIT,WSH,0,3,2,05:47
8483690,NYR,79.63,128.1521,0.1918,2026-03-14,NYR,MIN,4,2,1,02:41
8484839,PIT,85.41,137.4541,0.2508,2025-10-07,PIT,NYR,3,0,1,00:46
8485414,PIT,89.44,143.9397,0.8066,2026-01-31,NYR,PIT,5,6,1,17:36
8470613,COL,94.98,152.8555,0.7833,2026-01-10,CBJ,COL,0,4,3,08:33
8471685,LAK,87.24,140.3992,0.6459,2025-10-08,LAK,VGK,6,5,1,13:57
8474563,LAK,96.55,155.3822,0.8545,2025-11-06,FLA,LAK,5,2,1,05:08
8475208,LAK,87.5,140.8176,0.3406,2026-01-29,LAK,BUF,1,4,1,07:59
8475754,COL,86.46,139.1439,0.5967,2025-12-19,WPG,COL,2,3,2,19:51
8476312,COL,95.44,153.5958,0.8142,2026-02-26,MIN,COL,5,2,2,14:53
8476441,LAK,99.09,159.4699,0.9412,2025-10-08,LAK,VGK,6,5,3,01:27
8476455,COL,92.08,148.1884,0.9033,2025-11-28,COL,MIN,2,3,3,17:37
8476469,LAK,89.18,143.5213,0.7803,2026-02-04,SEA,LAK,4,2,1,04:47
8476479,MTL,88.82,142.9419,0.7557,2025-11-20,LAK,SJS,3,4,2,04:32
8476879,LAK,95.05,152.9681,0.7895,2026-01-20,NYR,LAK,3,4,2,01:04
8477476,COL,87.89,141.4452,0.6852,2025-10-11,DAL,COL,5,4,1,08:41
8477492,COL,90.99,146.4342,0.8721,2026-01-12,TOR,COL,4,3,4,01:27
8477501,COL,87.68,141.1073,0.6705,2026-04-07,COL,STL,3,1,1,09:37
8477942,LAK,94.3,151.7611,0.9525,2025-12-22,CBJ,LAK,3,1,1,08:58
8477960,LAK,95.3,153.3705,0.9689,2026-01-07,SJS,LAK,4,3,2,01:19
8477998,OTT,91.93,147.947,0.8984,2026-02-26,EDM,LAK,8,1,3,06:20
8478038,COL,91.56,147.3515,0.5573,2026-03-06,COL,DAL,5,4,2,03:24
8478109,CGY,89.96,144.7766,0.8311,2025-12-23,UTA,COL,0,1,2,14:28
8479398,PIT,87.4,140.6567,0.3344,2026-03-26,PIT,OTT,4,3,3,09:19
8479525,COL,94.11,151.4554,0.9508,2026-01-16,NSH,COL,7,3,1,01:17
8479675,LAK,88.15,141.8637,0.7049,2026-03-19,PHI,LAK,4,3,1,02:39
8479998,LAK,83.11,133.7526,0.1765,2026-01-29,LAK,BUF,1,4,2,00:50
8480039,COL,93.38,150.2805,0.9344,2026-02-26,MIN,COL,5,2,2,02:11
8480069,COL,98.21,158.0537,0.9071,2026-03-18,DAL,COL,2,1,2,10:39
8480448,COL,90.29,145.3077,0.8475,2026-03-02,COL,LAK,4,2,3,12:43
8480835,COL,84.39,135.8125,0.4721,2026-03-30,CGY,COL,2,9,1,18:21
8481532,LAK,79.46,127.8785,0.1885,2025-11-11,LAK,MTL,5,1,3,16:05
