skater_id,skater_team,max_speed_imp,max_speed_met,max_speed_percentile,game_date,away_team,home_team,away_team_score,home_team_score,period,time_in_period
8473419,FLA,22.4051,36.0574,0.5863,2025-10-15,FLA,DET,1,4,1,01:00
8473422,MIN,21.2999,34.2788,0.1547,2026-04-09,MIN,DAL,4,5,3,16:38
8473507,MIN,22.4199,36.0813,0.787,2025-10-28,ANA,FLA,3,2,1,10:43
8475179,FLA,20.3378,32.7305,0.1265,2026-04-07,FLA,MTL,3,4,2,04:20
8476473,EDM,20.497,32.9867,0.1543,2026-03-10,EDM,COL,4,3,1,14:13
8476882,CHI,21.5514,34.6836,0.2166,2026-02-28,CHI,COL,1,3,3,02:37
8476891,CHI,21.5507,34.6823,0.4506,2025-11-07,CHI,CGY,4,0,1,07:45
8477409,FLA,22.3955,36.042,0.5831,2025-12-10,FLA,UTA,4,3,1,07:56
8477444,CHI,22.1743,35.686,0.4674,2026-04-11,STL,CHI,5,3,3,17:18
8477450,EDM,22.4608,36.1471,0.6173,2026-01-03,CHI,WSH,3,2,2,11:23
8477479,CHI,21.1149,33.9811,0.1189,2026-01-17,BOS,CHI,5,2,2,04:59
8477495,FLA,21.9921,35.3928,0.6142,2025-12-11,FLA,COL,2,6,2,11:19
8477932,FLA,21.6964,34.9169,0.5093,2025-11-04,FLA,ANA,3,7,2,05:50
8477933,FLA,22.5611,36.3085,0.6645,2025-12-11,FLA,COL,2,6,3,18:09
8477935,FLA,22.2373,35.7874,0.5065,2025-12-19,CAR,FLA,3,4,3,01:25
8477987,CHI,22.4803,36.1784,0.627,2026-03-09,UTA,CHI,2,3,1,00:15
8478043,CHI,21.8013,35.0857,0.298,2025-10-07,CHI,FLA,2,3,1,03:49
8478055,FLA,23.3358,37.5552,0.966,2025-12-04,NSH,FLA,2,1,4,03:59
8478421,FLA,21.9786,35.371,0.373,2025-11-04,FLA,ANA,3,7,3,08:56
8478542,FLA,22.0569,35.4971,0.4023,2025-10-28,ANA,FLA,3,2,4,04:49
8478859,FLA,22.0865,35.5447,0.6543,2025-12-20,STL,FLA,6,2,1,12:34
8479316,FLA,21.9468,35.3199,0.3567,2026-03-29,FLA,NYR,1,3,1,12:03
8479981,FLA,21.3979,34.4365,0.1759,2025-10-11,OTT,FLA,2,6,1,18:06
8480003,FLA,23.129,37.2224,0.8844,2025-11-01,DAL,FLA,3,4,2,04:53
8480185,FLA,22.2951,35.8805,0.5309,2025-10-07,CHI,FLA,2,3,2,01:07
8481624,CHI,23.5366,37.8784,0.9544,2026-01-25,FLA,CHI,5,1,1,11:29
8482113,FLA,21.7196,34.9542,0.2769,2025-11-13,WSH,FLA,3,6,3,08:59
8482176,CHI,22.3509,35.9702,0.7654,2025-10-23,CHI,TBL,3,2,3,02:30
8482703,EDM,22.5823,36.3426,0.6792,2025-10-19,ANA,CHI,1,2,1,18:28
8482807,CHI,21.7812,35.0533,0.537,2025-10-07,CHI,FLA,2,3,1,04:06
8483450,CHI,22.3135,35.91,0.5358,2025-12-20,CHI,OTT,4,6,2,01:41
8483493,CHI,23.7618,38.2409,0.9772,2026-01-25,FLA,CHI,5,1,3,10:43
8483506,CHI,22.0078,35.418,0.6235,2025-11-07,CHI,CGY,4,0,2,09:29
8484144,CHI,22.3625,35.9889,0.5668,2025-10-07,CHI,FLA,2,3,1,11:41
8484783,CHI,22.1477,35.6432,0.6883,2025-11-15,TOR,CHI,2,3,2,05:28
8471215,PIT,21.5059,34.6103,0.1954,2026-04-09,PIT,NJD,5,2,1,09:54
8471675,PIT,22.8595,36.7886,0.8078,2025-10-11,NYR,PIT,6,1,2,03:17
8471724,PIT,22.1309,35.6162,0.679,2026-04-12,PIT,WSH,0,3,3,15:48
8474578,PIT,23.7392,38.2045,0.9907,2026-03-14,PIT,UTA,4,3,1,18:21
8475842,BUF,22.0805,35.535,0.4186,2026-01-02,NYR,FLA,5,1,2,03:27
8476389,NYR,23.0379,37.0758,0.8534,2026-01-14,OTT,NYR,8,4,1,14:59
8476459,NYR,22.3176,35.9166,0.5423,2025-11-07,NYR,DET,4,1,1,06:42
8476468,NYR,22.7654,36.6372,0.7622,2026-01-23,NYR,SJS,1,3,1,04:41
8476483,PIT,22.8461,36.7671,0.8013,2026-03-07,PHI,PIT,4,3,3,00:12
8477369,NYI,21.1523,34.0413,0.3056,2026-02-03,PIT,NYI,4,5,2,18:01
8477511,PIT,22.8557,36.7825,0.8062,2026-03-10,PIT,CAR,4,5,4,04:39
8477839,NYR,22.4843,36.185,0.6303,2025-10-07,PIT,NYR,3,0,1,18:20
8478438,PIT,21.8682,35.1934,0.3274,2026-04-02,PIT,TBL,3,6,2,11:16
8478450,PIT,21.6934,34.912,0.5031,2026-03-12,PIT,VGK,2,6,1,08:13
8478452,PIT,20.8569,33.5658,0.2377,2025-10-07,PIT,NYR,3,0,1,17:30
8478550,LAK,21.8841,35.219,0.3306,2025-11-20,NYR,COL,3,6,3,18:31
8478569,PIT,21.1495,34.0368,0.127,2026-02-28,PIT,NYR,2,3,3,17:52
8478840,NYR,22.3016,35.8909,0.75,2025-10-12,WSH,NYR,1,0,3,05:45
8478854,PIT,21.5949,34.7536,0.466,2026-02-28,PIT,NYR,2,3,1,11:45
8478882,NYR,23.0396,37.0786,0.9259,2026-03-22,WPG,NYR,3,2,3,16:41
8479323,NYR,21.0762,33.9188,0.2809,2025-11-22,NYR,UTA,2,3,1,08:55
8479390,NYR,22.9548,36.942,0.8322,2025-12-02,DAL,NYR,2,3,3,07:58
8479638,PIT,21.4673,34.5482,0.1906,2025-10-11,NYR,PIT,6,1,3,06:32
8480001,NYR,20.7916,33.4607,0.216,2025-12-13,MTL,NYR,4,5,2,10:23
8480980,PIT,23.6107,37.9977,0.9609,2025-12-30,CAR,PIT,1,5,3,12:06
8481481,PIT,22.2951,35.8804,0.5309,2026-01-31,NYR,PIT,5,6,3,06:32
8481577,PIT,21.7494,35.0021,0.2866,2025-10-25,CBJ,PIT,5,4,3,15:53
8481726,NYR,23.7966,38.2969,0.9788,2025-11-15,NYR,CBJ,2,1,2,07:23
8482073,NYR,22.1684,35.6766,0.7068,2026-04-13,NYR,FLA,2,3,2,12:43
8482109,NYR,22.3225,35.9246,0.5456,2026-03-16,LAK,NYR,4,1,3,08:30
