player_id,first_name,last_name,birth_date,is_active,current_team_id,position,shoots_catches,height_inches,height_cm,weight_lbs,weight_kg,birth_city,birth_state_prov,birth_country,draft_year,draft_team,draft_round,draft_pick_in_round,draft_overall_pick,head_shot,hero_image
8473419,Brad,Marchand,1988-05-11,TRUE,13,L,L,69,175,180,82,Halifax,Nova Scotia,CAN,2006,BOS,3,8,71,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8473419.jpg
8473422,Nick,Foligno,1987-10-31,TRUE,30,L,L,72,183,210,95,Buffalo,New York,USA,2006,OTT,1,28,28,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8473422.jpg
8473507,Jeff,Petry,1987-12-09,TRUE,30,D,R,75,191,208,94,Ann Arbor,Michigan,USA,2006,EDM,2,15,45,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8473507.jpg
8475179,Dmitry,Kulikov,1990-10-29,TRUE,13,D,L,73,185,212,96,Lipetsk,NaN,RUS,2009,FLA,1,14,14,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8475179.jpg
8476473,Connor,Murphy,1993-03-26,TRUE,22,D,R,76,193,212,96,Boston,Massachusetts,USA,2011,PHX,1,20,20,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476473.jpg
8476882,Teuvo,Teravainen,1994-09-11,TRUE,16,C,L,71,180,191,87,Helsinki,NaN,FIN,2012,CHI,1,18,18,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476882.jpg
8476891,Matt,Grzelcyk,1994-01-05,TRUE,16,D,L,70,178,180,82,Charlestown,Massachusetts,USA,2012,BOS,3,24,85,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8476891.jpg
8477409,Carter,Verhaeghe,1995-08-14,TRUE,13,C,L,74,188,183,83,Toronto,Ontario,CAN,2013,TOR,3,21,82,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477409.jpg
8477444,Andre,Burakovsky,1995-02-09,TRUE,16,L,L,75,191,203,92,Klagenfurt,NaN,AUT,2013,WSH,1,23,23,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477444.jpg
8477450,Jason,Dickinson,1995-07-04,TRUE,22,C,L,74,188,200,91,Georgetown,Ontario,CAN,2013,DAL,1,29,29,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477450.jpg
8477479,Tyler,Bertuzzi,1995-02-24,TRUE,16,L,L,74,188,200,91,Sudbury,Ontario,CAN,2013,DET,2,28,58,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477479.jpg
8477495,Seth,Jones,1994-10-03,TRUE,13,D,R,76,193,213,97,Arlington,Texas,USA,2013,NSH,1,4,4,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477495.jpg
8477932,Aaron,Ekblad,1996-02-07,TRUE,13,D,R,76,193,220,100,Windsor,Ontario,CAN,2014,FLA,1,1,1,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477932.jpg
8477933,Sam,Reinhart,1995-11-06,TRUE,13,C,R,73,185,196,89,West Vancouver,British Columbia,CAN,2014,BUF,1,2,2,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477933.jpg
8477935,Sam,Bennett,1996-06-20,TRUE,13,C,L,73,185,193,88,Holland Landing,Ontario,CAN,2014,CGY,1,4,4,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477935.jpg
8477987,Ryan,Donato,1996-04-09,TRUE,16,C,L,72,183,190,86,Boston,Massachusetts,USA,2014,BOS,2,26,56,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8477987.jpg
8478043,Sam,Lafferty,1995-03-06,TRUE,16,C,R,74,188,205,93,Hollidaysburg,Pennsylvania,USA,2014,PIT,4,23,113,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478043.jpg
8478055,Gustav,Forsling,1996-06-12,TRUE,13,D,L,73,185,199,90,Linkoping,NaN,SWE,2014,VAN,5,6,126,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478055.jpg
8478421,A.J.,Greer,1996-12-14,TRUE,13,L,L,75,191,209,95,Joliette,Quebec,CAN,2015,COL,2,9,39,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478421.jpg
8478542,Evan,Rodrigues,1993-07-28,TRUE,13,C,R,71,180,182,83,Toronto,Ontario,CAN,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478542.jpg
8478859,Niko,Mikkola,1996-04-27,TRUE,13,D,L,78,198,204,93,Kiiminki,NaN,FIN,2015,STL,5,6,127,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8478859.jpg
8479316,Luke,Kunin,1997-12-04,TRUE,13,C,R,72,183,197,89,Chesterfield,Missouri,USA,2016,MIN,1,15,15,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8479316.jpg
8479981,Jonah,Gadjovich,1998-10-12,TRUE,13,L,L,75,191,211,96,Whitby,Ontario,CAN,2017,VAN,2,24,55,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8479981.jpg
8480003,Jesper,Boqvist,1998-10-30,TRUE,13,C,L,73,185,191,87,Falun,NaN,SWE,2017,NJD,2,5,36,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8480003.jpg
8480185,Eetu,Luostarinen,1998-09-02,TRUE,13,C,L,75,191,191,87,Siilinjarvi,NaN,FIN,2017,CAR,2,11,42,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8480185.jpg
8481624,Ilya,Mikheyev,1994-10-10,TRUE,16,R,L,74,188,192,87,Omsk,NaN,RUS,NaN,NaN,NaN,NaN,NaN,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8481624.jpg
8482113,Anton,Lundell,2001-10-03,TRUE,13,C,L,73,185,196,89,Espoo,NaN,FIN,2020,FLA,1,12,12,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482113.jpg
8482176,Wyatt,Kaiser,2002-07-31,TRUE,16,D,L,72,183,190,86,Andover,Minnesota,USA,2020,CHI,3,19,81,NaN,https://assets.nhle.com/mugs/actionshots/1296x729/8482176.jpg
