skater_id,behind_net_sog,behind_net_goals,beyond_red_line_sog,beyond_red_line_goals,center_point_sog,center_point_goals,crease_sog,crease_goals,high_slot_sog,high_slot_goals,l_circle_sog,l_circle_goals,l_corner_sog,l_corner_goals,l_net_side_sog,l_net_side_goals,l_point_sog,l_point_goals,low_slot_sog,low_slot_goals,o_neutral_zone_sog,o_neutral_zone_goals,outside_l_sog,outside_l_goals,outside_r_sog,outside_r_goals,r_circle_sog,r_circle_goals,r_corner_sog,r_corner_goals,r_net_side_sog,r_net_side_goals,r_point_sog,r_point_goals
8473419,0,0,4,2,5,0,6,3,17,5,17,1,0,0,1,0,8,0,45,13,4,1,9,1,3,0,14,1,0,0,1,0,4,0
8473422,0,0,4,0,0,0,5,1,4,1,4,0,0,0,3,0,0,0,16,2,2,0,4,0,1,0,2,0,0,0,4,0,0,0
8473507,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,12,0,2,0,1,0,1,0,20,0
8475179,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0
8476473,0,0,6,0,10,0,0,0,6,2,1,0,0,0,0,0,4,0,3,1,2,0,1,0,8,1,5,0,0,0,2,0,22,1
8476882,1,0,2,0,3,0,4,1,7,2,13,1,0,0,4,1,7,0,15,8,4,0,6,0,7,0,11,1,1,0,0,0,4,0
8476891,0,0,4,0,10,0,0,0,0,0,3,0,0,0,0,0,30,0,1,0,0,0,14,0,3,0,3,0,0,0,0,0,0,0
8477409,1,0,2,0,9,1,7,1,19,2,38,6,1,1,3,0,10,0,55,10,1,0,17,2,7,0,13,0,1,1,2,1,1,0
8477444,0,0,1,1,4,0,4,1,18,3,9,1,0,0,0,0,1,0,25,5,1,0,4,0,3,0,15,0,0,0,2,0,0,0
8477450,1,0,5,0,2,0,1,0,11,4,10,0,0,0,1,0,4,0,18,2,1,0,6,0,3,1,6,0,0,0,1,0,3,0
8477479,0,0,6,0,2,0,22,9,11,0,16,2,0,0,1,0,6,0,70,20,7,0,7,0,5,0,8,0,0,0,2,1,1,0
8477495,1,0,4,0,27,1,0,0,8,1,3,0,0,0,0,0,2,0,7,3,0,0,2,0,5,0,7,0,0,0,0,0,22,2
8477932,0,0,3,0,13,0,1,0,6,0,6,1,0,0,2,0,3,0,7,0,1,0,2,1,16,0,7,2,0,0,0,0,30,0
8477933,2,0,1,1,4,1,5,1,26,5,12,0,0,0,7,3,1,0,64,13,8,1,1,0,10,1,14,2,0,0,6,1,5,0
8477935,1,0,4,0,6,0,11,3,27,0,32,6,1,0,8,1,9,0,59,13,8,0,12,1,2,0,12,2,0,0,7,0,2,0
8477987,0,0,4,0,1,0,10,2,9,2,13,4,0,0,3,0,4,0,32,6,5,0,6,0,7,0,17,0,0,0,6,1,5,0
8478043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0
8478055,0,0,0,0,25,0,0,0,6,1,21,1,0,0,0,0,42,0,1,0,1,0,10,0,0,0,1,0,0,0,0,0,5,0
8478421,3,1,1,0,1,0,5,1,9,2,10,0,0,0,2,0,4,0,40,6,1,1,4,1,1,1,18,3,0,0,4,1,1,0
8478542,1,0,6,0,3,0,3,0,11,2,14,1,0,0,5,1,3,0,38,7,2,0,16,0,27,0,19,0,0,0,2,0,10,0
8478859,0,0,3,0,5,1,0,0,6,0,4,1,0,0,2,0,16,1,6,0,0,0,21,0,3,0,2,0,0,0,0,0,0,0
8479316,1,0,1,0,2,0,6,0,4,1,7,1,0,0,0,0,1,0,12,2,0,0,0,0,3,0,4,0,0,0,2,0,6,0
