first_name,last_name,max_speed_imp,max_speed_met,avg_speed_imp,avg_speed_met,shots_over_100,shots_90_to_100,shots_80_to_90,shots_70_to_80
Brad,Marchand,83.89,135.0079,50.4752,81.232,0,0,11,36
Nick,Foligno,83.11,133.7526,46.7871,75.2965,0,0,5,8
Jeff,Petry,96.15,154.7384,70.7299,113.8288,0,17,23,57
Dmitry,Kulikov,86.85,139.7715,64.2389,103.3826,0,0,3,10
Connor,Murphy,93.19,149.9748,66.89,107.649,0,2,23,42
Teuvo,Teravainen,91.69,147.5608,53.1351,85.5126,0,2,8,18
Matt,Grzelcyk,96.7,155.6236,69.8463,112.4067,0,3,16,76
Carter,Verhaeghe,86.02,138.4358,52.1587,83.9413,0,0,5,49
Andre,Burakovsky,86.35,138.9669,57.8508,93.1018,0,0,13,49
Jason,Dickinson,88.29,142.089,56.9858,91.7097,0,0,7,33
Tyler,Bertuzzi,83.82,134.8952,46.4319,74.7249,0,0,7,39
Seth,Jones,92.94,149.5724,68.2556,109.8468,0,7,27,84
Aaron,Ekblad,86.46,139.1439,63.4086,102.0463,0,0,10,69
Sam,Reinhart,84.77,136.4241,50.6028,81.4373,0,0,7,52
Sam,Bennett,92.87,149.4598,50.4643,81.2143,0,1,10,69
Ryan,Donato,91.26,146.8687,53.397,85.9342,0,1,35,36
Sam,Lafferty,71.64,115.2934,41.5288,66.8342,0,0,0,1
Gustav,Forsling,100.41,161.5942,69.647,112.086,1,19,54,69
A.J.,Greer,88.66,142.6844,52.7548,84.9006,0,0,22,31
Evan,Rodrigues,89.96,144.7766,54.6355,87.9273,0,0,10,53
Niko,Mikkola,85.76,138.0173,61.4085,98.8273,0,0,6,44
Luke,Kunin,83.3,134.0584,55.1109,88.6925,0,0,3,23
Jonah,Gadjovich,78.2,125.8507,51.5645,82.9851,0,0,0,2
Jesper,Boqvist,83.71,134.7182,51.7582,83.2968,0,0,2,18
Eetu,Luostarinen,83.19,133.8813,43.4673,69.9539,0,0,2,12
Ilya,Mikheyev,87.8,141.3004,54.8828,88.3252,0,0,23,46
Anton,Lundell,82.56,132.8674,52.1337,83.901,0,0,3,48
Wyatt,Kaiser,89.14,143.4569,63.713,102.5361,0,0,14,47
Colton,Dach,83.14,133.8009,53.6004,86.2615,0,0,9,24
Ethan,Del Mastro,93.46,150.4093,65.0782,104.7331,0,2,5,10
Ryan,Greene,83.27,134.0101,54.1095,87.0808,0,0,7,38
Frank,Nazar,94.0,151.2783,53.4522,86.023,0,1,20,38
Sam,Rinzel,85.72,137.953,68.3051,109.9264,0,0,20,84
Connor,Bedard,90.74,146.0319,60.7436,97.7573,0,1,35,123
Artyom,Levshunov,93.21,150.007,67.37,108.4214,0,3,32,60
Evgeni,Malkin,93.07,149.7816,52.3998,84.3293,0,1,9,38
Sidney,Crosby,89.62,144.2294,49.8082,80.1586,0,0,8,32
Kris,Letang,92.58,148.9931,65.4649,105.3556,0,4,25,64
