skater_id,max_speed_imp,max_speed_met,max_speed_percentile,bursts_over_22,bursts_over_22_percentile,bursts_20_to_22,bursts_20_to_22_percentile,bursts_18_to_20,bursts_18_to_20_percentile
8473419,22.4051,36.0574,0.5863,5,0.7606,99,0.7248,374,0.5749
8473422,21.2999,34.2788,0.1547,0,0.0,15,0.228,134,0.272
8473507,22.4199,36.0813,0.787,1,0.6235,30,0.6296,221,0.642
8475179,20.3378,32.7305,0.1265,0,0.0031,2,0.1543,57,0.2623
8476473,20.497,32.9867,0.1543,0,0.0031,2,0.1543,112,0.392
8476882,21.5514,34.6836,0.2166,0,0.0,16,0.2362,182,0.3322
8476891,21.5507,34.6823,0.4506,0,0.0031,23,0.5247,197,0.571
8477409,22.3955,36.042,0.5831,6,0.798,174,0.9283,644,0.9414
8477444,22.1743,35.686,0.4674,2,0.5472,79,0.6254,508,0.7997
8477450,22.4608,36.1471,0.6173,2,0.5472,76,0.614,395,0.6156
8477479,21.1149,33.9811,0.1189,0,0.0,11,0.1873,233,0.3941
8477495,21.9921,35.3928,0.6142,0,0.0031,45,0.7685,281,0.7623
8477932,21.6964,34.9169,0.5093,0,0.0031,22,0.5185,244,0.6821
8477933,22.5611,36.3085,0.6645,1,0.3827,36,0.3664,336,0.5049
8477935,22.2373,35.7874,0.5065,1,0.3827,97,0.715,596,0.9023
8477987,22.4803,36.1784,0.627,2,0.5472,62,0.513,424,0.6678
8478043,21.8013,35.0857,0.298,0,0.0,26,0.2899,132,0.2687
8478055,23.3358,37.5552,0.966,4,0.9136,70,0.9105,351,0.8642
8478421,21.9786,35.371,0.373,0,0.0,84,0.6482,410,0.6433
8478542,22.0569,35.4971,0.4023,2,0.5472,71,0.5847,411,0.6466
8478859,22.0865,35.5447,0.6543,1,0.6235,66,0.8889,399,0.9228
8479316,21.9468,35.3199,0.3567,0,0.0,66,0.5407,258,0.4267
8479981,21.3979,34.4365,0.1759,0,0.0,12,0.1971,33,0.1303
8480003,23.129,37.2224,0.8844,9,0.8697,134,0.8404,517,0.8143
8480185,22.2951,35.8805,0.5309,1,0.3827,57,0.4821,393,0.6124
8481624,23.5366,37.8784,0.9544,12,0.9218,182,0.9463,484,0.7671
8482113,21.7196,34.9542,0.2769,0,0.0,62,0.513,427,0.671
8482176,22.3509,35.9702,0.7654,4,0.9136,61,0.858,362,0.8735
8482703,22.5823,36.3426,0.6792,1,0.3827,54,0.4691,323,0.4886
8482807,21.7812,35.0533,0.537,0,0.0031,4,0.2346,44,0.2346
8483450,22.3135,35.91,0.5358,2,0.5472,79,0.6254,548,0.8518
