skater_id,o_zone_pctg,o_zone_pctg_percentile,n_zone_pctg,n_zone_pctg_percentile,d_zone_pctg,d_zone_pctg_percentile
8473419,0.3203,0.3634,0.3612,0.815,0.3186,0.5639
8473422,0.2359,0.0617,0.3485,0.707,0.4156,0.0485
8473507,0.3271,0.4273,0.4056,0.9868,0.2673,0.8568
8475179,0.3167,0.3502,0.3808,0.9273,0.3025,0.674
8476473,0.234,0.0573,0.3734,0.9075,0.3926,0.0881
8476882,0.2929,0.1872,0.3605,0.8106,0.3467,0.3414
8476891,0.3594,0.6322,0.3304,0.4273,0.3103,0.6256
8477409,0.3694,0.7004,0.3365,0.5154,0.2972,0.6938
8477444,0.3971,0.826,0.3591,0.7907,0.2439,0.9449
8477450,0.1869,0.0132,0.3316,0.4493,0.4814,0.011
8477479,0.3088,0.304,0.3347,0.4824,0.3565,0.2379
8477495,0.306,0.2819,0.3611,0.815,0.3329,0.4361
8477932,0.347,0.5639,0.3381,0.5463,0.3148,0.5991
8477933,0.3362,0.489,0.3337,0.4758,0.33,0.467
8477935,0.3626,0.663,0.3659,0.859,0.2747,0.8194
8477987,0.255,0.0771,0.3601,0.804,0.3849,0.1123
8478043,0.3176,0.3524,0.4118,0.989,0.2706,0.8414
8478055,0.3602,0.6432,0.3258,0.359,0.3141,0.6035
8478421,0.3692,0.696,0.3523,0.7445,0.2824,0.793
8478542,0.3447,0.5463,0.3311,0.4383,0.3242,0.5176
8478859,0.3221,0.3877,0.3557,0.7643,0.3221,0.5419
8479316,0.3217,0.3722,0.35,0.7247,0.3326,0.4361
8479981,0.2987,0.2137,0.2987,0.0881,0.4026,0.0727
8480003,0.3251,0.4141,0.3834,0.9361,0.2915,0.7379
8480185,0.2849,0.1608,0.3908,0.9648,0.3242,0.5176
8481624,0.2049,0.0286,0.349,0.7137,0.4461,0.022
8482113,0.3053,0.2687,0.3687,0.8855,0.326,0.5
8482176,0.3285,0.4449,0.3594,0.7996,0.3121,0.6145
8482703,0.2696,0.1101,0.4105,0.989,0.3199,0.5529
8482807,0.2554,0.0771,0.2989,0.0903,0.4457,0.0242
8483450,0.339,0.5044,0.3001,0.1057,0.3609,0.207
8483493,0.3247,0.4075,0.3092,0.1652,0.3661,0.174
8483506,0.375,0.7335,0.3491,0.7159,0.2759,0.815
8484144,0.3741,0.7225,0.3402,0.5903,0.2857,0.7775
8484783,0.4073,0.8744,0.3146,0.2291,0.278,0.8106
8471215,0.4533,0.9714,0.3328,0.4581,0.2139,0.9846
8471675,0.3722,0.7137,0.3657,0.8546,0.262,0.8877
8471724,0.3901,0.8062,0.3162,0.2489,0.2937,0.7225
8474578,0.376,0.7401,0.3164,0.2533,0.3076,0.6388
8475842,0.1881,0.0132,0.3762,0.9163,0.4357,0.0308
8476389,0.3485,0.5771,0.3111,0.174,0.3404,0.3943
8476459,0.344,0.5396,0.3431,0.6233,0.3129,0.6101
8476468,0.3276,0.4383,0.3296,0.4075,0.3428,0.3744
8476483,0.388,0.793,0.3453,0.6454,0.2667,0.859
8477369,0.3084,0.2996,0.3696,0.8877,0.322,0.5441
8477511,0.3859,0.7863,0.3918,0.9692,0.2224,0.978
8477839,0.3062,0.2841,0.3385,0.5507,0.3554,0.2467
8478438,0.4195,0.8987,0.3473,0.6872,0.2357,0.9537
8478450,0.3242,0.4053,0.3491,0.7159,0.3266,0.4978
8478452,0.2381,0.0617,0.3214,0.315,0.4405,0.0264
8478550,0.4513,0.9714,0.2884,0.0419,0.2602,0.9009
8478569,0.1065,0.0,0.3009,0.1057,0.5926,0.0
8478840,0.2959,0.2026,0.3362,0.5088,0.368,0.1652
8478854,0.3104,0.3172,0.3457,0.6608,0.3438,0.3656
8478882,0.3497,0.5859,0.3389,0.5529,0.3114,0.6167
8479323,0.3647,0.6718,0.3489,0.7115,0.2864,0.7709
8479390,0.2457,0.0661,0.3535,0.7511,0.4008,0.0727
8479638,0.3599,0.6388,0.3924,0.9692,0.2477,0.9361
8480001,0.2355,0.0617,0.3379,0.5441,0.4266,0.0396
8480980,0.127,0.0,0.3267,0.3833,0.5463,0.0
8481481,0.1025,0.0,0.3302,0.4251,0.5674,0.0
8481577,0.3571,0.6189,0.4,0.9824,0.2429,0.9449
8481726,0.2387,0.0639,0.3333,0.4626,0.428,0.0396
8482073,0.2801,0.1498,0.3358,0.5044,0.3841,0.1211
8482109,0.359,0.6278,0.3457,0.6608,0.2953,0.7048
