player_id,first_name,last_name,sweater_number,player_position,shoots_catches,birthdate,birth_city,birth_country,weight,height
8484153,Leo,Carlsson,91,C,L,2004-12-26,Karlstad,SWE,194,75
8482118,Sam,Colangelo,64,R,R,2001-12-26,Stoneham,USA,205,74
8483445,Cutter,Gauthier,61,L,L,2004-01-19,Skelleftea,SWE,189,74
8480870,Bo,Groulx,24,C,L,2000-02-06,Rouen,FRA,198,74
8477527,Ross,Johnston,44,L,L,1994-02-18,Charlottetown,CAN,234,77
8479368,Max,Jones,49,L,L,1998-02-17,Rochester,USA,216,75
8473986,Alex,Killorn,17,L,L,1989-09-14,Halifax,CAN,194,73
8481517,Brett,Leason,20,R,R,1999-04-30,Calgary,CAN,218,77
8480806,Isac,Lundestrom,21,C,L,1999-11-06,Gallivare,SWE,193,72
8476934,Brock,McGinn,26,L,L,1994-02-02,Fergus,CAN,187,72
8482745,Mason,McTavish,23,C,L,2003-01-30,Zurich,CHE,213,72
8483570,Ben,Meyers,39,C,L,1998-11-15,Delano,USA,194,71
8475164,Jakob,Silfverberg,33,R,R,1990-10-13,Gavle,SWE,207,73
8476458,Ryan,Strome,16,C,R,1993-07-11,Mississauga,CAN,191,73
8478873,Troy,Terry,19,R,R,1997-09-10,Denver,USA,185,72
8478366,Frank,Vatrano,77,R,L,1994-03-14,East Longmeadow,USA,197,71
8481533,Trevor,Zegras,11,C,L,2001-03-20,Bedford,USA,185,72
8475760,Nick,Bjugstad,17,C,R,1992-07-17,Minneapolis,USA,209,78
8476329,Travis,Boyd,72,C,R,1993-09-14,Hopkins,USA,190,72
8479619,Michael,Carcone,53,L,L,1996-05-19,Ajax,CAN,170,69
8483431,Logan,Cooley,92,C,L,2004-05-04,Pittsburgh,USA,174,70
8478474,Lawson,Crouse,67,L,L,1997-06-23,Mt. Brydges,CAN,215,76
8480849,Barrett,Hayton,29,C,L,2000-06-09,Peterborough,CAN,207,73
8479343,Clayton,Keller,9,R,L,1998-07-29,Chesterfield,USA,178,70
8477021,Alex,Kerfoot,15,C,L,1994-08-11,Vancouver,CAN,186,71
8483483,Julian,Lutz,,L,L,2004-02-29,Weingarten,DEU,185,73
8481711,Matias,Maccelli,63,L,L,2000-10-14,Turku,FIN,176,71
8480855,Jack,McBain,22,C,L,2000-01-06,Toronto,CAN,201,75
8477070,Liam,O'Brien,38,C,L,1994-07-29,Halifax,CAN,213,73
8477951,Nick,Schmaltz,8,C,R,1996-02-23,Madison,USA,181,72
8483652,Joey,Abate,53,L,L,1998-09-26,Bloomingdale,USA,198,74
8481556,John,Beecher,19,C,L,2001-04-05,Elmira,USA,216,75
8480003,Jesper,Boqvist,70,C,L,1998-10-30,Falun,SWE,184,73
8479638,Justin,Brazeau,55,R,R,1998-02-02,New Liskeard,CAN,220,77
8477887,Patrick,Brown,38,C,R,1992-05-29,Bloomfield Hills,USA,218,73
8475745,Charlie,Coyle,13,C,R,1992-03-02,East Weymouth,USA,218,75
8478498,Jake,DeBrusk,74,L,L,1996-10-17,Edmonton,CAN,198,73
8479365,Trent,Frederic,11,C,L,1998-02-11,St. Louis,USA,220,75
8479987,Morgan,Geekie,39,C,R,1998-07-20,Strathclair,CAN,202,75
8478046,Danton,Heinen,43,C,L,1995-07-05,Langley,CAN,195,74
8482479,Trevor,Kuntar,52,C,L,2001-06-20,Buffalo,USA,205,72
8480880,Jakub,Lauko,94,C,L,2000-03-28,Prague,CZE,193,73
8473419,Brad,Marchand,63,L,L,1988-05-11,Halifax,CAN,176,69
8474034,Pat,Maroon,61,L,L,1988-04-23,St. Louis,USA,234,75
8483397,Marc,McLaughlin,26,C,R,1999-07-26,North Billerica,USA,199,72
8477126,Jayson,Megna,20,C,R,1990-02-01,Fort Lauderdale,USA,190,72
8483567,Georgii,Merkulov,42,C,L,2000-10-10,Ryazan,RUS,176,71
8477956,David,Pastrnak,88,R,R,1996-05-25,Havirov,CZE,196,72
8483505,Matthew,Poitras,51,C,R,2004-03-10,Ajax,CAN,180,71
8479546,Oskar,Steen,62,C,R,1998-03-09,Karlstad,SWE,196,70
8474037,James,van Riemsdyk,21,L,L,1989-05-04,Middletown,USA,208,75
8478401,Pavel,Zacha,18,C,L,1997-04-06,Brno,CZE,207,76
8484145,Zach,Benson,9,L,L,2005-05-12,Chilliwack,CAN,170,70
8481528,Dylan,Cozens,24,C,R,2001-02-09,Whitehorse,CAN,195,75
8476878,Zemgus,Girgensons,28,L,L,1994-01-05,Riga,LVA,200,74
8478413,Jordan,Greenway,12,L,L,1997-02-16,Canton,USA,231,78
8479370,Tyson,Jost,17,C,L,1998-03-14,St. Albert,CAN,187,71
8481522,Peyton,Krebs,19,C,L,2001-01-26,Calgary,CAN,186,72
8478109,Victor,Olofsson,71,L,L,1995-07-18,Ornskoldsvik,SWE,182,71
8482175,JJ,Peterka,77,R,L,2002-01-14,Munich,DEU,189,72
8482097,Jack,Quinn,22,R,R,2001-09-19,Ottawa,CAN,185,73
8480762,Eric,Robinson,50,L,L,1995-06-14,Bellmawr,USA,211,74
8475784,Jeff,Skinner,53,L,L,1992-05-16,Toronto,CAN,200,71
8479420,Tage,Thompson,72,C,R,1997-10-30,Phoenix,USA,220,78
8477949,Alex,Tuch,89,R,R,1996-05-10,Syracuse,USA,215,76
8478427,Sebastian,Aho,20,C,L,1997-07-26,Rauma,FIN,176,72
8482809,Jackson,Blake,53,R,R,2003-08-03,Fargo,USA,173,70
8480031,Maxime,Comtois,44,L,L,1999-01-08,Longueuil,CAN,210,74
8480835,Jack,Drury,18,C,L,2000-02-03,New York,USA,174,71
8475855,Jesper,Fast,71,R,R,1991-12-02,Nassjo,SWE,191,73
8477404,Jake,Guentzel,59,C,L,1994-10-06,Omaha,USA,180,71
8482093,Seth,Jarvis,24,C,R,2002-02-01,Winnipeg,CAN,175,70
8480829,Jesperi,Kotkaniemi,82,C,L,2000-07-06,Pori,FIN,201,74
8475744,Evgeny,Kuznetsov,92,C,L,1992-05-19,Chelyabinsk,RUS,207,74
8477962,Brendan,Lemieux,28,L,L,1996-03-15,Denver,USA,215,73
8476921,Jordan,Martinook,48,L,L,1992-07-25,Brandon,CAN,196,72
8484203,Bradly,Nadeau,29,L,R,2005-05-05,St-Francois de Madaw,CAN,161,70
8480039,Martin,Necas,88,C,R,1999-01-15,Nove Mesto na Morave,CZE,189,74
8476474,Stefan,Noesen,23,R,R,1993-02-12,Plano,USA,205,73
8473533,Jordan,Staal,11,C,L,1988-09-10,Thunder Bay,CAN,220,76
8481576,Ryan,Suzuki,61,C,L,2001-05-28,London,CAN,176,72
8480830,Andrei,Svechnikov,37,R,L,2000-03-26,Barnaul,RUS,195,74
8476882,Teuvo,Teravainen,86,L,L,1994-09-11,Helsinki,FIN,191,71
8484149,Gavin,Brindley,45,C,R,2004-10-05,Fort Myers,USA,175,69
8482475,Yegor,Chinakhov,59,R,L,2001-02-01,Omsk,RUS,204,73
8479941,Justin,Danforth,17,R,R,1993-03-15,Oshawa,CAN,188,68
8484166,Adam,Fantilli,11,C,L,2004-10-12,Nobleton,CAN,194,74
8476346,Johnny,Gaudreau,13,L,L,1993-08-13,Salem,USA,163,69
8476432,Boone,Jenner,38,C,L,1993-06-15,Dorchester,CAN,208,74
8482660,Kent,Johnson,91,C,L,2002-10-18,Port Moody,CAN,178,72
8476374,Sean,Kuraly,7,C,L,1993-01-20,Niagara Falls,USA,215,74
8480893,Kirill,Marchenko,86,R,R,2000-07-21,Barnaul,RUS,195,75
8480292,Carson,Meyer,72,R,R,1997-08-18,Powell,USA,184,71
8479423,Alex,Nylander,92,L,R,1998-03-02,Calgary,CAN,192,73
8479671,Mathieu,Olivier,24,R,R,1997-02-11,Biloxi,USA,222,73
8482705,Cole,Sillinger,4,C,L,2003-05-16,Columbus,USA,199,73
8480074,Alexandre,Texier,42,C,L,1999-09-13,Saint-Martin-d'Hères,FRA,201,73
8481716,Dmitri,Voronkov,10,L,L,2000-09-10,Angarsk,RUS,240,77
