"team","total_shots_against","total_goals_against","avg_save_perc","total_goals","total_pim"
"ANA",2809,294,0.890,0,20
"ARI",2663,253,0.899,0,2
"BOS",2432,215,0.898,0,2
"BUF",1740,142,0.914,0,8
"CAR",2445,241,0.887,0,6
"CBJ",2328,231,0.892,0,2
"CGY",2042,209,0.882,0,12
"CHI",2742,273,0.895,0,0
"COL",2393,236,0.897,0,0
"DAL",2632,262,0.895,0,4
"DET",2549,238,0.903,0,6
"EDM",2378,208,0.906,0,2
"FLA",2334,200,0.909,0,4
"LAK",2402,225,0.902,0,6
"MIN",2754,272,0.896,0,2
"MTL",2671,257,0.897,0,8
"NJD",1554,158,0.895,0,0
"NSH",2796,250,0.909,0,2
"NYI",2442,218,0.905,0,14
"NYR",2276,255,0.878,0,2
"OTT",2234,218,0.893,0,6
"PHI",1569,147,0.891,0,0
"PIT",2706,253,0.897,1,4
"SEA",2690,260,0.895,0,10
"SJS",2366,215,0.902,0,4
"STL",2438,247,0.895,0,2
"TBL",2312,206,0.908,0,0
"TOR",2508,244,0.900,0,0
"VAN",2462,197,0.918,0,4
"VGK",2527,244,0.893,0,0
"WPG",528,38,0.927,0,0
