"player_id","player_name","birth_country"
8484153,"Leo Carlsson","SWE"
8482118,"Sam Colangelo","USA"
8483445,"Cutter Gauthier","SWE"
8480870,"Bo Groulx","FRA"
8477527,"Ross Johnston","CAN"
8479368,"Max Jones","USA"
8473986,"Alex Killorn","CAN"
8481517,"Brett Leason","CAN"
8480806,"Isac Lundestrom","SWE"
8476934,"Brock McGinn","CAN"
8482745,"Mason McTavish","CHE"
8483570,"Ben Meyers","USA"
8475164,"Jakob Silfverberg","SWE"
8476458,"Ryan Strome","CAN"
8478873,"Troy Terry","USA"
8478366,"Frank Vatrano","USA"
8481533,"Trevor Zegras","USA"
8475760,"Nick Bjugstad","USA"
8476329,"Travis Boyd","USA"
8479619,"Michael Carcone","CAN"
8483431,"Logan Cooley","USA"
8478474,"Lawson Crouse","CAN"
8480849,"Barrett Hayton","CAN"
8479343,"Clayton Keller","USA"
8477021,"Alex Kerfoot","CAN"
8483483,"Julian Lutz","DEU"
8481711,"Matias Maccelli","FIN"
8480855,"Jack McBain","CAN"
8477070,"Liam O'Brien","CAN"
8477951,"Nick Schmaltz","USA"
8483652,"Joey Abate","USA"
8481556,"John Beecher","USA"
8480003,"Jesper Boqvist","SWE"
8479638,"Justin Brazeau","CAN"
8477887,"Patrick Brown","USA"
8475745,"Charlie Coyle","USA"
8478498,"Jake DeBrusk","CAN"
8479365,"Trent Frederic","USA"
8479987,"Morgan Geekie","CAN"
8478046,"Danton Heinen","CAN"
8482479,"Trevor Kuntar","USA"
8480880,"Jakub Lauko","CZE"
8473419,"Brad Marchand","CAN"
8474034,"Pat Maroon","USA"
8483397,"Marc McLaughlin","USA"
8477126,"Jayson Megna","USA"
8483567,"Georgii Merkulov","RUS"
8477956,"David Pastrnak","CZE"
8483505,"Matthew Poitras","CAN"
8479546,"Oskar Steen","SWE"
8474037,"James van Riemsdyk","USA"
8478401,"Pavel Zacha","CZE"
8484145,"Zach Benson","CAN"
8481528,"Dylan Cozens","CAN"
8476878,"Zemgus Girgensons","LVA"
8478413,"Jordan Greenway","USA"
8479370,"Tyson Jost","CAN"
8481522,"Peyton Krebs","CAN"
8478109,"Victor Olofsson","SWE"
8482175,"JJ Peterka","DEU"
8482097,"Jack Quinn","CAN"
8480762,"Eric Robinson","USA"
8475784,"Jeff Skinner","CAN"
8479420,"Tage Thompson","USA"
8477949,"Alex Tuch","USA"
8478427,"Sebastian Aho","FIN"
8482809,"Jackson Blake","USA"
8480031,"Maxime Comtois","CAN"
8480835,"Jack Drury","USA"
8475855,"Jesper Fast","SWE"
8477404,"Jake Guentzel","USA"
8482093,"Seth Jarvis","CAN"
8480829,"Jesperi Kotkaniemi","FIN"
8475744,"Evgeny Kuznetsov","RUS"
8477962,"Brendan Lemieux","USA"
8476921,"Jordan Martinook","CAN"
8484203,"Bradly Nadeau","CAN"
8480039,"Martin Necas","CZE"
8476474,"Stefan Noesen","USA"
8473533,"Jordan Staal","CAN"
8481576,"Ryan Suzuki","CAN"
8480830,"Andrei Svechnikov","RUS"
8476882,"Teuvo Teravainen","FIN"
8484149,"Gavin Brindley","USA"
8482475,"Yegor Chinakhov","RUS"
8479941,"Justin Danforth","CAN"
8484166,"Adam Fantilli","CAN"
8476346,"Johnny Gaudreau","USA"
8476432,"Boone Jenner","CAN"
8482660,"Kent Johnson","CAN"
8476374,"Sean Kuraly","USA"
8480893,"Kirill Marchenko","RUS"
8480292,"Carson Meyer","USA"
8479423,"Alex Nylander","CAN"
8479671,"Mathieu Olivier","USA"
8482705,"Cole Sillinger","USA"
8480074,"Alexandre Texier","FRA"
8481716,"Dmitri Voronkov","RUS"
8474150,"Mikael Backlund","SWE"
8476399,"Blake Coleman","USA"
8482652,"Walker Duehr","USA"
8478421,"A.J. Greer","CAN"
