"team_name","total_goals","total_pp_goals","total_sh_goals","total_shots","total_pims"
"ANA",183,40,7,1728,657
"ARI",191,39,7,1710,520
"BOS",229,49,5,2036,779
"BUF",223,29,7,2247,731
"CAR",224,46,12,2349,495
"CBJ",191,34,4,1826,487
"CGY",233,41,9,2168,727
"CHI",185,38,2,1891,473
"COL",247,49,8,2286,566
"DAL",257,48,10,2176,546
"DET",230,48,9,1976,526
"EDM",268,75,7,2446,619
"FLA",231,60,6,2305,687
"LAK",225,49,7,2171,561
"MIN",228,62,1,2193,666
"MTL",176,36,5,1689,554
"NJD",224,47,3,2151,598
"NSH",303,81,8,2592,648
"NYI",243,50,10,2293,467
"NYR",268,64,9,2377,688
"OTT",210,49,5,2128,589
"PHI",194,26,14,2210,624
"PIT",224,36,5,2357,552
"SEA",190,51,6,2123,598
"SJS",157,38,4,1632,511
"STL",230,46,14,2141,531
"TBL",253,54,3,2063,583
"TOR",273,51,6,2359,693
"VAN",287,57,9,2315,622
"VGK",202,42,7,1961,401
"WPG",229,38,3,2214,549
"WSH",202,52,6,2179,691
NULL,NULL,NULL,NULL,NULL,NULL
