,team_id,team_code,game_num,date,goals,pim,shots,pp_perc,ppg,pp_opp,fo_win,blocked,takeaways,giveaways,hits
0,18,NSH,2022020001,2022-10-07T18:00:00Z,4,13,32,0.0,0.0,4.0,45.5,11,4,3,23
1,28,SJS,2022020002,2022-10-08T18:00:00Z,2,6,33,25.0,1.0,4.0,50.7,16,6,9,23
2,3,NYR,2022020003,2022-10-11T23:30:00Z,3,12,39,25.0,1.0,4.0,63.8,12,19,17,24
3,26,LAK,2022020004,2022-10-12T02:00:00Z,3,10,30,0.0,0.0,3.0,49.2,22,7,16,23
4,15,WSH,2022020005,2022-10-12T23:00:00Z,2,6,35,0.0,0.0,4.0,37.3,13,7,17,48
5,12,CAR,2022020006,2022-10-12T23:00:00Z,4,4,43,0.0,0.0,2.0,61.0,9,18,16,22
6,8,MTL,2022020007,2022-10-12T23:00:00Z,4,8,23,0.0,0.0,4.0,51.0,23,8,23,19
7,21,COL,2022020008,2022-10-13T01:30:00Z,5,11,35,66.7,4.0,6.0,38.8,12,4,6,32
8,24,ANA,2022020009,2022-10-13T02:00:00Z,5,15,27,66.7,2.0,3.0,57.1,16,6,10,15
9,22,EDM,2022020010,2022-10-13T02:00:00Z,5,16,25,75.0,3.0,4.0,47.9,16,11,17,39
10,5,PIT,2022020011,2022-10-13T23:00:00Z,6,12,53,33.3,2.0,6.0,58.5,15,4,6,30
11,4,PHI,2022020012,2022-10-13T23:00:00Z,5,8,25,33.3,1.0,3.0,39.1,28,2,14,28
12,7,BUF,2022020013,2022-10-13T23:00:00Z,4,8,36,0.0,0.0,4.0,44.9,11,4,9,9
13,2,NYI,2022020014,2022-10-13T23:30:00Z,1,12,33,33.3,1.0,3.0,58.6,25,8,20,37
14,10,TOR,2022020015,2022-10-13T23:30:00Z,3,10,39,33.3,1.0,3.0,53.6,17,10,15,37
15,18,NSH,2022020016,2022-10-14T00:30:00Z,1,13,32,0.0,0.0,5.0,50.0,7,7,8,45
16,30,MIN,2022020017,2022-10-14T00:00:00Z,3,19,36,25.0,1.0,4.0,50.0,13,9,6,20
17,20,CGY,2022020018,2022-10-14T01:30:00Z,5,12,27,40.0,2.0,5.0,58.5,10,11,10,26
18,54,VGK,2022020019,2022-10-14T02:00:00Z,1,4,37,0.0,0.0,3.0,49.1,19,12,11,20
19,26,LAK,2022020020,2022-10-14T02:30:00Z,1,21,27,20.0,1.0,5.0,57.7,9,2,12,28
20,29,CBJ,2022020021,2022-10-14T23:00:00Z,2,4,28,0.0,0.0,4.0,71.4,13,3,5,22
21,17,DET,2022020022,2022-10-14T23:00:00Z,3,6,40,0.0,0.0,3.0,41.5,16,6,12,38
22,52,WPG,2022020023,2022-10-15T00:00:00Z,4,4,34,33.3,1.0,3.0,50.9,13,12,17,28
23,28,SJS,2022020024,2022-10-15T02:30:00Z,1,11,19,0.0,0.0,5.0,47.5,22,11,6,15
