,division,conference,team_id,team_name,wins,losses,otl,reg_wins,goals_against,goals_scored,points,div_rank,div_home_rank,div_road_rank,conf_rank,conf_home_rank,conf_road_rank,league_rank,league_home_rank,league_road_rank,points_perc,pp_div_rank,pp_conf_rank,pp_league_rank
0,Metro,Eastern,12,Carolina Hurricanes,52,21,9,39,213,266,113,1,1,3,2,4,4,2,4,9,0.6890243902439024,1,2,2
1,Metro,Eastern,1,New Jersey Devils,52,22,8,39,213,291,112,2,3,1,3,6,2,3,11,2,0.6829268292682927,2,3,3
2,Metro,Eastern,3,New York Rangers,47,22,13,37,226,277,107,3,4,2,5,9,3,9,15,7,0.6524390243902439,3,5,9
3,Metro,Eastern,2,New York Islanders,42,31,9,36,226,243,93,4,2,5,7,5,9,15,8,20,0.5670731707317073,4,7,15
4,Metro,Eastern,5,Pittsburgh Penguins,40,31,11,31,219,262,91,5,5,4,9,10,8,19,16,19,0.5548780487804879,5,9,19
5,Metro,Eastern,15,Washington Capitals,35,37,10,27,219,255,80,6,6,6,13,12,10,25,23,22,0.4878048780487805,6,13,25
6,Metro,Eastern,4,Philadelphia Flyers,31,38,13,26,222,222,75,7,7,7,14,13,14,26,25,26,0.4573170731707317,7,14,26
7,Metro,Eastern,29,Columbus Blue Jackets,25,48,9,15,222,214,59,8,8,8,16,16,16,31,29,31,0.3597560975609756,8,16,31
8,ATL,Eastern,6,Boston Bruins,65,12,5,54,264,305,135,1,1,1,1,1,1,1,1,1,0.823170731707317,1,1,1
9,ATL,Eastern,10,Toronto Maple Leafs,50,21,11,42,264,279,111,2,3,3,4,3,6,4,3,11,0.676829268292683,2,4,4
10,ATL,Eastern,14,Tampa Bay Lightning,46,30,6,38,265,283,98,3,2,5,6,2,11,13,2,23,0.5975609756097561,3,6,13
11,ATL,Eastern,13,Florida Panthers,42,32,8,36,265,290,92,4,5,4,8,8,7,17,13,17,0.5609756097560976,4,8,17
12,ATL,Eastern,7,Buffalo Sabres,42,33,7,30,277,296,91,5,7,2,10,14,5,20,27,10,0.5548780487804879,5,10,20
13,ATL,Eastern,9,Ottawa Senators,39,35,8,31,277,261,86,6,4,7,11,7,13,21,12,25,0.524390243902439,6,11,21
14,ATL,Eastern,17,Detroit Red Wings,35,37,10,28,330,240,80,7,6,6,12,11,12,24,22,24,0.4878048780487805,7,12,24
15,ATL,Eastern,8,Montréal Canadiens,31,45,6,21,330,232,68,8,8,8,15,15,15,28,28,28,0.4146341463414634,8,15,28
16,CEN,Western,21,Colorado Avalanche,51,24,7,36,177,280,109,1,4,1,3,7,2,7,17,4,0.6646341463414634,1,3,7
17,CEN,Western,25,Dallas Stars,47,21,14,39,177,285,108,2,3,2,4,4,5,8,9,8,0.6585365853658537,2,4,8
18,CEN,Western,30,Minnesota Wild,46,25,11,34,222,246,103,3,2,3,6,3,6,11,7,12,0.6280487804878049,3,6,11
19,CEN,Western,52,Winnipeg Jets,46,33,3,36,222,247,95,4,1,5,8,2,11,14,6,18,0.5792682926829268,4,8,14
20,CEN,Western,18,Nashville Predators,42,32,8,29,254,229,92,5,5,4,10,8,9,18,18,15,0.5609756097560976,5,10,18
21,CEN,Western,19,St. Louis Blues,37,38,7,27,254,263,81,6,7,6,12,12,12,23,24,21,0.49390243902439024,6,12,23
22,CEN,Western,53,Arizona Coyotes,28,40,14,20,273,228,70,7,6,8,13,9,16,27,19,32,0.4268292682926829,7,13,27
23,CEN,Western,16,Chicago Blackhawks,26,49,7,18,273,204,59,8,8,7,15,14,15,30,30,30,0.3597560975609756,8,15,30
24,PAC,Western,54,Vegas Golden Knights,51,22,9,38,300,272,111,1,3,1,1,6,1,5,14,3,0.676829268292683,1,1,5
25,PAC,Western,22,Edmonton Oilers,50,23,9,45,300,325,109,2,2,2,2,5,3,6,10,5,0.6646341463414634,2,2,6
26,PAC,Western,26,Los Angeles Kings,47,25,10,37,271,280,104,3,1,4,5,1,7,10,5,13,0.6341463414634146,3,5,10
27,PAC,Western,55,Seattle Kraken,46,28,8,37,271,289,100,4,5,3,7,11,4,12,21,6,0.6097560975609756,4,7,12
28,PAC,Western,20,Calgary Flames,38,27,17,31,279,260,93,5,4,5,9,10,8,16,20,14,0.5670731707317073,5,9,16
29,PAC,Western,23,Vancouver Canucks,38,37,7,24,279,276,83,6,6,6,11,13,10,22,26,16,0.5060975609756098,6,11,22
30,PAC,Western,28,San Jose Sharks,22,44,16,16,307,234,60,7,8,7,14,16,13,29,32,27,0.36585365853658536,7,14,29
31,PAC,Western,24,Anaheim Ducks,23,47,12,13,307,209,58,8,7,8,16,15,14,32,31,29,0.35365853658536583,8,16,32
